Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [light]
GSM784841 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from Rc50-grown WT	Arabidopsis 4-day-old seedling	WT, Rc50, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784841 extract 1	total RNA	P-GSE31587-5	GSM784841 LE 1	biotin	P-GSE31587-6	GSM784841	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784841_WT-R50-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784841_sample_table.txt norm	GSM784841_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	red light regimen
GSM784840 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from Rc50-grown WT	Arabidopsis 4-day-old seedling	WT, Rc50, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784840 extract 1	total RNA	P-GSE31587-5	GSM784840 LE 1	biotin	P-GSE31587-6	GSM784840	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784840_WT-R50-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784840_sample_table.txt norm	GSM784840_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	red light regimen
GSM784839 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from dark-grown WT	Arabidopsis 4-day-old seedling	WT, Dark, biol rep 4	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784839 extract 1	total RNA	P-GSE31587-5	GSM784839 LE 1	biotin	P-GSE31587-6	GSM784839	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784839_WT-D-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784839_sample_table.txt norm	GSM784839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	continuous dark (no light) regimen
GSM784838 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from dark-grown WT	Arabidopsis 4-day-old seedling	WT, Dark, biol rep 3	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784838 extract 1	total RNA	P-GSE31587-5	GSM784838 LE 1	biotin	P-GSE31587-6	GSM784838	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784838_WT-D-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784838_sample_table.txt norm	GSM784838_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	continuous dark (no light) regimen
GSM784837 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from dark-grown WT	Arabidopsis 4-day-old seedling	WT, Dark, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784837 extract 1	total RNA	P-GSE31587-5	GSM784837 LE 1	biotin	P-GSE31587-6	GSM784837	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784837_WT-D-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784837_sample_table.txt norm	GSM784837_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	continuous dark (no light) regimen
GSM784836 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	wild type	gene expression from dark-grown WT	Arabidopsis 4-day-old seedling	WT, Dark, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784836 extract 1	total RNA	P-GSE31587-5	GSM784836 LE 1	biotin	P-GSE31587-6	GSM784836	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784836_WT-D-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784836_sample_table.txt norm	GSM784836_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	wild type	continuous dark (no light) regimen
GSM784835 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from dark-grown and 2hr Rc-treated phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, 4-day dark growth followed by 2 hours of Rc50, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784835 extract 1	total RNA	P-GSE31587-5	GSM784835 LE 1	biotin	P-GSE31587-6	GSM784835	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784835_phyABDE-DR2h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784835_sample_table.txt norm	GSM784835_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	4 days dark regimen and 2 hours of red light regimen
GSM784834 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from dark-grown and 2hr Rc-treated phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, 4-day dark growth followed by 2 hours of Rc50, biol rep 1	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784834 extract 1	total RNA	P-GSE31587-5	GSM784834 LE 1	biotin	P-GSE31587-6	GSM784834	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784834_phyABDE-DR2h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784834_sample_table.txt norm	GSM784834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	4 days dark regimen and 2 hours of red light regimen
GSM784833 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from Rc50-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Rc50, biol rep 3	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784833 extract 1	total RNA	P-GSE31587-5	GSM784833 LE 1	biotin	P-GSE31587-6	GSM784833	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784833_phyABDE-R50-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784833_sample_table.txt norm	GSM784833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	red light regimen
GSM784832 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg ecotype 	4	day	seedling	whole organism	phyABDE quadruple mutant	gene expression data from Rc50-grown phyABDE mutant	Arabidopsis 4-day-old seedling	phyABDE, Rc50, biol rep 2	P-GSE31587-3	P-GSE31587-2	P-GSE31587-4	GSM784832 extract 1	total RNA	P-GSE31587-5	GSM784832 LE 1	biotin	P-GSE31587-6	GSM784832	A-AFFY-2	P-GSE31587-7	P-GSE31587-8	GSM784832_phyABDE-R50-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.raw.1.zip	P-GSE31587-1	GSM784832_sample_table.txt norm	GSM784832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31587/E-GEOD-31587.processed.1.zip	phyABDE quadruple mutant	red light regimen
