Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[development stage]	Characteristics[ecotype]	Characteristics[growth media]	Characteristics[organism part]	Characteristics[transgenic description]	Characteristics[variation]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [ORGANISM PART]	FactorValue [TRANSGENIC DESCRIPTION]	FactorValue [VARIATION]
GSM784921 1	genotype=P35S:rGRF3 overexpression rep 3	root (genotype: P35S:rGRF3 overexpression)	genotype: P35S:rGRF3 overexpression - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	ws	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3	P-GSE31593-2	P-GSE31593-3	GSM784921 extract 1	total RNA	P-GSE31593-4	GSM784921 LE 1	biotin	P-GSE31593-5	GSM784921	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784921_rGRF3_Rep3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784921_sample_table.txt norm	GSM784921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	ws	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3
GSM784920 1	genotype=P35S:rGRF3 overexpression rep 2	root (genotype: P35S:rGRF3 overexpression)	genotype: P35S:rGRF3 overexpression - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	ws	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3	P-GSE31593-2	P-GSE31593-3	GSM784920 extract 1	total RNA	P-GSE31593-4	GSM784920 LE 1	biotin	P-GSE31593-5	GSM784920	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784920_rGRF3_Rep2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784920_sample_table.txt norm	GSM784920_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	ws	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3
GSM784919 1	genotype=P35S:rGRF3 overexpression rep 1	root (genotype: P35S:rGRF3 overexpression)	genotype: P35S:rGRF3 overexpression - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	ws	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3	P-GSE31593-2	P-GSE31593-3	GSM784919 extract 1	total RNA	P-GSE31593-4	GSM784919 LE 1	biotin	P-GSE31593-5	GSM784919	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784919_rGRF3_Rep1_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784919_sample_table.txt norm	GSM784919_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	ws	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF3 under the control of CaMV 35S promoter	p35s: rGRF3
GSM784918 1	genotype=P35S:rGRF1 overexpression rep 3	root (genotype: P35S:rGRF1 overexpression)	genotype: P35S:rGRF1 overexpression - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1	P-GSE31593-2	P-GSE31593-3	GSM784918 extract 1	total RNA	P-GSE31593-4	GSM784918 LE 1	biotin	P-GSE31593-5	GSM784918	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784918_rGRF1_Rep3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784918_sample_table.txt norm	GSM784918_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1
GSM784917 1	genotype=P35S:rGRF1 overexpression rep 2	root (genotype: P35S:rGRF1 overexpression)	genotype: P35S:rGRF1 overexpression - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1	P-GSE31593-2	P-GSE31593-3	GSM784917 extract 1	total RNA	P-GSE31593-4	GSM784917 LE 1	biotin	P-GSE31593-5	GSM784917	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784917_rGRF1_Rep2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784917_sample_table.txt norm	GSM784917_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1
GSM784916 1	genotype=P35S:rGRF1 overexpression rep 1	root (genotype: P35S:rGRF1 overexpression)	genotype: P35S:rGRF1 overexpression - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0	modified Knopâ€™s medium	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1	P-GSE31593-2	P-GSE31593-3	GSM784916 extract 1	total RNA	P-GSE31593-4	GSM784916 LE 1	biotin	P-GSE31593-5	GSM784916	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784916_rGRF1_Rep1_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784916_sample_table.txt norm	GSM784916_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0	PO:0009005 root	Transgenic line overexpressing miR396-resistant variant of GRF1 under the control of CaMV 35S promoter	p35s: rGRF1
GSM784915 1	genotype=Triple mutant grf1/grf2/grf3 rep 3	root (genotype: Triple mutant grf1/grf2/grf3)	genotype: Triple mutant grf1/grf2/grf3 - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0 and ws	modified Knopâ€™s medium	po: 0009005 root	  	triple grf1/grf2/grf3 mutant	P-GSE31593-2	P-GSE31593-3	GSM784915 extract 1	total RNA	P-GSE31593-4	GSM784915 LE 1	biotin	P-GSE31593-5	GSM784915	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784915_Triple_Rep3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784915_sample_table.txt norm	GSM784915_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0 and ws	po: 0009005 root	not specified	triple grf1/grf2/grf3 mutant
GSM784914 1	genotype=Triple mutant grf1/grf2/grf3 rep 2	root (genotype: Triple mutant grf1/grf2/grf3)	genotype: Triple mutant grf1/grf2/grf3 - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0 and ws	modified Knopâ€™s medium	po: 0009005 root	  	triple grf1/grf2/grf3 mutant	P-GSE31593-2	P-GSE31593-3	GSM784914 extract 1	total RNA	P-GSE31593-4	GSM784914 LE 1	biotin	P-GSE31593-5	GSM784914	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784914_Triple_Rep2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784914_sample_table.txt norm	GSM784914_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0 and ws	po: 0009005 root	not specified	triple grf1/grf2/grf3 mutant
GSM784913 1	genotype=Triple mutant grf1/grf2/grf3 rep 1	root (genotype: Triple mutant grf1/grf2/grf3)	genotype: Triple mutant grf1/grf2/grf3 - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	col-0 and ws	modified Knopâ€™s medium	po: 0009005 root	  	triple grf1/grf2/grf3 mutant	P-GSE31593-2	P-GSE31593-3	GSM784913 extract 1	total RNA	P-GSE31593-4	GSM784913 LE 1	biotin	P-GSE31593-5	GSM784913	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784913_Triple_Rep1_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784913_sample_table.txt norm	GSM784913_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	col-0 and ws	po: 0009005 root	not specified	triple grf1/grf2/grf3 mutant
GSM784912 1	genotype=Arabidopsis thaliana ecotypes WS rep 3	root (genotype: Arabidopsis thaliana ecotypes WS)	genotype: Arabidopsis thaliana ecotypes WS - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2 week old plants	PO:0007033 whole plant growth stages	ws	modified Knopâ€™s medium	po: 0009005 root	  	wild type	P-GSE31593-2	P-GSE31593-3	GSM784912 extract 1	total RNA	P-GSE31593-4	GSM784912 LE 1	biotin	P-GSE31593-5	GSM784912	A-AFFY-2	  	P-GSE31593-6	P-GSE31593-7	GSM784912_WS_Rep3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.raw.1.zip	P-GSE31593-1	GSM784912_sample_table.txt norm	GSM784912_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31593/E-GEOD-31593.processed.1.zip	ws	po: 0009005 root	not specified	wild type
