Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Characteristics [ecotype]	Characteristics[age]	Unit [time unit]	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[compound]	FactorValue[dose]	Unit [concentration dose]
GSM788401 1	Hydroponically grown 5-weeks old plants	RNAi_Root_+10 µM Zn2+ medium	RNAi-Root-+Zn-3	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788401 extract 1	total RNA	P-GSE31778-3	GSM788401 LE 1	biotin	P-GSE31778-4	GSM788401	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788401_A645_06_RNAi_W_Zn_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788401_sample_table.txt norm	GSM788401_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	sulfate zinc	10	micromolar
GSM788400 1	Hydroponically grown 5-weeks old plants	RNAi_Root_+10 µM Zn2+ medium	RNAi-Root-+Zn-2	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788400 extract 1	total RNA	P-GSE31778-3	GSM788400 LE 1	biotin	P-GSE31778-4	GSM788400	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788400_A645_05_RNAi_W_Zn_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788400_sample_table.txt norm	GSM788400_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	sulfate zinc	10	micromolar
GSM788399 1	Hydroponically grown 5-weeks old plants	RNAi_Root_+10 µM Zn2+ medium	RNAi-Root-+Zn-1	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788399 extract 1	total RNA	P-GSE31778-3	GSM788399 LE 1	biotin	P-GSE31778-4	GSM788399	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788399_A645_04_RNAi_W_Zn_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788399_sample_table.txt norm	GSM788399_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	sulfate zinc	10	micromolar
GSM788398 1	Hydroponically grown 5-weeks old plants	RNAi_Root_control medium	RNAi-Root-Control-3	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788398 extract 1	total RNA	P-GSE31778-3	GSM788398 LE 1	biotin	P-GSE31778-4	GSM788398	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788398_A585_18_NAS2_RNA_Ctrl_Exp3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788398_sample_table.txt norm	GSM788398_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	none	  	        
GSM788397 1	Hydroponically grown 5-weeks old plants	RNAi_Root_control medium	RNAi-Root-Control-2	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788397 extract 1	total RNA	P-GSE31778-3	GSM788397 LE 1	biotin	P-GSE31778-4	GSM788397	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788397_A585_17_NAS2_RNA_Ctrl_Exp2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788397_sample_table.txt norm	GSM788397_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	none	  	        
GSM788396 1	Hydroponically grown 5-weeks old plants	RNAi_Root_control medium	RNAi-Root-Control-1	Arabidopsis halleri ssp halleri	Langelsheim	5	week	NAS2-RNAi line	root	EFO	EFO_0000989	P-GSE31778-2	GSM788396 extract 1	total RNA	P-GSE31778-3	GSM788396 LE 1	biotin	P-GSE31778-4	GSM788396	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788396_A585_16_NAS2_RNA_Ctrl_Exp1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788396_sample_table.txt norm	GSM788396_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	NAS2-RNAi line	none	  	        
GSM788395 1	Hydroponically grown 5-weeks old plants	WT_Root_+10 µM Zn2+ medium	WT-Root-+Zn-3	Arabidopsis halleri ssp halleri	Langelsheim	5	week	wild type	root	EFO	EFO_0000989	P-GSE31778-2	GSM788395 extract 1	total RNA	P-GSE31778-3	GSM788395 LE 1	biotin	P-GSE31778-4	GSM788395	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788395_A645_03_Lang_W_Zn_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788395_sample_table.txt norm	GSM788395_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	wild type	sulfate zinc	10	micromolar
GSM788394 1	Hydroponically grown 5-weeks old plants	WT_Root_+10 µM Zn2+ medium	WT-Root-+Zn-2	Arabidopsis halleri ssp halleri	Langelsheim	5	week	wild type	root	EFO	EFO_0000989	P-GSE31778-2	GSM788394 extract 1	total RNA	P-GSE31778-3	GSM788394 LE 1	biotin	P-GSE31778-4	GSM788394	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788394_A645_02_Lang_W_Zn_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788394_sample_table.txt norm	GSM788394_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	wild type	sulfate zinc	10	micromolar
GSM788393 1	Hydroponically grown 5-weeks old plants	WT_Root_+10 µM Zn2+ medium	WT-Root-+Zn-1	Arabidopsis halleri ssp halleri	Langelsheim	5	week	wild type	root	EFO	EFO_0000989	P-GSE31778-2	GSM788393 extract 1	total RNA	P-GSE31778-3	GSM788393 LE 1	biotin	P-GSE31778-4	GSM788393	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788393_A645_01_Lang_W_Zn_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788393_sample_table.txt norm	GSM788393_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	wild type	sulfate zinc	10	micromolar
GSM788392 1	Hydroponically grown 5-weeks old plants	WT_Root_control medium	WT-Root-Control-3	Arabidopsis halleri ssp halleri	Langelsheim	5	week	wild type	root	EFO	EFO_0000989	P-GSE31778-2	GSM788392 extract 1	total RNA	P-GSE31778-3	GSM788392 LE 1	biotin	P-GSE31778-4	GSM788392	A-AFFY-2	P-GSE31778-5	P-GSE31778-6	GSM788392_A585_15_Lang_Ctrl_Exp3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.raw.1.zip	P-GSE31778-1	GSM788392_sample_table.txt norm	GSM788392_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31778/E-GEOD-31778.processed.1.zip	wild type	none	  	        
