Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cell line]	Characteristics [ecotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM789686 1	MH158	T87 cultured cell	4C_6h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789686 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789686 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789686	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789686_sample_table.txt norm	GSM789686_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789685 1	MH157	T87 cultured cell	4C_3h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789685 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789685 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789685	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789685_sample_table.txt norm	GSM789685_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789684 1	MH156	T87 cultured cell	4C_1h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789684 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789684 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789684	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789684_sample_table.txt norm	GSM789684_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789683 1	MH155	T87 cultured cell	4C_0h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789683 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789683 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789683	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789683_sample_table.txt norm	GSM789683_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789682 1	MH153	T87 cultured cell	22C_3h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789682 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789682 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789682	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789682_sample_table.txt norm	GSM789682_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789681 1	MH152	T87 cultured cell	22C_1h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789681 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789681 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789681	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789681_sample_table.txt norm	GSM789681_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789680 1	MH151	T87 cultured cell	22C_0h_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789680 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789680 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789680	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789680_sample_table.txt norm	GSM789680_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789679 1	MH150	T87 cultured cell	4C_6h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789679 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789679 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789679	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789679.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789679_sample_table.txt norm	GSM789679_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789678 1	MH149	T87 cultured cell	4C_3h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789678 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789678 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789678	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789678_sample_table.txt norm	GSM789678_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789677 1	MH148	T87 cultured cell	4C_1h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789677 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789677 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789677	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789677_sample_table.txt norm	GSM789677_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
