Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics [organism part]	Characteristics[genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [developmental stage]	FactorValue [genotype]
GSM797733 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	myb21-5, myb24-5 double mutant	myb21 myb24 stage 13 rep C	myb21 myb24, stage 13 flowers	myb21 myb24 stage 13 rep C	P-GSE32193-2	P-GSE32193-3	GSM797733 extract 1	total RNA	P-GSE32193-4	GSM797733 LE 1	biotin	P-GSE32193-5	GSM797733	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797733_sample_table.txt norm	GSM797733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	myb21-5, myb24-5 double mutant
GSM797732 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	myb21-5, myb24-5 double mutant	myb21 myb24 stage 13 rep B	myb21 myb24, stage 13 flowers	myb21 myb24 stage 13 rep B	P-GSE32193-2	P-GSE32193-3	GSM797732 extract 1	total RNA	P-GSE32193-4	GSM797732 LE 1	biotin	P-GSE32193-5	GSM797732	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797732_sample_table.txt norm	GSM797732_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	myb21-5, myb24-5 double mutant
GSM797731 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	myb21-5, myb24-5 double mutant	myb21 myb24 stage 13 rep A	myb21 myb24, stage 13 flowers	myb21 myb24 stage 13 rep A	P-GSE32193-2	P-GSE32193-3	GSM797731 extract 1	total RNA	P-GSE32193-4	GSM797731 LE 1	biotin	P-GSE32193-5	GSM797731	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797731.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797731_sample_table.txt norm	GSM797731_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	myb21-5, myb24-5 double mutant
GSM797730 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	arf6-2, arf8-3 double mutant	arf6 arf8 stage 13 rep C	arf6 arf8, stage 13 flowers	arf6 arf8 stage 13 rep C	P-GSE32193-2	P-GSE32193-3	GSM797730 extract 1	total RNA	P-GSE32193-4	GSM797730 LE 1	biotin	P-GSE32193-5	GSM797730	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797730.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797730_sample_table.txt norm	GSM797730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	arf6-2, arf8-3 double mutant
GSM797729 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	arf6-2, arf8-3 double mutant	arf6 arf8 stage 13 rep B	arf6 arf8, stage 13 flowers	arf6 arf8 stage 13 rep B	P-GSE32193-2	P-GSE32193-3	GSM797729 extract 1	total RNA	P-GSE32193-4	GSM797729 LE 1	biotin	P-GSE32193-5	GSM797729	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797729.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797729_sample_table.txt norm	GSM797729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	arf6-2, arf8-3 double mutant
GSM797728 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	arf6-2, arf8-3 double mutant	arf6 arf8 stage 13 rep A	arf6 arf8, stage 13 flowers	arf6 arf8 stage 13 rep A	P-GSE32193-2	P-GSE32193-3	GSM797728 extract 1	total RNA	P-GSE32193-4	GSM797728 LE 1	biotin	P-GSE32193-5	GSM797728	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797728.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797728_sample_table.txt norm	GSM797728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	arf6-2, arf8-3 double mutant
GSM797727 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	wild type	Wild type stage 13 rep C	Wild type, stage 13 open flowers	Wild type stage 13 rep C	P-GSE32193-2	P-GSE32193-3	GSM797727 extract 1	total RNA	P-GSE32193-4	GSM797727 LE 1	biotin	P-GSE32193-5	GSM797727	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797727_sample_table.txt norm	GSM797727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	wild type
GSM797726 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	wild type	Wild type stage 13 rep B	Wild type, stage 13 open flowers	Wild type stage 13 rep B	P-GSE32193-2	P-GSE32193-3	GSM797726 extract 1	total RNA	P-GSE32193-4	GSM797726 LE 1	biotin	P-GSE32193-5	GSM797726	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797726_sample_table.txt norm	GSM797726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	wild type
GSM797725 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	flowering stage	flower	wild type	Wild type stage 13 rep A	Wild type, stage 13 open flowers	Wild type stage 13 rep A	P-GSE32193-2	P-GSE32193-3	GSM797725 extract 1	total RNA	P-GSE32193-4	GSM797725 LE 1	biotin	P-GSE32193-5	GSM797725	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797725.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797725_sample_table.txt norm	GSM797725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	flowering stage	wild type
GSM797724 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	myb21-5, myb24-5 double mutant	myb21 myb24 stage 12 rep C	myb21 myb24, stage 12 buds	myb21 myb24 stage 12 rep C	P-GSE32193-2	P-GSE32193-3	GSM797724 extract 1	total RNA	P-GSE32193-4	GSM797724 LE 1	biotin	P-GSE32193-5	GSM797724	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797724_sample_table.txt norm	GSM797724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	myb21-5, myb24-5 double mutant
GSM797723 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	myb21-5, myb24-5 double mutant	myb21 myb24 stage 12 rep B	myb21 myb24, stage 12 buds	myb21 myb24 stage 12 rep B	P-GSE32193-2	P-GSE32193-3	GSM797723 extract 1	total RNA	P-GSE32193-4	GSM797723 LE 1	biotin	P-GSE32193-5	GSM797723	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797723_sample_table.txt norm	GSM797723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	myb21-5, myb24-5 double mutant
GSM797722 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	myb21-5, myb24-5 double mutant	myb21 myb24 stage 12 rep A	myb21 myb24, stage 12 buds	myb21 myb24 stage 12 rep A	P-GSE32193-2	P-GSE32193-3	GSM797722 extract 1	total RNA	P-GSE32193-4	GSM797722 LE 1	biotin	P-GSE32193-5	GSM797722	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797722.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797722_sample_table.txt norm	GSM797722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	myb21-5, myb24-5 double mutant
GSM797721 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	arf6-2, arf8-3 double mutant	arf6 arf8 stage 12 rep C	arf6 arf8, stage 12 buds	arf6 arf8 stage 12 rep C	P-GSE32193-2	P-GSE32193-3	GSM797721 extract 1	total RNA	P-GSE32193-4	GSM797721 LE 1	biotin	P-GSE32193-5	GSM797721	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797721.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797721_sample_table.txt norm	GSM797721_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	arf6-2, arf8-3 double mutant
GSM797720 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	arf6-2, arf8-3 double mutant	arf6 arf8 stage 12 rep B	arf6 arf8, stage 12 buds	arf6 arf8 stage 12 rep B	P-GSE32193-2	P-GSE32193-3	GSM797720 extract 1	total RNA	P-GSE32193-4	GSM797720 LE 1	biotin	P-GSE32193-5	GSM797720	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797720_sample_table.txt norm	GSM797720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	arf6-2, arf8-3 double mutant
GSM797719 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	arf6-2, arf8-3 double mutant	arf6 arf8 stage 12 rep A	arf6 arf8, stage 12 buds	arf6 arf8 stage 12 rep A	P-GSE32193-2	P-GSE32193-3	GSM797719 extract 1	total RNA	P-GSE32193-4	GSM797719 LE 1	biotin	P-GSE32193-5	GSM797719	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797719.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797719_sample_table.txt norm	GSM797719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	arf6-2, arf8-3 double mutant
GSM797718 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	wild type	Wild type stage 12 rep C	Wild type, stage 12 buds	Wild type stage 12 rep C	P-GSE32193-2	P-GSE32193-3	GSM797718 extract 1	total RNA	P-GSE32193-4	GSM797718 LE 1	biotin	P-GSE32193-5	GSM797718	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797718_sample_table.txt norm	GSM797718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	wild type
GSM797717 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	wild type	Wild type stage 12 rep B	Wild type, stage 12 buds	Wild type stage 12 rep B	P-GSE32193-2	P-GSE32193-3	GSM797717 extract 1	total RNA	P-GSE32193-4	GSM797717 LE 1	biotin	P-GSE32193-5	GSM797717	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797717_sample_table.txt norm	GSM797717_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	wild type
GSM797716 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	petal differentiation and expansion stage	flower bud	wild type	Wild type stage 12 rep A	Wild type, stage 12 buds	Wild type stage 12 rep A	P-GSE32193-2	P-GSE32193-3	GSM797716 extract 1	total RNA	P-GSE32193-4	GSM797716 LE 1	biotin	P-GSE32193-5	GSM797716	A-AFFY-2	P-GSE32193-6	P-GSE32193-7	GSM797716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.raw.1.zip	P-GSE32193-1	GSM797716_sample_table.txt norm	GSM797716_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32193/E-GEOD-32193.processed.1.zip	petal differentiation and expansion stage	wild type
