Source Name	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Infect]	Characteristics [DiseaseState]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [Genotype]	Factor Value [DiseaseState]	Term Source REF	Term Accession Number	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3220GSM71000	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71000 sample	P-G3220-2	GSE3220GSM71000 extract	total_RNA	P-G3220-3	GSE3220GSM71000 LE.biotin	biotin	synthetic_RNA	Col_Ec3	A-AFFY-2	wild_type	Erisyphe cichoracearum	  	  	Col_Ec3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71009	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71009 sample	P-G3220-2	GSE3220GSM71009 extract	total_RNA	P-G3220-3	GSE3220GSM71009 LE.biotin	biotin	synthetic_RNA	pen3_Bgh4	A-AFFY-2	pen3	Blumeria graminis hordei	  	  	pen3_Bgh4	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71008	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Blumeria graminis hordei	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71008 sample	P-G3220-2	GSE3220GSM71008 extract	total_RNA	P-G3220-3	GSE3220GSM71008 LE.biotin	biotin	synthetic_RNA	pen3_Bgh3	A-AFFY-2	pen3	Blumeria graminis hordei	  	  	pen3_Bgh3	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM70999	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM70999 sample	P-G3220-2	GSE3220GSM70999 extract	total_RNA	P-G3220-3	GSE3220GSM70999 LE.biotin	biotin	synthetic_RNA	Col_Ec2	A-AFFY-2	wild_type	Erisyphe cichoracearum	  	  	Col_Ec2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM70998	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM70998 sample	P-G3220-2	GSE3220GSM70998 extract	total_RNA	P-G3220-3	GSE3220GSM70998 LE.biotin	biotin	synthetic_RNA	Col_Ec1	A-AFFY-2	wild_type	Erisyphe cichoracearum	  	  	Col_Ec1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71011	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71011 sample	P-G3220-2	GSE3220GSM71011 extract	total_RNA	P-G3220-3	GSE3220GSM71011 LE.biotin	biotin	synthetic_RNA	pen3_Ec2	A-AFFY-2	pen3	Erisyphe cichoracearum	  	  	pen3_Ec2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71013	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71013 sample	P-G3220-2	GSE3220GSM71013 extract	total_RNA	P-G3220-3	GSE3220GSM71013 LE.biotin	biotin	synthetic_RNA	pen3_Un1	A-AFFY-2	pen3	uninfected	EFO	EFO_0001460	pen3_Un1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71003	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71003 sample	P-G3220-2	GSE3220GSM71003 extract	total_RNA	P-G3220-3	GSE3220GSM71003 LE.biotin	biotin	synthetic_RNA	Col_Un2	A-AFFY-2	wild_type	uninfected	EFO	EFO_0001460	Col_Un2	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71002	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	  	normal	EFO	EFO_0000761	P-G3220-1	P-G3220-6	GSE3220GSM71002 sample	P-G3220-2	GSE3220GSM71002 extract	total_RNA	P-G3220-3	GSE3220GSM71002 LE.biotin	biotin	synthetic_RNA	Col_Un1	A-AFFY-2	wild_type	uninfected	EFO	EFO_0001460	Col_Un1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
GSE3220GSM71010	Columbia	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	pen3	Erisyphe cichoracearum	  	  	  	P-G3220-1	P-G3220-6	GSE3220GSM71010 sample	P-G3220-2	GSE3220GSM71010 extract	total_RNA	P-G3220-3	GSE3220GSM71010 LE.biotin	biotin	synthetic_RNA	pen3_Ec1	A-AFFY-2	pen3	Erisyphe cichoracearum	  	  	pen3_Ec1	E-GEOD-3220-processed-data-1509911046.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3220/E-GEOD-3220.processed.1.zip
