Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM822707 1	Gene expression data from ani1 plant exposed to 200 μM  nitrate for 16hour, biological replicate 2.	Arabidopsis ani1 root, 200 μM nitrate induction for 16hour	ani1 at T16, biological rep2	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822707 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822707 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822707	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822707_sample_table.txt norm	GSM822707_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822706 1	Gene expression data from ani1 plant exposed to 200 μM  nitrate for 16hour, biological replicate 1.	Arabidopsis ani1 root, 200 μM nitrate induction for 16hour	ani1 at T16, biological rep1	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822706 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822706 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822706	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822706_sample_table.txt norm	GSM822706_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822705 1	Gene expression data from ani1 plant exposed to 200 μM  nitrate for 30min, biological replicate 2.	Arabidopsis ani1 root, 200 μM nitrate induction for 30min	ani1 at T0.5, biological rep2	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822705 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822705 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822705	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822705_sample_table.txt norm	GSM822705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822704 1	Gene expression data from ani1 plant exposed to 200 μM  nitrate for 30min, biological replicate 1.	Arabidopsis ani1 root, 200 μM nitrate induction for 30min	ani1 at T0.5, biological rep1	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822704 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822704 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822704	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822704_sample_table.txt norm	GSM822704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822703 1	Gene expression data from ani1 plant before 200 μM nitrate induction, biological replicate 2.	Arabidopsis ani1 root, no nitrate induction	ani1 at T0, biological rep2	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822703 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822703 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822703	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822703_sample_table.txt norm	GSM822703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822702 1	Gene expression data from ani1 plant before 200 μM nitrate induction, biological replicate 1.	Arabidopsis ani1 root, no nitrate induction	ani1 at T0, biological rep1	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822702 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822702 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822702	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822702_sample_table.txt norm	GSM822702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822701 1	Gene expression data from wild-type plant exposed to 200 μM  nitrate for 16hour, biological replicate 2.	Arabidopsis wild-type root, 200 μM nitrate induction for 16hour	wild-type at T16, biological rep2	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822701 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822701 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822701	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822701_sample_table.txt norm	GSM822701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822700 1	Gene expression data from wild-type plant exposed to 200 μM  nitrate for 16hour, biological replicate 1.	Arabidopsis wild-type root, 200 μM nitrate induction for 16hour	wild-type at T16, biological rep1	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822700 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822700 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822700	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822700_sample_table.txt norm	GSM822700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822699 1	Gene expression data from wild-type plant exposed to 200 μM  nitrate for 30min, biological replicate 2.	Arabidopsis wild-type root, 200 μM nitrate induction for 30min	wild-type at T0.5, biological rep2	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822699 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822699 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822699	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822699_sample_table.txt norm	GSM822699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
GSM822698 1	Gene expression data from wild-type plant exposed to 200 μM  nitrate for 30min, biological replicate 1.	Arabidopsis wild-type root, 200 μM nitrate induction for 30min	wild-type at T0.5, biological rep1	10-day-old seedlings	Columbia ecotype	EFO	EFO_0005147	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tissue	P-GSE33242-2	ArrayExpress	P-GSE33242-3	ArrayExpress	P-GSE33242-4	ArrayExpress	GSM822698 extract 1	total RNA	P-GSE33242-5	ArrayExpress	GSM822698 LE 1	biotin	P-GSE33242-6	ArrayExpress	GSM822698	A-AFFY-2	ArrayExpress	array assay	P-GSE33242-7	ArrayExpress	GSM822698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.raw.1.zip	P-GSE33242-1	ArrayExpress	GSM822698_sample_table.txt norm	GSM822698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33242/E-GEOD-33242.processed.1.zip
