Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]	FactorValue [VARIATION]
GSM826553 1	Gene expression data	BR-treated seedlings of axr2	axr2-BR-rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	axr2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826553 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826553 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826553	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826553.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826553_sample_table.txt norm	GSM826553_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	axr2 mutant
GSM826552 1	Gene expression data	BR-treated seedlings of axr2	axr2-BR-rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	axr2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826552 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826552 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826552	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826552.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826552_sample_table.txt norm	GSM826552_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	axr2 mutant
GSM826551 1	Gene expression data	mock-treated seedlings of axr2	axr2-mock-rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	axr2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826551 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826551 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826551	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826551.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826551_sample_table.txt norm	GSM826551_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	mock	axr2 mutant
GSM826550 1	Gene expression data	mock-treated seedlings of axr2	axr2-mock-rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	axr2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826550 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826550 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826550	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826550.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826550_sample_table.txt norm	GSM826550_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	mock	axr2 mutant
GSM826549 1	Gene expression data	BR-treated seedlings of msg2	msg2-BR-rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	msg2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826549 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826549 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826549	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826549.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826549_sample_table.txt norm	GSM826549_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	msg2 mutant
GSM826548 1	Gene expression data	BR-treated seedlings of msg2	msg2-BR-rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	msg2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826548 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826548 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826548	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826548_sample_table.txt norm	GSM826548_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	msg2 mutant
GSM826547 1	Gene expression data	mock-treated seedlings of msg2	msg2-mock-rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	msg2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826547 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826547 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826547	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826547.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826547_sample_table.txt norm	GSM826547_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	mock	msg2 mutant
GSM826546 1	Gene expression data	mock-treated seedlings of msg2	msg2-mock-rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	msg2 mutant	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826546 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826546 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826546	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826546_sample_table.txt norm	GSM826546_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	mock	msg2 mutant
GSM826545 1	Gene expression data	BR-treated seedlings of WT	WT-BR-rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	wild type	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826545 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826545 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826545	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826545.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826545_sample_table.txt norm	GSM826545_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	wild type
GSM826544 1	Gene expression data	BR-treated seedlings of WT	WT-BR-rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4-day-old	Columbia	dark-grown seedlings	wild type	P-GSE33412-2	ArrayExpress	P-GSE33412-3	ArrayExpress	P-GSE33412-4	ArrayExpress	GSM826544 extract 1	total RNA	P-GSE33412-5	ArrayExpress	GSM826544 LE 1	biotin	P-GSE33412-6	ArrayExpress	GSM826544	A-AFFY-2	ArrayExpress	array assay	P-GSE33412-7	ArrayExpress	P-GSE33412-8	ArrayExpress	GSM826544.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.raw.1.zip	P-GSE33412-1	ArrayExpress	GSM826544_sample_table.txt norm	GSM826544_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-33412/E-GEOD-33412.processed.1.zip	BR	wild type
