Source Name	Material Type	Characteristics[developmental stage]	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [growth condition]	Term Source REF	Term Accession Number	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]	Term Source REF	Term Accession Number	FactorValue [ecotype]
GSM842243 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	3 Var2-1 T.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Var2-1 roots 2hr KNO3 nitrogen treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842243 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842243 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842243	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842243.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-42	ArrayExpress	GSM842243_sample_table.txt norm	GSM842243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Var2-1
GSM842242 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	2 Var2-1 T.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Var2-1 roots 2hr KNO3 nitrogen treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842242 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842242 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842242	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-41	ArrayExpress	GSM842242_sample_table.txt norm	GSM842242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Var2-1
GSM842241 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	1 Var2-1 T.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Var2-1 roots 2hr KNO3 nitrogen treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842241 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842241 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842241	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842241.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-40	ArrayExpress	GSM842241_sample_table.txt norm	GSM842241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Var2-1
GSM842240 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	3 Var2-1 C.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KCl control treated"	"Var2-1 roots 2hr KCl control treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842240 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842240 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842240	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842240.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-39	ArrayExpress	GSM842240_sample_table.txt norm	GSM842240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Var2-1
GSM842239 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	2 Var2-1 C.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KCl control treated"	"Var2-1 roots 2hr KCl control treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842239 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842239 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842239	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842239.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-38	ArrayExpress	GSM842239_sample_table.txt norm	GSM842239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Var2-1
GSM842238 1	organism part	seedling	12	day	Var2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	1 Var2-1 C.CEL	"12 day old Arabidopsis Var2-1 ecotype roots, 2 hr 5mM KCl control treated"	"Var2-1 roots 2hr KCl control treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842238 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842238 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842238	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842238.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-37	ArrayExpress	GSM842238_sample_table.txt norm	GSM842238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Var2-1
GSM842237 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	3 Ts5 T.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Ts5 roots 2hr KNO3 nitrogen treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842237 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842237 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842237	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842237.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-36	ArrayExpress	GSM842237_sample_table.txt norm	GSM842237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Ts5
GSM842236 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	2 Ts5 T.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Ts5 roots 2hr KNO3 nitrogen treated, biological rep2"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842236 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842236 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842236	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842236.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-35	ArrayExpress	GSM842236_sample_table.txt norm	GSM842236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Ts5
GSM842235 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	1 Ts5 T.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KNO3 nitrogen treated"	"Ts5 roots 2hr KNO3 nitrogen treated, biological rep1"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842235 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842235 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842235	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842235.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-34	ArrayExpress	GSM842235_sample_table.txt norm	GSM842235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	KNO3 nitrogen for 2 hours	EO	http://purl.obolibrary.org/obo/EO_0007284	Ts5
GSM842234 1	organism part	seedling	12	day	Ts5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	KCl control for 2 hours	  	  	3 Ts5 C.CEL	"12 day old Arabidopsis Ts5 ecotype roots, 2 hr 5mM KCl control treated"	"Ts5 roots 2hr KCl control treated, biological rep3"	P-GSE34130-44	ArrayExpress	P-GSE34130-43	ArrayExpress	P-GSE34130-45	ArrayExpress	GSM842234 extract 1	total RNA	P-GSE34130-46	ArrayExpress	GSM842234 LE 1	biotin	P-GSE34130-47	ArrayExpress	GSM842234	A-AFFY-2	ArrayExpress	array assay	P-GSE34130-48	ArrayExpress	GSM842234.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.raw.1.zip	P-GSE34130-33	ArrayExpress	GSM842234_sample_table.txt norm	GSM842234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34130/E-GEOD-34130.processed.1.zip	control	  	  	Ts5
