Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[genetic modification]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [environmental stress]	FactorValue[time]	Unit [time unit]
GSM852949 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 2 d	leaf_AB mutant_ozone_2d_biological rep4	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852949 extract 1	total RNA	P-GSE34667-5	GSM852949 LE 1	biotin	P-GSE34667-6	GSM852949	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852949_sample_table.txt norm	GSM852949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	48	hour
GSM852948 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 2 d	leaf_AB mutant_ozone_2d_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852948 extract 1	total RNA	P-GSE34667-5	GSM852948 LE 1	biotin	P-GSE34667-6	GSM852948	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852948_sample_table.txt norm	GSM852948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	48	hour
GSM852947 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 2 d	leaf_AB mutant_ozone_2d_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852947 extract 1	total RNA	P-GSE34667-5	GSM852947 LE 1	biotin	P-GSE34667-6	GSM852947	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852947_sample_table.txt norm	GSM852947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	48	hour
GSM852946 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 2 d	leaf_AB mutant_ozone_2d_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852946 extract 1	total RNA	P-GSE34667-5	GSM852946 LE 1	biotin	P-GSE34667-6	GSM852946	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852946_sample_table.txt norm	GSM852946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	48	hour
GSM852945 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 2 d	leaf_AB mutant_clean-air_2d_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852945 extract 1	total RNA	P-GSE34667-5	GSM852945 LE 1	biotin	P-GSE34667-6	GSM852945	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852945_sample_table.txt norm	GSM852945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	48	hour
GSM852944 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 2 d	leaf_AB mutant_clean-air_2d_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852944 extract 1	total RNA	P-GSE34667-5	GSM852944 LE 1	biotin	P-GSE34667-6	GSM852944	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852944.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852944_sample_table.txt norm	GSM852944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	48	hour
GSM852943 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, clean-air control, treated for 2 d	leaf_AB mutant_clean-air_2d_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852943 extract 1	total RNA	P-GSE34667-5	GSM852943 LE 1	biotin	P-GSE34667-6	GSM852943	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852943_sample_table.txt norm	GSM852943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	control	48	hour
GSM852942 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 2 d	leaf_Col_ozone_2d_biological rep4	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852942 extract 1	total RNA	P-GSE34667-5	GSM852942 LE 1	biotin	P-GSE34667-6	GSM852942	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852942_sample_table.txt norm	GSM852942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	48	hour
GSM852941 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 2 d	leaf_Col_ozone_2d_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852941 extract 1	total RNA	P-GSE34667-5	GSM852941 LE 1	biotin	P-GSE34667-6	GSM852941	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852941_sample_table.txt norm	GSM852941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	48	hour
GSM852940 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 2 d	leaf_Col_ozone_2d_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852940 extract 1	total RNA	P-GSE34667-5	GSM852940 LE 1	biotin	P-GSE34667-6	GSM852940	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852940.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852940_sample_table.txt norm	GSM852940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	48	hour
GSM852939 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, 125 ppb ozone, treated for 2 d	leaf_Col_ozone_2d_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852939 extract 1	total RNA	P-GSE34667-5	GSM852939 LE 1	biotin	P-GSE34667-6	GSM852939	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852939_sample_table.txt norm	GSM852939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	ozone	48	hour
GSM852938 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 2 d	leaf_Col_clean-air_2d_biological rep4	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852938 extract 1	total RNA	P-GSE34667-5	GSM852938 LE 1	biotin	P-GSE34667-6	GSM852938	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852938_sample_table.txt norm	GSM852938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	48	hour
GSM852937 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 2 d	leaf_Col_clean-air_2d_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852937 extract 1	total RNA	P-GSE34667-5	GSM852937 LE 1	biotin	P-GSE34667-6	GSM852937	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852937_sample_table.txt norm	GSM852937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	48	hour
GSM852936 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 2 d	leaf_Col_clean-air_2d_biological rep2	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852936 extract 1	total RNA	P-GSE34667-5	GSM852936 LE 1	biotin	P-GSE34667-6	GSM852936	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852936_sample_table.txt norm	GSM852936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	48	hour
GSM852935 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	wild type	none	Arabidopsis leaf, Col-0 genotype, clean-air control, treated for 2 d	leaf_Col_clean-air_2d_biological rep1	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852935 extract 1	total RNA	P-GSE34667-5	GSM852935 LE 1	biotin	P-GSE34667-6	GSM852935	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852935_sample_table.txt norm	GSM852935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	wild type	control	48	hour
GSM852934 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	leaf	gpa1-4, agb1-2 double mutant	gene knock out	Arabidopsis leaf, G-protein null mutant genotype, 125 ppb ozone, treated for 3 h	leaf_AB mutant_ozone_3h_biological rep3	P-GSE34667-3	P-GSE34667-2	P-GSE34667-4	GSM852934 extract 1	total RNA	P-GSE34667-5	GSM852934 LE 1	biotin	P-GSE34667-6	GSM852934	A-AFFY-2	P-GSE34667-7	P-GSE34667-8	GSM852934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.raw.1.zip	P-GSE34667-1	GSM852934_sample_table.txt norm	GSM852934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34667/E-GEOD-34667.processed.1.zip	G-protein knockout mutant	ozone	3	hour
