Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Factor Value [EnvironmentalStress]	Factor Value [Genotype]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3533GSM81018	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	hy5-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with hy5-1 mutation grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81018 sample	P-G3533-3	GSE3533GSM81018 extract	total_RNA	P-G3533-4	GSE3533GSM81018 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep2	A-AFFY-2	UV-B light	hy5-1 mutant	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep2	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81016	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	uvr8-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with uvr8-1 mutation grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81016 sample	P-G3533-3	GSE3533GSM81016 extract	total_RNA	P-G3533-4	GSE3533GSM81016 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_uvr8-1_mutant_in_UV-B_light_rep3	A-AFFY-2	UV-B light	uvr8-1 mutant	Arabidopsis_leaf_uvr8-1_mutant_in_UV-B_light_rep3	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81009	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	wild_type	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of wild type plants grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81009 sample	P-G3533-3	GSE3533GSM81009 extract	total_RNA	P-G3533-4	GSE3533GSM81009 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_wildtype_in_UV-B_light_rep2	A-AFFY-2	UV-B light	wild_type	Arabidopsis_leaf_wildtype_in_UV-B_light_rep2	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81012	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	uvr8-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with uvr8-1 mutation grown for 3 weeks in continuous white light	  	P-G3533-8	GSE3533GSM81012 sample	P-G3533-3	GSE3533GSM81012 extract	total_RNA	P-G3533-4	GSE3533GSM81012 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_uvr8-1_mutant_in_white_light_rep2	A-AFFY-2	white light	uvr8-1 mutant	Arabidopsis_leaf_uvr8-1_mutant_in_white_light_rep2	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81008	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	wild_type	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of wild type plants grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81008 sample	P-G3533-3	GSE3533GSM81008 extract	total_RNA	P-G3533-4	GSE3533GSM81008 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_wildtype_in_UV-B_light_rep1	A-AFFY-2	UV-B light	wild_type	Arabidopsis_leaf_wildtype_in_UV-B_light_rep1	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81017	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	hy5-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with hy5-1 mutation grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81017 sample	P-G3533-3	GSE3533GSM81017 extract	total_RNA	P-G3533-4	GSE3533GSM81017 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep1	A-AFFY-2	UV-B light	hy5-1 mutant	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep1	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81011	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	uvr8-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with uvr8-1 mutation grown for 3 weeks in continuous white light	  	P-G3533-8	GSE3533GSM81011 sample	P-G3533-3	GSE3533GSM81011 extract	total_RNA	P-G3533-4	GSE3533GSM81011 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_uvr8-1_mutant_in_white_light_rep1	A-AFFY-2	white light	uvr8-1 mutant	Arabidopsis_leaf_uvr8-1_mutant_in_white_light_rep1	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81019	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	hy5-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with hy5-1 mutation grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81019 sample	P-G3533-3	GSE3533GSM81019 extract	total_RNA	P-G3533-4	GSE3533GSM81019 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep3	A-AFFY-2	UV-B light	hy5-1 mutant	Arabidopsis_leaf_hy5-1_mutant_in_UV-B_light_rep3	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81014	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	uvr8-1 mutant	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of plants with uvr8-1 mutation grown for 3 weeks in continuous white light and subsequently exposed to to 4hours of UV-B light	P-G3533-2	P-G3533-8	GSE3533GSM81014 sample	P-G3533-3	GSE3533GSM81014 extract	total_RNA	P-G3533-4	GSE3533GSM81014 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_uvr8-1_mutant_in_UV-B_light_rep1	A-AFFY-2	UV-B light	uvr8-1 mutant	Arabidopsis_leaf_uvr8-1_mutant_in_UV-B_light_rep1	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
GSE3533GSM81005	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	wild_type	Landsberg erecta	Arabidopsis (Landsberg erecta) leafs of wild type plants grown for 3 weeks in continuous white light	  	P-G3533-8	GSE3533GSM81005 sample	P-G3533-3	GSE3533GSM81005 extract	total_RNA	P-G3533-4	GSE3533GSM81005 LE.biotin	biotin	synthetic_RNA	P-G3533-5	Arabidopsis_leaf_wildtype_in_white_light_rep1	A-AFFY-2	white light	wild_type	Arabidopsis_leaf_wildtype_in_white_light_rep1	E-GEOD-3533-processed-data-1435211173.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3533/E-GEOD-3533.processed.1.zip
