Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [cell type]	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]	FactorValue [genotype]
GSM918089 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with sucrose, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918089 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918089 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918089	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918089_rgs1_sucrose_3-71.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918089_sample_table.txt norm	GSM918089_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	sucrose	rgs1 mutant
GSM918088 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with sucrose, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918088 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918088 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918088	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918088_rgs1_sucrose_2-50.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918088_sample_table.txt norm	GSM918088_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	sucrose	rgs1 mutant
GSM918087 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with sucrose, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918087 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918087 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918087	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918087_rgs1_sucrose_1-26.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918087_sample_table.txt norm	GSM918087_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	sucrose	rgs1 mutant
GSM918086 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with no sugars, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918086 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918086 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918086	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918086_rgs1_no_sugar_3-75.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918086_sample_table.txt norm	GSM918086_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	control	rgs1 mutant
GSM918085 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with no sugars, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918085 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918085 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918085	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918085_rgs1_no_sugar_2-74.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918085_sample_table.txt norm	GSM918085_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	control	rgs1 mutant
GSM918084 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with no sugars, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918084 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918084 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918084	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918084_rgs1_no_sugar_1-53.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918084_sample_table.txt norm	GSM918084_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	control	rgs1 mutant
GSM918083 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with mannitol, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918083 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918083 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918083	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918083_rgs1_mannitol_3-70.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918083_sample_table.txt norm	GSM918083_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	mannitol	rgs1 mutant
GSM918082 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with mannitol, biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918082 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918082 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918082	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918082_rgs1_mannitol_2-67.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918082_sample_table.txt norm	GSM918082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	mannitol	rgs1 mutant
GSM918081 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	rgs1 treated with mannitol, biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	rgs1 mutant	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918081 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918081 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918081	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918081_rgs1_mannitol_1-63.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918081_sample_table.txt norm	GSM918081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	mannitol	rgs1 mutant
GSM918080 1	RNA was amplified twice with T7 RNA polymerase	guard cells from Arabidopsis rosette leaves	wild type treated with sucrose, biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	guard cell	Col-0	rosette leaf	wild type	P-GSE37408-2	ArrayExpress	P-GSE37408-3	ArrayExpress	P-GSE37408-4	ArrayExpress	GSM918080 extract 1	total RNA	P-GSE37408-5	ArrayExpress	GSM918080 LE 1	biotin	P-GSE37408-6	ArrayExpress	GSM918080	A-AFFY-2	ArrayExpress	P-GSE37408-7	ArrayExpress	P-GSE37408-8	ArrayExpress	GSM918080_WT_sucrose_3-64.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.raw.1.zip	P-GSE37408-1	ArrayExpress	GSM918080_sample_table.txt norm	GSM918080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37408/E-GEOD-37408.processed.1.zip	sucrose	wild type
