Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM920887 1	3d old, both 10mM sucrose and 0.2?M SMX	3d old, both 10mM sucrose and 0.2?M SMX, rep3	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920887 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920887 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920887	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920887_bot1663.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920887_sample_table.txt norm	GSM920887_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920886 1	3d old, 10mM sucrose only	3d old, 10mM sucrose only, rep3	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920886 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920886 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920886	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920886_bot1683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920886_sample_table.txt norm	GSM920886_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920885 1	3d old, 0.2?M SMX only	3d old, 0.2?M SMX only, rep3	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920885 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920885 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920885	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920885_bot1661.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920885_sample_table.txt norm	GSM920885_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920884 1	3d old, no treatment	3d old, no treatment, rep3	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920884 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920884 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920884	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920884_bot1660.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920884_sample_table.txt norm	GSM920884_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920883 1	3d old, both 10mM sucrose and 0.2?M SMX	3d old, both 10mM sucrose and 0.2?M SMX, rep2	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920883 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920883 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920883	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920883_bot1659.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920883_sample_table.txt norm	GSM920883_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920882 1	3d old, 10mM sucrose only	3d old, 10mM sucrose only, rep2	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920882 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920882 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920882	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920882_bot1658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920882_sample_table.txt norm	GSM920882_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920881 1	3d old, 0.2?M SMX only	3d old, 0.2?M SMX only, rep2	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920881 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920881 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920881	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920881_bot1657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920881_sample_table.txt norm	GSM920881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920880 1	3d old, no treatment	3d old, no treatment, rep2	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920880 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920880 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920880	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920880_bot1656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920880_sample_table.txt norm	GSM920880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920879 1	3d old, both 10mM sucrose and 0.2?M SMX	3d old, both 10mM sucrose and 0.2?M SMX, rep1	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920879 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920879 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920879	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920879_bot1655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920879_sample_table.txt norm	GSM920879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
GSM920878 1	3d old, 10mM sucrose only	3d old, 10mM sucrose only, rep1	Columbia	Wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Whole seedling	P-GSE37484-2	ArrayExpress	P-GSE37484-3	ArrayExpress	GSM920878 extract 1	total RNA	P-GSE37484-4	ArrayExpress	GSM920878 LE 1	biotin	P-GSE37484-5	ArrayExpress	GSM920878	A-AFFY-2	ArrayExpress	array assay	P-GSE37484-6	ArrayExpress	GSM920878_bot1654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.raw.1.zip	P-GSE37484-1	ArrayExpress	GSM920878_sample_table.txt norm	GSM920878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-37484/E-GEOD-37484.processed.1.zip
