Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]	Term Source REF	Term Accession Number	FactorValue [VARIATION]
GSM955996 1	Gene expression data from Arabidopsis rcf1-1 plants with cold stress for 24 h	Arabidopsis rcf1-1, cold at 4�C, 24 h.	rcf1-1_cold_24 h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955996 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955996 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955996	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955996_rcf24-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955996_sample_table.txt norm	GSM955996_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	rcf1-1
GSM955995 1	Gene expression data from Arabidopsis rcf1-1 plants with cold stress for 24 h	Arabidopsis rcf1-1, cold at 4�C, 24 h.	rcf1-1_cold_24 h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955995 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955995 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955995	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955995_rcf24-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955995_sample_table.txt norm	GSM955995_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	rcf1-1
GSM955994 1	Gene expression data from Arabidopsis rcf1-1 plants with cold stress for 12 h	Arabidopsis rcf1-1, cold at 4�C,12 h.	rcf1-1_cold_12 h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955994 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955994 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955994	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955994_rcf12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955994_sample_table.txt norm	GSM955994_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	rcf1-1
GSM955993 1	Gene expression data from Arabidopsis rcf1-1 plants with cold stress for 12 h	Arabidopsis rcf1-1, cold at 4�C,12 h.	rcf1-1_cold_12h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955993 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955993 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955993	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955993_rcf12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955993_sample_table.txt norm	GSM955993_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	rcf1-1
GSM955992 1	Gene expression data from Arabidopsis rcf1-1 plants without cold stress	Arabidopsis rcf1-1, cold, control.	rcf1-1_cold_0 h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955992 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955992 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955992	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955992_rcf0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955992_sample_table.txt norm	GSM955992_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	control	EFO	EFO_0001461	rcf1-1
GSM955991 1	Gene expression data from Arabidopsis rcf1-1 plants without cold stress	Arabidopsis rcf1-1, cold, control.	rcf1-1_cold_0 h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	rcf1-1	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955991 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955991 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955991	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955991_rcf0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955991_sample_table.txt norm	GSM955991_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	control	EFO	EFO_0001461	rcf1-1
GSM955990 1	Gene expression data from Arabidopsis wild type plants with cold stress for 24 h	Arabidopsis wild type, cold at 4�C, 24 h.	WT_cold_24 h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	wild type	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955990 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955990 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955990	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955990_WT24-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955990_sample_table.txt norm	GSM955990_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	wild type
GSM955989 1	Gene expression data from Arabidopsis wild type plants with cold stress for 24 h	Arabidopsis wild type, cold at 4�C, 24 h.	WT_cold_24 h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	wild type	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955989 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955989 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955989	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955989_WT24-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955989_sample_table.txt norm	GSM955989_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	wild type
GSM955988 1	Gene expression data from Arabidopsis wild type plants with cold stress for 12 h	Arabidopsis wild type, cold at 4�C,12 h.	WT_cold_12 h_rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	wild type	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955988 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955988 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955988	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955988_WT12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955988_sample_table.txt norm	GSM955988_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	wild type
GSM955987 1	Gene expression data from Arabidopsis wild type plants with cold stress for 12 h	Arabidopsis wild type, cold at 4�C,12 h.	WT_cold_12 h_rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Fourteen-day-old	seedlings	wild type	P-GSE39090-2	ArrayExpress	P-GSE39090-3	ArrayExpress	P-GSE39090-4	ArrayExpress	GSM955987 extract 1	total RNA	P-GSE39090-5	ArrayExpress	GSM955987 LE 1	biotin	P-GSE39090-6	ArrayExpress	GSM955987	A-AFFY-2	ArrayExpress	array assay	P-GSE39090-7	ArrayExpress	P-GSE39090-8	ArrayExpress	GSM955987_WT12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.raw.1.zip	P-GSE39090-1	ArrayExpress	GSM955987_sample_table.txt norm	GSM955987_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39090/E-GEOD-39090.processed.1.zip	cold at 4�C	  	  	wild type
