Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue[growth condition]
GSM984541 1	Arabidopsis Thaliana mutant root in drought condition	Arabidopsis Thaliana mutant root in drought condition	camta1 root drought,biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984541 extract 1	total RNA	P-GSE40061-5	GSM984541 LE 1	biotin	P-GSE40061-6	GSM984541	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984541_camta1_root_drought_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984541_sample_table.txt norm	GSM984541_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	drought
GSM984540 1	Arabidopsis Thaliana mutant root in drought condition	Arabidopsis Thaliana mutant root in drought condition	camta1 root drought,biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984540 extract 1	total RNA	P-GSE40061-5	GSM984540 LE 1	biotin	P-GSE40061-6	GSM984540	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984540_camta1_root_drought_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984540_sample_table.txt norm	GSM984540_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	drought
GSM984539 1	Arabidopsis Thaliana mutant root in drought condition	Arabidopsis Thaliana mutant root in drought condition	camta1 root drought,biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984539 extract 1	total RNA	P-GSE40061-5	GSM984539 LE 1	biotin	P-GSE40061-6	GSM984539	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984539_camta1_root_drought_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984539_sample_table.txt norm	GSM984539_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	drought
GSM984538 1	Arabidopsis Thaliana mutant leaf in drought condition	Arabidopsis Thaliana mutant leaf in drought condition	camta1 leaf drought,biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984538 extract 1	total RNA	P-GSE40061-5	GSM984538 LE 1	biotin	P-GSE40061-6	GSM984538	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984538_camta1_leaf_drought_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984538_sample_table.txt norm	GSM984538_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	drought
GSM984537 1	Arabidopsis Thaliana mutant leaf in drought condition	Arabidopsis Thaliana mutant leaf in drought condition	camta1 leaf drought,biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984537 extract 1	total RNA	P-GSE40061-5	GSM984537 LE 1	biotin	P-GSE40061-6	GSM984537	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984537_camta1_leaf_drought_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984537_sample_table.txt norm	GSM984537_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	drought
GSM984536 1	Arabidopsis Thaliana mutant leaf in drought condition	Arabidopsis Thaliana mutant leaf in drought condition	camta1 leaf drought,biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984536 extract 1	total RNA	P-GSE40061-5	GSM984536 LE 1	biotin	P-GSE40061-6	GSM984536	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984536_camta1_leaf_drought_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984536_sample_table.txt norm	GSM984536_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	drought
GSM984535 1	Arabidopsis Thaliana  mutant root in water condition	Arabidopsis Thaliana  mutant root in water condition	camta1 root water,biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984535 extract 1	total RNA	P-GSE40061-5	GSM984535 LE 1	biotin	P-GSE40061-6	GSM984535	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984535_camta1_root_water_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984535_sample_table.txt norm	GSM984535_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	control
GSM984534 1	Arabidopsis Thaliana  mutant root in water condition	Arabidopsis Thaliana  mutant root in water condition	camta1 root water,biological replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984534 extract 1	total RNA	P-GSE40061-5	GSM984534 LE 1	biotin	P-GSE40061-6	GSM984534	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984534_camta1_root_water2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984534_sample_table.txt norm	GSM984534_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	control
GSM984533 1	Arabidopsis Thaliana  mutant root in water condition	Arabidopsis Thaliana  mutant root in water condition	camta1 root water,biological replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	root	EFO	EFO_0000989	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984533 extract 1	total RNA	P-GSE40061-5	GSM984533 LE 1	biotin	P-GSE40061-6	GSM984533	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984533_camta1_root_water_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984533_sample_table.txt norm	GSM984533_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	root	control
GSM984532 1	Arabidopsis Thaliana mutant leaf in water condition	Arabidopsis Thaliana mutant leaf in water condition	camta1 leaf water,biological replicate 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	camta1-3 mutant	Col-0	leaf	EFO	EFO_0000993	P-GSE40061-3	P-GSE40061-2	P-GSE40061-4	GSM984532 extract 1	total RNA	P-GSE40061-5	GSM984532 LE 1	biotin	P-GSE40061-6	GSM984532	A-AFFY-2	P-GSE40061-7	P-GSE40061-8	GSM984532_camta1_leaf_water_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.raw.1.zip	P-GSE40061-1	GSM984532_sample_table.txt norm	GSM984532_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40061/E-GEOD-40061.processed.1.zip	camta1-3 mutant	leaf	control
