Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [organism part]	FactorValue [compound]	FactorValue[dose]	Unit[concentration unit]
GSM984742 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of WT 100uM Fe	roots of WT 100uM Fe, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984742 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984742 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984742	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984742_wt100_24_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984742_sample_table.txt norm	GSM984742_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	iron	100	micromolar
GSM984741 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of WT 100uM Fe	roots of WT 100uM Fe, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984741 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984741 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984741	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984741_wt100_23_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984741_sample_table.txt norm	GSM984741_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	iron	100	micromolar
GSM984740 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of WT 100uM Fe	roots of WT 100uM Fe, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984740 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984740 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984740	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984740_wt100_22_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984740_sample_table.txt norm	GSM984740_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	iron	100	micromolar
GSM984739 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS without any iron added	roots of WT 0uM Fe	roots of WT 0uM Fe, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984739 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984739 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984739	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984739_wt0_21_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984739_sample_table.txt norm	GSM984739_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	none	  	        
GSM984738 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS without any iron added	roots of WT 0uM Fe	roots of WT 0uM Fe, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984738 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984738 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984738	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984738_wt0_20_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984738_sample_table.txt norm	GSM984738_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	none	  	        
GSM984737 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS without any iron added	roots of WT 0uM Fe	roots of WT 0uM Fe, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	wild type	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984737 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984737 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984737	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984737_wt0_19_20110906_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984737_sample_table.txt norm	GSM984737_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	wild type	root	none	  	        
GSM984736 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of bhlh100/101 100uM Fe	roots of bhlh100/101 100uM Fe, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	bhlh100/101 double mutant	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984736 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984736 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984736	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984736_dm100_18_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984736_sample_table.txt norm	GSM984736_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	bhlh100/101 double mutant	root	iron	100	micromolar
GSM984735 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of bhlh100/101 100uM Fe	roots of bhlh100/101 100uM Fe, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	bhlh100/101 double mutant	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984735 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984735 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984735	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984735_dm100_17_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984735_sample_table.txt norm	GSM984735_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	bhlh100/101 double mutant	root	iron	100	micromolar
GSM984734 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS supplemented with 100uM iron added	roots of bhlh100/101 100uM Fe	roots of bhlh100/101 100uM Fe, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	bhlh100/101 double mutant	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984734 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984734 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984734	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984734_dm100_16_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984734_sample_table.txt norm	GSM984734_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	bhlh100/101 double mutant	root	iron	100	micromolar
GSM984733 1	Gene expression data from roots of 10-day-old plants grown on 0.5X MS without any iron added	roots of bhlh100/101 0uM Fe	roots of bhlh100/101 0uM Fe, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	10	day	bhlh100/101 double mutant	Col-0	root	P-GSE40076-2	ArrayExpress	P-GSE40076-3	ArrayExpress	P-GSE40076-4	ArrayExpress	GSM984733 extract 1	total RNA	P-GSE40076-5	ArrayExpress	GSM984733 LE 1	biotin	P-GSE40076-6	ArrayExpress	GSM984733	A-AFFY-2	ArrayExpress	P-GSE40076-7	ArrayExpress	P-GSE40076-8	ArrayExpress	GSM984733_dm0_15_20110907_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.raw.1.zip	P-GSE40076-1	ArrayExpress	GSM984733_sample_table.txt norm	GSM984733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40076/E-GEOD-40076.processed.1.zip	bhlh100/101 double mutant	root	none	  	        
