Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [genotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [sample date]	Characteristics [stress]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]	FactorValue [SAMPLE DATE]	FactorValue [STRESS]
GSM1006632 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from drought-treated plant	Arabidopsis inflorescence sampled 10 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 10, replicate 3	Arabidopsis at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	10 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006632 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006632 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006632	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006632_WTD103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006632_sample_table.txt norm	GSM1006632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 34 after seed germination	10 days later	drought-treated
GSM1006631 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from drought-treated plant	Arabidopsis inflorescence sampled 10 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 10, replicate 2	Arabidopsis at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	10 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006631 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006631 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006631	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006631_WTD102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006631_sample_table.txt norm	GSM1006631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 34 after seed germination	10 days later	drought-treated
GSM1006630 1	Gene expression data from Arabidopsis unopen flower buds sampled 5 days later from drought-treated plant	Arabidopsis inflorescence sampled 5 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 5, replicate 2	Arabidopsis at day 30 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	5 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006630 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006630 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006630	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006630_WTD52.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006630_sample_table.txt norm	GSM1006630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 30 after seed germination	5 days later	drought-treated
GSM1006629 1	Gene expression data from Arabidopsis unopen flower buds sampled 5 days later from drought-treated plant	Arabidopsis inflorescence sampled 5 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 5, replicate 1	Arabidopsis at day 30 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	5 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006629 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006629 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006629	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006629_WTD51.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006629_sample_table.txt norm	GSM1006629_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 30 after seed germination	5 days later	drought-treated
GSM1006628 1	Gene expression data from Arabidopsis unopen flower buds sampled 4 days later from drought-treated plant	Arabidopsis inflorescence sampled 4 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 4, replicate 2	Arabidopsis at day 29 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	4 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006628 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006628 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006628	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006628_WTD42.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006628_sample_table.txt norm	GSM1006628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 29 after seed germination	4 days later	drought-treated
GSM1006627 1	Gene expression data from Arabidopsis unopen flower buds sampled 4 days later from drought-treated plant	Arabidopsis inflorescence sampled 4 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 4, replicate 1	Arabidopsis at day 29 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	4 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006627 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006627 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006627	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006627_WTD41.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006627_sample_table.txt norm	GSM1006627_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 29 after seed germination	4 days later	drought-treated
GSM1006626 1	Gene expression data from Arabidopsis unopen flower buds sampled 3 days later from drought-treated plant	Arabidopsis inflorescence sampled 3 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 3, replicate 2	Arabidopsis at day 28 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	3 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006626 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006626 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006626	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006626_WTD32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006626_sample_table.txt norm	GSM1006626_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 28 after seed germination	3 days later	drought-treated
GSM1006625 1	Gene expression data from Arabidopsis unopen flower buds sampled 3 days later from drought-treated plant	Arabidopsis inflorescence sampled 3 days later from drought-treated plant	Wild type (Col-0) inflorescence, drought-treated, day 3, replicate 1	Arabidopsis at day 28 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	3 days later	drought-treated	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006625 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006625 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006625	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006625_WTD31.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006625_sample_table.txt norm	GSM1006625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 28 after seed germination	3 days later	drought-treated
GSM1006624 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from well-watered plant	Arabidopsis inflorescence sampled 10 days later from well-watered plant	Wild type (Col-0) inflorescence, well-watered, day 10, replicate 3	Arabidopsis at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	10 days later	well-watered	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006624 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006624 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006624	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006624_WTN103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006624_sample_table.txt norm	GSM1006624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 34 after seed germination	10 days later	well-watered
GSM1006623 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from well-watered plant	Arabidopsis inflorescence sampled 10 days later from well-watered plant	Wild type (Col-0) inflorescence, well-watered, day 10, replicate 2	Arabidopsis at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	10 days later	well-watered	P-GSE40998-2	ArrayExpress	P-GSE40998-3	ArrayExpress	P-GSE40998-4	ArrayExpress	GSM1006623 extract 1	total RNA	P-GSE40998-5	ArrayExpress	GSM1006623 LE 1	biotin	P-GSE40998-6	ArrayExpress	GSM1006623	A-AFFY-2	ArrayExpress	array assay	P-GSE40998-7	ArrayExpress	GSM1006623_WTN102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.raw.1.zip	P-GSE40998-1	ArrayExpress	GSM1006623_sample_table.txt norm	GSM1006623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40998/E-GEOD-40998.processed.1.zip	Arabidopsis at day 34 after seed germination	10 days later	well-watered
