Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
GSM1009061 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-2_mutant_14-day-seedling-leaf_water_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009061 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009061 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009061	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009061_TDNA2_water_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009061_sample_table.txt norm	GSM1009061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	water	  	        
GSM1009060 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-2_mutant_14-day-seedling-leaf_water_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009060 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009060 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009060	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009060_TDNA2_water_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009060_sample_table.txt norm	GSM1009060_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	water	  	        
GSM1009059 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-2_mutant_14-day-seedling-leaf_water_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009059 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009059 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009059	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009059_TDNA2_water_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009059_sample_table.txt norm	GSM1009059_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	water	  	        
GSM1009058 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-2_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009058 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009058 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009058	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009058_TDNA2_H2O2_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009058_sample_table.txt norm	GSM1009058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	hydrogen peroxide	20	millimolar
GSM1009057 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-2_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009057 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009057 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009057	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009057_TDNA2_H2O2_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009057_sample_table.txt norm	GSM1009057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	hydrogen peroxide	20	millimolar
GSM1009056 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 20 mM H2O2 for 3h	leaf tissue H2O2 treated 3h	anac017-2_mutant_14-day-seedling-leaf_H2O2_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009056 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009056 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009056	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009056_TDNA2_H2O2_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009056_sample_table.txt norm	GSM1009056_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	hydrogen peroxide	20	millimolar
GSM1009055 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-2_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009055 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009055 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009055	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009055_TDNA2_AA_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009055_sample_table.txt norm	GSM1009055_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	antimycin A	50	micromolar
GSM1009054 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-2_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep2	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009054 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009054 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009054	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009054_TDNA2_AA_2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009054_sample_table.txt norm	GSM1009054_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	antimycin A	50	micromolar
GSM1009053 1	gene expression data from anac017-2 arabidopsis 14-day-old seedlings treated with 50 uM Antimycin A for 3h	leaf tissue AntimycinA treated 3h	anac017-2_mutant_14-day-seedling-leaf_AntimycinA_treated_3h_rep1	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-2	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009053 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009053 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009053	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009053_TDNA2_AA_1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009053_sample_table.txt norm	GSM1009053_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-2	antimycin A	50	micromolar
GSM1009052 1	gene expression data from anac017-1 arabidopsis 14-day-old seedlings treated with water control for 3h	leaf tissue water treated 3h	anac017-1_mutant_14-day-seedling-leaf_water_treated_3h_rep3	14	day	seedling	leaf	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	anac017-1	P-GSE41136-2	ArrayExpress	P-GSE41136-3	ArrayExpress	P-GSE41136-4	ArrayExpress	GSM1009052 extract 1	total RNA	P-GSE41136-5	ArrayExpress	GSM1009052 LE 1	biotin	P-GSE41136-6	ArrayExpress	GSM1009052	A-AFFY-2	ArrayExpress	array assay	P-GSE41136-7	ArrayExpress	P-GSE41136-8	ArrayExpress	GSM1009052_TDNA1_water_3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.raw.1.zip	P-GSE41136-1	ArrayExpress	GSM1009052_sample_table.txt norm	GSM1009052_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41136/E-GEOD-41136.processed.1.zip	anac017-1	water	  	        
