Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Material Type	Characteristics[organism part]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [growth condition]
GSM1024079 1	leaf 8, current injection	current injection, Rep 3	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-10	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024079 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024079 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024079	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024079_current_injection_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024079_sample_table.txt norm	GSM1024079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	40 microampere of electric current for 10 second
GSM1024078 1	leaf 8, current injection	current injection, Rep 2	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-10	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024078 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024078 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024078	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024078_current_injection_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024078_sample_table.txt norm	GSM1024078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	40 microampere of electric current for 10 second
GSM1024077 1	leaf 8, current injection	current injection, Rep 1	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-10	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024077 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024077 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024077	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024077_current_injection_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024077_sample_table.txt norm	GSM1024077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	40 microampere of electric current for 10 second
GSM1024076 1	leaf 8, no current injection	no current injection, Rep 3	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-9	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024076 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024076 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024076	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024076_no_current_injection_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024076_sample_table.txt norm	GSM1024076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	no electric current injection
GSM1024075 1	leaf 8, no current injection	no current injection, Rep 2	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-9	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024075 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024075 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024075	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024075_no_current_injection_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024075_sample_table.txt norm	GSM1024075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	no electric current injection
GSM1024074 1	leaf 8, no current injection	no current injection, Rep 1	organism part	leaf 8	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-9	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024074 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024074 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024074	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024074_no_current_injection_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024074_sample_table.txt norm	GSM1024074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	no electric current injection
GSM1024073 1	leaf 13 when leaf 8 was wounded	leaf13, Rep3	organism part	leaf 13	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-8	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024073 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024073 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024073	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024073_leaf_13_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024073_sample_table.txt norm	GSM1024073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	leaf 8 wounded
GSM1024072 1	leaf 13 when leaf 8 was wounded	leaf13, Rep2	organism part	leaf 13	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-8	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024072 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024072 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024072	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024072_leaf_13_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024072_sample_table.txt norm	GSM1024072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	leaf 8 wounded
GSM1024071 1	leaf 13 when leaf 8 was wounded	leaf13, Rep1	organism part	leaf 13	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-8	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024071 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024071 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024071	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024071_leaf_13_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024071_sample_table.txt norm	GSM1024071_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	leaf 8 wounded
GSM1024070 1	leaf 13 from unwounded plant	unwounded leaves, Rep 3	organism part	leaf 13	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE41779-3	ArrayExpress	P-GSE41779-2	ArrayExpress	P-GSE41779-4	ArrayExpress	GSM1024070 extract 1	total RNA	P-GSE41779-5	ArrayExpress	GSM1024070 LE 1	biotin	P-GSE41779-6	ArrayExpress	GSM1024070	A-AFFY-2	ArrayExpress	array assay	P-GSE41779-7	ArrayExpress	GSM1024070_unwounded_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.raw.1.zip	P-GSE41779-1	ArrayExpress	GSM1024070_sample_table.txt norm	GSM1024070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41779/E-GEOD-41779.processed.1.zip	unwounded
