Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [biosource provider]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [developmental stage]	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time]	Unit [time unit]	FactorValue [compound]
GSM1053038 1	Gene expression data from roots upon NPA treatment for 3 days. Biological replicate 3 of 3.	Roots of seedling grown 3 days on NPA	Roots at T0 (NPA), rep3	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	no lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053038 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053038 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053038	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053038_hyb4653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053038_sample_table.txt norm	GSM1053038_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	  	  	mock
GSM1053037 1	Gene expression data from roots upon NPA treatment for 3 days. Biological replicate 2 of 3.	Roots of seedling grown 3 days on NPA	Roots at T0 (NPA), rep2	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	no lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053037 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053037 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053037	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053037_hyb4648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053037_sample_table.txt norm	GSM1053037_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	  	  	mock
GSM1053036 1	Gene expression data from roots upon NPA treatment for 3 days. Biological replicate 1 of 3.	Roots of seedling grown 3 days on NPA	Roots at T0 (NPA), rep1	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	no lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053036 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053036 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053036	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053036_hyb4643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053036_sample_table.txt norm	GSM1053036_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	  	  	mock
GSM1053035 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 6 hours. Biological replicate 3 of 3.	Roots of seedling transferred from NPA to NAA for 6 hours	Roots at T2' NAA, rep3	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053035 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053035 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053035	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053035_hyb4656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053035_sample_table.txt norm	GSM1053035_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	6	hour	1-Naphthaleneacetic acid
GSM1053034 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 6 hours. Biological replicate 2 of 3.	Roots of seedling transferred from NPA to NAA for 6 hours	Roots at T2' NAA, rep2	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053034 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053034 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053034	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053034_hyb4651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053034_sample_table.txt norm	GSM1053034_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	6	hour	1-Naphthaleneacetic acid
GSM1053033 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 6 hours. Biological replicate 1 of 3.	Roots of seedling transferred from NPA to NAA for 6 hours	Roots at T2' NAA, rep1	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053033 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053033 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053033	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053033_hyb4646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053033_sample_table.txt norm	GSM1053033_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	6	hour	1-Naphthaleneacetic acid
GSM1053032 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 2 hours. Biological replicate 3 of 3.	Roots of seedling transferred from NPA to NAA for 2 hours	Roots at T1' NAA, rep3	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053032 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053032 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053032	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053032_hyb4654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053032_sample_table.txt norm	GSM1053032_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	2	hour	1-Naphthaleneacetic acid
GSM1053031 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 2 hours. Biological replicate 2 of 3.	Roots of seedling transferred from NPA to NAA for 2 hours	Roots at T1' NAA, rep2	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053031 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053031 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053031	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053031_hyb4649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053031_sample_table.txt norm	GSM1053031_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	2	hour	1-Naphthaleneacetic acid
GSM1053030 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with NAA for 2 hours. Biological replicate 1 of 3.	Roots of seedling transferred from NPA to NAA for 2 hours	Roots at T1' NAA, rep1	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053030 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053030 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053030	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053030_hyb4644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053030_sample_table.txt norm	GSM1053030_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	2	hour	1-Naphthaleneacetic acid
GSM1053029 1	Gene expression data from roots upon lateral root-inducible system (LRIS) treatment with naxillin for 6 hours. Biological replicate 3 of 3.	Roots of seedling transferred from NPA to naxillin for 6 hours	Roots at T2 naxillin, rep3	Local provider, Bert de Rybel	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	germination	Col-0	lateral root initiation	root	EFO	EFO_0000989	P-GSE42896-2	ArrayExpress	P-GSE42896-3	ArrayExpress	GSM1053029 extract 1	total RNA	P-GSE42896-4	ArrayExpress	GSM1053029 LE 1	biotin	P-GSE42896-5	ArrayExpress	GSM1053029	A-AFFY-2	ArrayExpress	array assay	P-GSE42896-6	ArrayExpress	P-GSE42896-7	ArrayExpress	GSM1053029_hyb4657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.raw.1.zip	P-GSE42896-1	ArrayExpress	GSM1053029_sample_table.txt norm	GSM1053029_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42896/E-GEOD-42896.processed.1.zip	6	hour	naxillin
