Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1071688 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 4?C for 24 hrs	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C and treated at 4?C for 24 hrs	camta1/2/3 24h cold biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071688 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071688 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071688	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071688_camta123_24hcold_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071688_sample_table.txt norm	GSM1071688_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C and treated at 4 C for 24 hours
GSM1071687 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 4?C for 24 hrs	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C and treated at 4?C for 24 hrs	camta1/2/3 24h cold biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071687 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071687 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071687	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071687_camta123_24hcold_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071687_sample_table.txt norm	GSM1071687_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C and treated at 4 C for 24 hours
GSM1071686 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 4?C for 24 hrs	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C and treated at 4?C for 24 hrs	camta1/2/3 24h cold biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071686 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071686 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071686	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071686_camta123_24hcold_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071686_sample_table.txt norm	GSM1071686_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C and treated at 4 C for 24 hours
GSM1071685 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 22?C	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C	camta1/2/3 warm biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071685 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071685 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071685	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071685_camta123_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071685_sample_table.txt norm	GSM1071685_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C
GSM1071684 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 22?C	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C	camta1/2/3 warm biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071684 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071684 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071684	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071684_camta123_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071684_sample_table.txt norm	GSM1071684_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C
GSM1071683 1	Gene expression data from Arabidopsis thaliana camta1/2/3 mutant at 22?C	Arabidopsis thaliana camta1/2/3 mutant grown at 22?C	camta1/2/3 warm biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071683 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071683 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071683	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071683_camta123_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071683_sample_table.txt norm	GSM1071683_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/2/3 mutant	grown at 22 C
GSM1071682 1	Gene expression data from Arabidopsis thaliana camta1/3 mutant at 22?C	Arabidopsis thaliana camta1/3 mutant grown at 22?C	camta1/3 warm biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071682 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071682 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071682	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071682_camta13_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071682_sample_table.txt norm	GSM1071682_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/3 mutant	grown at 22 C
GSM1071681 1	Gene expression data from Arabidopsis thaliana camta1/3 mutant at 22?C	Arabidopsis thaliana camta1/3 mutant grown at 22?C	camta1/3 warm biological rep2	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071681 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071681 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071681	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071681_camta13_warm_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071681_sample_table.txt norm	GSM1071681_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/3 mutant	grown at 22 C
GSM1071680 1	Gene expression data from Arabidopsis thaliana camta1/3 mutant at 22?C	Arabidopsis thaliana camta1/3 mutant grown at 22?C	camta1/3 warm biological rep1	Col-0	EFO	EFO_0005148	23 to 30	day	camta1/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071680 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071680 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071680	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071680_camta13_warm_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071680_sample_table.txt norm	GSM1071680_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta1/3 mutant	grown at 22 C
GSM1071679 1	Gene expression data from Arabidopsis thaliana camta2/3 mutant at 22?C	Arabidopsis thaliana camta2/3 mutant grown at 22?C	camta2/3 warm biological rep3	Col-0	EFO	EFO_0005148	23 to 30	day	camta2/3 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	P-GSE43818-2	ArrayExpress	P-GSE43818-3	ArrayExpress	P-GSE43818-4	ArrayExpress	GSM1071679 extract 1	total RNA	P-GSE43818-5	ArrayExpress	GSM1071679 LE 1	biotin	P-GSE43818-6	ArrayExpress	GSM1071679	A-AFFY-2	ArrayExpress	array assay	P-GSE43818-7	ArrayExpress	GSM1071679_camta23_warm_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.raw.1.zip	P-GSE43818-1	ArrayExpress	GSM1071679_sample_table.txt norm	GSM1071679_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43818/E-GEOD-43818.processed.1.zip	camta2/3 mutant	grown at 22 C
