Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[ecotype]	Characteristics [genotype]	Characteristics[developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit [time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1074058 1	arabidopsis thaliana (columbia-0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	SAB_3	SAB_3 with array type ATH1 from Affymetrix	columbia-0	SAB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-18	ArrayExpress	GSM1074058 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074058 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074058	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074058_SAB_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074058_sample_table.txt norm	GSM1074058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	SAB
GSM1074057 1	arabidopsis thaliana (columbia-0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	SIZ_2	SIZ_2 with array type ATH1 from Affymetrix	columbia-0	SIZ1 knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-17	ArrayExpress	GSM1074057 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074057 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074057	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074057_SIZ_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074057_sample_table.txt norm	GSM1074057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	SIZ1
GSM1074056 1	arabidopsis thaliana (columbia-0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	SIZ_1	SIZ_1 with array type ATH1 from Affymetrix	columbia-0	SIZ1 knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-16	ArrayExpress	GSM1074056 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074056 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074056	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074056_SIZ_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074056_sample_table.txt norm	GSM1074056_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	SIZ1
GSM1074055 1	arabidopsis thaliana (columbia)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	AB_3	AB_3 with array type ATH1 from Affymetrix	columbia-0	AB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-15	ArrayExpress	GSM1074055 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074055 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074055	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074055_AB_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074055_sample_table.txt norm	GSM1074055_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	AB
GSM1074054 1	arabidopsis thaliana (columbia)  - age: 10day The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	AB_2	AB_2 with array type ATH1 from Affymetrix	columbia-0	AB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-14	ArrayExpress	GSM1074054 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074054 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074054	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074054_AB_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074054_sample_table.txt norm	GSM1074054_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	AB
GSM1074053 1	arabidopsis thaliana (columbia-0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	SAB_2	SAB_2 with array type ATH1 from Affymetrix	columbia-0	SAB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-13	ArrayExpress	GSM1074053 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074053 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074053	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074053_SAB_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074053_sample_table.txt norm	GSM1074053_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	SAB
GSM1074052 1	arabidopsis thaliana (columbia)  - age: 10day The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	AB_1	AB_1 with array type ATH1 from Affymetrix	columbia-0	AB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-12	ArrayExpress	GSM1074052 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074052 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074052	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074052_AB_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074052_sample_table.txt norm	GSM1074052_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	AB
GSM1074051 1	arabidopsis thaliana (columbia-0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	SAB_1	SAB_1 with array type ATH1 from Affymetrix	columbia-0	SAB knock-out,insertional mutagen,T-DNA	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-11	ArrayExpress	GSM1074051 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074051 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074051	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074051_SAB_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074051_sample_table.txt norm	GSM1074051_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	SAB
GSM1074050 1	arabidopsis thaliana (columbia_0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	COL_3	COL_3 with array type ATH1 from Affymetrix	columbia-0	wild type genotype	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-10	ArrayExpress	GSM1074050 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074050 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074050	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074050_COL_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074050_sample_table.txt norm	GSM1074050_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	wild type genotype
GSM1074049 1	arabidopsis thaliana (columbia_0)  - harvest date: 22-06-12 The main objective is to determinate the influence of Ubiquitin-Like Proteases in plant transcriptional modulation. The experiment will also allow us to find what transcriptional cues are particularly affected in the mutants relatively to wild-type.	COL_2	COL_2 with array type ATH1 from Affymetrix	columbia-0	wild type genotype	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	10	day	P-GSE43883-3	ArrayExpress	P-GSE43883-2	ArrayExpress	P-GSE43883-9	ArrayExpress	GSM1074049 extract 1	total RNA	P-GSE43883-5	ArrayExpress	GSM1074049 LE 1	Biotin	P-GSE43883-6	ArrayExpress	GSM1074049	A-AFFY-2	ArrayExpress	array assay	P-GSE43883-7	ArrayExpress	GSM1074049_COL_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.raw.1.zip	P-GSE43883-1	ArrayExpress	GSM1074049_sample_table.txt norm	GSM1074049_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-43883/E-GEOD-43883.processed.1.zip	wild type genotype
