Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [light]	FactorValue [genotype]
GSM1123861 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY63.3._high light_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123861 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123861 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123861	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123861_30_OE63.3._HL_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123861_sample_table.txt norm	GSM1123861_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63.3 OE
GSM1123860 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY63.3_high light_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123860 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123860 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123860	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123860_29_OE63.3_HL_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123860_sample_table.txt norm	GSM1123860_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63.3 OE
GSM1123859 1	Gene expression data from leaves of Atwrky63.3 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63.3 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY63.3_high light_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63.3 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123859 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123859 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123859	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123859_28_OE63.3_HL_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123859_sample_table.txt norm	GSM1123859_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63.3 OE
GSM1123858 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky63_high light_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123858 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123858 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123858	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123858_27_W63_HL_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123858_sample_table.txt norm	GSM1123858_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63 KO
GSM1123857 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky63_high light_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123857 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123857 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123857	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123857_26_W63_HL_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123857_sample_table.txt norm	GSM1123857_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63 KO
GSM1123856 1	Gene expression data from leaves of Atwrky63 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky63 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky63_high light_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky63 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123856 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123856 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123856	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123856_25_W63_HL_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123856_sample_table.txt norm	GSM1123856_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky63 KO
GSM1123855 1	Gene expression data from leaves of Atwrky40.4 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40.4 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY40.4_high light_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40.4 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123855 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123855 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123855	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123855_24_OE40.4_HL_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123855_sample_table.txt norm	GSM1123855_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40.4 OE
GSM1123854 1	Gene expression data from leaves of Atwrky40.4 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40.4 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY40.4_high light_rep2	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40.4 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123854 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123854 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123854	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123854_23_OE40.4_HL_2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123854_sample_table.txt norm	GSM1123854_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40.4 OE
GSM1123853 1	Gene expression data from leaves of Atwrky40.4 OE Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40.4 OE plants, treated with high light for 1h at 1000 μE m-2s-1	OE_WRKY40.4_high light_rep1	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40.4 OE	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123853 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123853 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123853	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123853_22_OE40.4_HL_1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123853_sample_table.txt norm	GSM1123853_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40.4 OE
GSM1123852 1	Gene expression data from leaves of Atwrky40 KO Arabidopsis plants, treated with high light for 1h at 1000 μE m-2s-1	Arabidopsis leaves from 21-day old Atwrky40 KO plants, treated with high light for 1h at 1000 μE m-2s-1	Atwrky40_high light_rep3	21	day	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	Col-0	Atwrky40 KO	P-GSE46107-2	ArrayExpress	P-GSE46107-3	ArrayExpress	P-GSE46107-4	ArrayExpress	GSM1123852 extract 1	total RNA	P-GSE46107-5	ArrayExpress	GSM1123852 LE 1	biotin	P-GSE46107-6	ArrayExpress	GSM1123852	A-AFFY-2	ArrayExpress	array assay	P-GSE46107-7	ArrayExpress	GSM1123852_21_W40_HL_3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.raw.1.zip	P-GSE46107-1	ArrayExpress	GSM1123852_sample_table.txt norm	GSM1123852_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46107/E-GEOD-46107.processed.1.zip	high light for 1h at 1000 μE m-2s-1	Atwrky40 KO
