Source Name	Material Type	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[growth condition]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1130607 1	whole organism	gul2-1bri1-5-3.CEL	7d-old gul2-1bri1-5 double mutant seedling grown under red light	"gul2-1 bri1-5 mutant, biological rep3"	grown under red light	gul2-1 bri1-5 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130607 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130607 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130607	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130607_gul2-1bri1-5-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130607_sample_table.txt norm	GSM1130607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 bri1-5 double mutant
GSM1130606 1	whole organism	gul2-1bri1-5-2.CEL	7d-old gul2-1bri1-5 double mutant seedling grown under red light	"gul2-1 bri1-5 mutant, biological rep2"	grown under red light	gul2-1 bri1-5 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130606 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130606 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130606	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130606_gul2-1bri1-5-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130606_sample_table.txt norm	GSM1130606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 bri1-5 double mutant
GSM1130605 1	whole organism	gul2-1bri1-5-1.CEL	7d-old gul2-1bri1-5 double mutant seedling grown under red light	"gul2-1 bri1-5 mutant, biological rep1"	grown under red light	gul2-1 bri1-5 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130605 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130605 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130605	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130605_gul2-1bri1-5-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130605_sample_table.txt norm	GSM1130605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 bri1-5 double mutant
GSM1130604 1	whole organism	gul2-1-3.CEL	7d-old gul2-1 mutant seedling grown under red light	"gul2-1 mutant, biological rep3"	grown under red light	gul2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130604 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130604 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130604	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130604_gul2-1-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130604_sample_table.txt norm	GSM1130604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 mutant
GSM1130603 1	whole organism	gul2-1-2.CEL	7d-old gul2-1 mutant seedling grown under red light	"gul2-1 mutant, biological rep2"	grown under red light	gul2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130603 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130603 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130603	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130603_gul2-1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130603_sample_table.txt norm	GSM1130603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 mutant
GSM1130602 1	whole organism	gul2-1-1.CEL	7d-old gul2-1 mutant seedling grown under red light	"gul2-1 mutant, biological rep1"	grown under red light	gul2-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130602 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130602 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130602	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130602_gul2-1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130602_sample_table.txt norm	GSM1130602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	gul2-1 mutant
GSM1130601 1	whole organism	bri1-5-3.CEL	7d-old bri1-5 mutant seedling grown under red light	"bri1-5 mutant, biological rep3"	grown under red light	bri1-5 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130601 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130601 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130601	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130601_bri1-5-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130601_sample_table.txt norm	GSM1130601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	bri1-5 mutant
GSM1130600 1	whole organism	bri1-5-2.CEL	7d-old bri1-5 mutant seedling grown under red light	"bri1-5 mutant, biological rep2"	grown under red light	bri1-5 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130600 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130600 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130600	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130600_bri1-5-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130600_sample_table.txt norm	GSM1130600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	bri1-5 mutant
GSM1130599 1	whole organism	bri1-5-1.CEL	7d-old bri1-5 mutant seedling grown under red light	"bri1-5 mutant, biological rep1"	grown under red light	bri1-5 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130599 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130599 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130599	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130599_bri1-5-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130599_sample_table.txt norm	GSM1130599_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	bri1-5 mutant
GSM1130598 1	whole organism	Ws-2-3.CEL	7d-old wild type seedling grown under red light	"Wild type, biological rep3"	grown under red light	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	7	day	P-GSE46456-2	ArrayExpress	P-GSE46456-3	ArrayExpress	GSM1130598 extract 1	total RNA	P-GSE46456-4	ArrayExpress	GSM1130598 LE 1	Biotin	P-GSE46456-5	ArrayExpress	GSM1130598	A-AFFY-2	ArrayExpress	array assay	P-GSE46456-6	ArrayExpress	GSM1130598_Ws-2-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.raw.1.zip	P-GSE46456-1	ArrayExpress	GSM1130598_sample_table.txt norm	GSM1130598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-46456/E-GEOD-46456.processed.1.zip	wild type genotype
