Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [genetic background]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [developmental stage]	FactorValue [genotype]
GSM1155341 1	Gene expression data from rRBr-0 root tips from 10 das.	rRBr tip roots from 10 das	rRBr root tip 10d, biological rep3	10 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155341 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155341 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155341	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155341_Ath_RBi_10T3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155341_sample_table.txt norm	GSM1155341_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	rRBr
GSM1155340 1	Gene expression data from rRBr-0 root tips from 10 das.	rRBr tip roots from 10 das	rRBr root tip 10d, biological rep2	10 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155340 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155340 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155340	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155340_Ath_RBi_10T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155340_sample_table.txt norm	GSM1155340_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	rRBr
GSM1155339 1	Gene expression data from rRBr-0 root tips from 10 das.	rRBr tip roots from 10 das	rRBr root tip 10d, biological rep1	10 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155339 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155339 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155339	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155339_Ath_RBi_10T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155339_sample_table.txt norm	GSM1155339_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	rRBr
GSM1155338 1	Gene expression data from rRBr-0 root tips from 6 das.	rRBr tip roots from 6 das	rRBr root tip 6d, biological rep2	6 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155338 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155338 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155338	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155338_Ath_RBi_6T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155338_sample_table.txt norm	GSM1155338_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	6 days after stratification	rRBr
GSM1155337 1	Gene expression data from rRBr-0 root tips from 6 das.	rRBr tip roots from 6 das	rRBr root tip 6d, biological rep1	6 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155337 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155337 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155337	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155337_Ath_RBi_6T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155337_sample_table.txt norm	GSM1155337_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	6 days after stratification	rRBr
GSM1155336 1	Gene expression data from rRBr-0 root tips from 4 das.	rRBr tip roots from 4 das	rRBr root tip 4d, biological rep2	4 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155336 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155336 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155336	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155336_Ath_RBi_4T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155336_sample_table.txt norm	GSM1155336_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	4 days after stratification	rRBr
GSM1155335 1	Gene expression data from rRBr-0 root tips from 4 das.	rRBr tip roots from 4 das	rRBr root tip 4d, biological rep1	4 days after stratification	Col-0	EFO	EFO_0005148	rRBr	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155335 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155335 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155335	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155335_Ath_RBi_4T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155335_sample_table.txt norm	GSM1155335_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	4 days after stratification	rRBr
GSM1155334 1	Gene expression data from Col-0 root tips from 10 das.	Col-0 tip roots from 10 das	Col root tip 10d, biological rep3	10 days after stratification	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155334 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155334 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155334	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155334_Ath_Col_10T3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155334_sample_table.txt norm	GSM1155334_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	wild type
GSM1155333 1	Gene expression data from Col-0 root tips from 10 das.	Col-0 tip roots from 10 das	Col root tip 10d, biological rep2	10 days after stratification	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155333 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155333 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155333	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155333_Ath_Col_10T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155333_sample_table.txt norm	GSM1155333_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	wild type
GSM1155332 1	Gene expression data from Col-0 root tips from 10 das.	Col-0 tip roots from 10 das	Col root tip 10d, biological rep1	10 days after stratification	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Root tips	P-GSE47715-2	ArrayExpress	P-GSE47715-3	ArrayExpress	P-GSE47715-4	ArrayExpress	GSM1155332 extract 1	total RNA	P-GSE47715-5	ArrayExpress	GSM1155332 LE 1	biotin	P-GSE47715-6	ArrayExpress	GSM1155332	A-AFFY-2	ArrayExpress	array assay	P-GSE47715-7	ArrayExpress	GSM1155332_Ath_Col_10T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.raw.1.zip	P-GSE47715-1	ArrayExpress	GSM1155332_sample_table.txt norm	GSM1155332_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47715/E-GEOD-47715.processed.1.zip	10 days after stratification	wild type
