Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [accession]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [zll dependency]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ACCESSION]	Term Source REF	Term Accession Number	FactorValue [ZLL DEPENDENCY]
GSM1161946 1	Van-0 Embryo gene expression data from an accession that does not depend upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Van-0	Torpedo-stage Van-0 embryo, biological rep 1	Vancouver-0	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	independent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161946 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161946 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161946	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161946_Van-0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161946_sample_table.txt norm	GSM1161946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Vancouver-0	  	  	independent
GSM1161945 1	Ts-1 Embryo gene expression data from an accession that does not depend upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Ts-1	Torpedo-stage Ts-1 embryo, biological rep 1	Tossa del Mar-0	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	independent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161945 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161945 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161945	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161945_Ts-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161945_sample_table.txt norm	GSM1161945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Tossa del Mar-0	  	  	independent
GSM1161944 1	Nw-0 Embryo gene expression data from an accession that depends upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Nw-0	Torpedo-stage Nw-0 embryo, biological rep 1	Neuweilnau-0	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	dependent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161944 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161944 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161944	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161944_Nw-0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161944_sample_table.txt norm	GSM1161944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Neuweilnau-0	  	  	dependent
GSM1161943 1	Ler-0 Embryo gene expression data from an accession that depends upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Ler-1	Torpedo-stage Ler-0 embryo, biological rep 1	Landsberg erecta-0	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	dependent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161943 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161943 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161943	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161943_Ler.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161943_sample_table.txt norm	GSM1161943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Landsberg erecta-0	  	  	dependent
GSM1161942 1	Fe-1_3 Embryo gene expression data from an accession that depends upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Fe-1	Torpedo-stage Fe-1 embryo, biological rep 3	Freiburg-1	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	dependent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161942 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161942 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161942	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161942_Fe3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161942_sample_table.txt norm	GSM1161942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Freiburg-1	  	  	dependent
GSM1161941 1	Fe-1_2 Embryo gene expression data from an accession that depends upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Fe-1	Torpedo-stage Fe-1 embryo, biological rep 2	Freiburg-1	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	dependent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161941 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161941 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161941	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161941_Fe2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161941_sample_table.txt norm	GSM1161941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Freiburg-1	  	  	dependent
GSM1161940 1	Fe-1_1 Embryo gene expression data from an accession that depends upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Fe-1	Torpedo-stage Fe-1 embryo, biological rep 1	Freiburg-1	  	  	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	dependent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161940 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161940 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161940	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161940_Fe1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161940_sample_table.txt norm	GSM1161940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Freiburg-1	  	  	dependent
GSM1161939 1	Col-0_3 Embryo gene expression data from an accession that does not depend upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Col-0	Torpedo-stage Col-0 embryo, biological rep 3	Columbia-0	EFO	EFO_0005148	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	independent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161939 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161939 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161939	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161939_Col3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161939_sample_table.txt norm	GSM1161939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Columbia-0	EFO	EFO_0005148	independent
GSM1161938 1	Col-0_2 Embryo gene expression data from an accession that does not depend upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Col-0	Torpedo-stage Col-0 embryo, biological rep 2	Columbia-0	EFO	EFO_0005148	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	independent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161938 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161938 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161938	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161938_Col2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161938_sample_table.txt norm	GSM1161938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Columbia-0	EFO	EFO_0005148	independent
GSM1161937 1	Col-0_1 Embryo gene expression data from an accession that does not depend upon ZLL/AGO10 function for shoot stem cell maintenance.	Torpedo-stage embryos harvested from maturing seeds collected in PBS on ice, Col-0	Torpedo-stage Col-0 embryo, biological rep 1	Columbia-0	EFO	EFO_0005148	torpedo-stage embryo	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole body	independent	P-GSE47884-2	ArrayExpress	P-GSE47884-3	ArrayExpress	P-GSE47884-4	ArrayExpress	GSM1161937 extract 1	total RNA	P-GSE47884-5	ArrayExpress	GSM1161937 LE 1	biotin	P-GSE47884-6	ArrayExpress	GSM1161937	A-AFFY-2	ArrayExpress	array assay	P-GSE47884-7	ArrayExpress	GSM1161937_Col1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.raw.1.zip	P-GSE47884-1	ArrayExpress	GSM1161937_sample_table.txt norm	GSM1161937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-47884/E-GEOD-47884.processed.1.zip	Columbia-0	EFO	EFO_0005148	independent
