Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [genotype]	Characteristics[organism part]	Characteristics [ecotype]	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Factor Value [age]	Unit [time unit]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]
GSE4847GSM109111	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109111 sample	P-G4847-4	GSE4847GSM109111 extract	total_RNA	P-G4847-3	GSE4847GSM109111 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 1 day, biological rep2	A-AFFY-2	P-AFFY-6	1	day	vte1 mutant	GSM109111.CEL	GSM109111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109112	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109112 sample	P-G4847-4	GSE4847GSM109112 extract	total_RNA	P-G4847-3	GSE4847GSM109112 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 1 day, biological rep3	A-AFFY-2	P-AFFY-6	1	day	vte1 mutant	GSM109112.CEL	GSM109112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109110	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109110 sample	P-G4847-4	GSE4847GSM109110 extract	total_RNA	P-G4847-3	GSE4847GSM109110 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 1 day, biological rep1	A-AFFY-2	P-AFFY-6	1	day	vte1 mutant	GSM109110.CEL	GSM109110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109120	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 3 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 3 day (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 3 day (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109120 sample	P-G4847-4	GSE4847GSM109120 extract	total_RNA	P-G4847-3	GSE4847GSM109120 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 3 day, biological rep2	A-AFFY-2	P-AFFY-6	3	day	vte1 mutant	GSM109120.CEL	GSM109120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109119	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 3 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109119 sample	P-G4847-4	GSE4847GSM109119 extract	total_RNA	P-G4847-3	GSE4847GSM109119 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 3 day, biological rep1	A-AFFY-2	P-AFFY-6	3	day	vte1 mutant	GSM109119.CEL	GSM109119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109121	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	vte1 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 3 day-old seedlings of the tocopherol deficient mutant vte1. Genotype: vte1-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte1-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109121 sample	P-G4847-4	GSE4847GSM109121 extract	total_RNA	P-G4847-3	GSE4847GSM109121 LE biotin	biotin	synthetic_RNA	vte1-1(Col-0) 3 day, biological rep3	A-AFFY-2	P-AFFY-6	3	day	vte1 mutant	GSM109121.CEL	GSM109121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109113	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte2 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte2. Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109113 sample	P-G4847-4	GSE4847GSM109113 extract	total_RNA	P-G4847-3	GSE4847GSM109113 LE biotin	biotin	synthetic_RNA	vte2-1(Col-0) 1 day, biological rep1	A-AFFY-2	P-AFFY-6	1	day	vte2 mutant	GSM109113.CEL	GSM109113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109115	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte2 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte2. Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109115 sample	P-G4847-4	GSE4847GSM109115 extract	total_RNA	P-G4847-3	GSE4847GSM109115 LE biotin	biotin	synthetic_RNA	vte2-1(Col-0) 1 day, biological rep3	A-AFFY-2	P-AFFY-6	1	day	vte2 mutant	GSM109115.CEL	GSM109115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109114	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	1	day	vte2 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 1 day-old seedlings of the tocopherol deficient mutant vte2. Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte2-1 (Columbia-0); Age: 1 day (24hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109114 sample	P-G4847-4	GSE4847GSM109114 extract	total_RNA	P-G4847-3	GSE4847GSM109114 LE biotin	biotin	synthetic_RNA	vte2-1(Col-0) 1 day, biological rep2	A-AFFY-2	P-AFFY-6	1	day	vte2 mutant	GSM109114.CEL	GSM109114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
GSE4847GSM109122	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	3	day	vte2 mutant	whole organism	Columbia-0	Arabidopsis seedlings:  Gene expression data from 3 day-old seedlings of the tocopherol deficient mutant vte2. Genotype: vte2-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	Arabidopsis seedlings	Genotype: vte2-1 (Columbia-0); Age: 3 days (72hr) at 22C after 5 days at 6C to break dormancy and synchronize germination	P-G4847-1	P-G4847-2	GSE4847GSM109122 sample	P-G4847-4	GSE4847GSM109122 extract	total_RNA	P-G4847-3	GSE4847GSM109122 LE biotin	biotin	synthetic_RNA	vte2-1(Col-0) 3 day, biological rep1	A-AFFY-2	P-AFFY-6	3	day	vte2 mutant	GSM109122.CEL	GSM109122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.raw.1.zip	E-GEOD-4847-processed-data-1753341447.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-4847/E-GEOD-4847.processed.1.zip
