Comment[ArrayExpressAccession]	E-GEOD-49411
MAGE-TAB Version	1.1						
Public Release Date	2014-01-13
Investigation Title	Selective mRNA sequestration by OLIGOURIDYLATE BINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis						
Comment[Submitted Name]	Selective mRNA sequestration by OLIGOURIDYLATE BINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis
Experiment Description	Low oxygen stress dynamically regulates the translation of cellular mRNAs as a means of energy conservation in seedlings of Arabidopsis thaliana. Most of the highly hypoxia-induced mRNAs are recruited to polysomes and actively translated, whereas other cellular mRNAs become translationally inactive and are either targeted for stabilization or degradation. Here we identify the involvement of OLIGOURIDYLATE BINDING PROTEIN 1 (UBP1), a triple RNA Recognition Motif protein, in dynamic and reversible aggregation of translationally repressed mRNAs during hypoxia. Mutation or downregulation of UBP1C interferes with seedling establishment and reduces survival of low oxygen stress. By use of messenger ribonucleoprotein immunopurification, we show that UBP1C constitutively binds a subpopulation of mRNAs characterized by U-rich 3’-untranslated regions under normoxic conditions. During hypoxia, UBP1C association with non-U-rich mRNAs is enhanced concomitant with its aggregation into microscopically visible cytoplasmic foci, referred to as UBP1 stress granules (SGs). This UBP1C-mRNA association occurs as global levels of protein synthesis decline. Upon reoxygenation, rapid UBP1 SG disaggregation coincides with the return of the stabilized mRNAs to polysomes. The mRNAs that are highly induced and translated during hypoxia largely circumvent UBP1C sequestration. Thus, UBP1 is established as a component of dynamically assembled cytoplasmic mRNPs that sequester mRNAs that are poorly translated during a transient low energy stress.  Immunoprecipated RNA associated with Arabidopsis UBP1C (IP) was compared with total cellular RNA from light (L), mock dark (D), 2 h hypoxia, and 2 h hypoxia + 20 min reoxygenation treated samples with duplicate hybridizations to the Affymetrix ATH1 Genechip array.						
Term Source Name	ArrayExpress	EFO
Term Source File	http://www.ebi.ac.uk/arrayexpress/	http://www.ebi.ac.uk/efo/efo.owl					
Person Last Name	Sorenson	Sorenson	Bailey-Serres				
Person First Name	Reed	Reed	Julia				
Person Mid Initials	S						
Person Email	geo@ncbi.nlm.nih.gov						
Person Affiliation	University of California, Riverside						
Person Phone	951-827-6376						
Person Address	Botany and Plant Science, University of California, Riverside, 4126 Genomics Bldg, Riverside, CA, USA						
Person Roles	submitter						
Protocol Name	P-GSE49411-1	P-GSE49411-5	P-GSE49411-6	P-GSE49411-2	P-GSE49411-3	P-GSE49411-4	P-GSE49411-7
