Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [environmental stress]
GSM1199082 1	Gene expression from 46T seedlings with dehydration treatment 1h	46T seedlings with dehydration treatment 1h	46T-Dry, biological rep3	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199082 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199082 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199082	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199082_BH12448-2_46T-Dry-3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199082_sample_table.txt norm	GSM1199082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	dehydration
GSM1199081 1	Gene expression from 46T seedlings with dehydration treatment 1h	46T seedlings with dehydration treatment 1h	46T-Dry, biological rep2	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199081 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199081 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199081	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199081_BH12448-2_46T-Dry-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199081_sample_table.txt norm	GSM1199081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	dehydration
GSM1199080 1	Gene expression from 46T seedlings with dehydration treatment 1h	46T seedlings with dehydration treatment 1h	46T-Dry, biological rep1	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199080 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199080 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199080	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199080_BH12448-2_46T-Dry-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199080_sample_table.txt norm	GSM1199080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	dehydration
GSM1199079 1	Gene expression from wild-type seedlings with dehydration treatment 1h	Wild-type seedlings with dehydration treatment 1h	WT-Dry, biological rep3	1	week	seedling	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199079 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199079 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199079	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199079_BH12448-2_WT-Dry-3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199079_sample_table.txt norm	GSM1199079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	wild type	dehydration
GSM1199078 1	Gene expression from wild-type seedlings with dehydration treatment 1h	Wild-type seedlings with dehydration treatment 1h	WT-Dry, biological rep2	1	week	seedling	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199078 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199078 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199078	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199078_BH12448-2_WT-Dry-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199078_sample_table.txt norm	GSM1199078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	wild type	dehydration
GSM1199077 1	Gene expression from wild-type seedlings with dehydration treatment 1h	Wild-type seedlings with dehydration treatment 1h	WT-Dry, biological rep1	1	week	seedling	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199077 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199077 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199077	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199077_BH12448-2_WT-Dry-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199077_sample_table.txt norm	GSM1199077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	wild type	dehydration
GSM1199076 1	Gene expression from OV46 seedlings without treatment	46T seedlings without treatment	46T-CK, biological rep3	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199076 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199076 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199076	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199076_BH12448-2_46T-CK-3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199076_sample_table.txt norm	GSM1199076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	none
GSM1199075 1	Gene expression from OV46 seedlings without treatment	46T seedlings without treatment	46T-CK, biological rep2	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199075 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199075 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199075	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199075_BH12448-2_46T-CK-2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199075_sample_table.txt norm	GSM1199075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	none
GSM1199074 1	Gene expression from OV46 seedlings without treatment	46T seedlings without treatment	46T-CK, biological rep1	1	week	seedling	46T	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199074 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199074 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199074	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199074_BH12448-2_46T-CK-1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199074_sample_table.txt norm	GSM1199074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	46T	none
GSM1199073 1	Gene expression from wild-type seedlings without treatment	Wild-type seedlings without treatment	WT-CK, biological rep3	1	week	seedling	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE49418-2	ArrayExpress	P-GSE49418-3	ArrayExpress	P-GSE49418-4	ArrayExpress	GSM1199073 extract 1	total RNA	P-GSE49418-5	ArrayExpress	GSM1199073 LE 1	biotin	P-GSE49418-6	ArrayExpress	GSM1199073	A-AFFY-2	ArrayExpress	array assay	P-GSE49418-7	ArrayExpress	GSM1199073_BH12448-2_WT-CK-3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.raw.1.zip	P-GSE49418-1	ArrayExpress	GSM1199073_sample_table.txt norm	GSM1199073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49418/E-GEOD-49418.processed.1.zip	wild type	none
