Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1233424 1	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 4	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint	Ambient_CO2_AMPLE_N_DAY_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233424 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233424 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233424	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233424_4825_E_AH7_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233424_sample_table.txt norm	GSM1233424_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233423 1	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 4	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint	Ambient_CO2_LIMITING_N_DAY_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233423 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233423 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233423	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233423_4824_E_AL7_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233423_sample_table.txt norm	GSM1233423_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233422 1	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 4	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint	Elevated_CO2_LIMITING_N_DAY_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233422 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233422 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233422	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233422_4823_E_EL4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233422_sample_table.txt norm	GSM1233422_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233421 1	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 3	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint	Elevated_CO2_AMPLE_N_DAY_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233421 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233421 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233421	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233421_4822_E_EH7_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233421_sample_table.txt norm	GSM1233421_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233420 1	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 3	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint	Ambient_CO2_LIMITING_N_DAY_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233420 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233420 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233420	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233420_4821_E_AL4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233420_sample_table.txt norm	GSM1233420_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233419 1	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 3	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint	Ambient_CO2_AMPLE_N_DAY_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233419 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233419 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233419	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233419_4820_E_AH4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233419_sample_table.txt norm	GSM1233419_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233418 1	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 2	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint	Elevated_CO2_AMPLE_N_DAY_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233418 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233418 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233418	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233418_4819_E_EH10_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233418_sample_table.txt norm	GSM1233418_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233417 1	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 3	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint	Elevated_CO2_LIMITING_N_DAY_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233417 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233417 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233417	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233417_4818_E_EL9_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233417_sample_table.txt norm	GSM1233417_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233416 1	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 2	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint	Elevated_CO2_LIMITING_N_DAY_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233416 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233416 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233416	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233416_4817_E_EL5_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233416_sample_table.txt norm	GSM1233416_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233415 1	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 2	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint	Ambient_CO2_AMPLE_N_DAY_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233415 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233415 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233415	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233415_4815_E_AH3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233415_sample_table.txt norm	GSM1233415_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
