Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	Term Source REF	Term Accession Number	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number
GSM1250606 1	gene expression data from transgenic arabidopsis shoots under iron deficiency medium	Arabidopsis OE in iron minus medium	IRP1-OE-Fe-rep2-shoot	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250606 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250606 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250606	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250606_BH0130-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250606_sample_table.txt norm	GSM1250606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	shoot	EFO	EFO_0000992
GSM1250605 1	gene expression data from transgenic arabidopsis shoots under iron deficiency medium	Arabidopsis OE in iron minus medium	IRP1-OE-Fe-rep1-shoot	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250605 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250605 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250605	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250605_BH0130-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250605_sample_table.txt norm	GSM1250605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	shoot	EFO	EFO_0000992
GSM1250604 1	gene expression data from transgenic arabidopsis shoots under iron efficiency medium	Arabidopsis OE in iron plus medium	IRP1-OE-Ctrl-rep2-shoot	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250604 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250604 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250604	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250604_BH0130-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250604_sample_table.txt norm	GSM1250604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	shoot	EFO	EFO_0000992
GSM1250603 1	gene expression data from transgenic arabidopsis shoots under iron efficiency medium	Arabidopsis OE in iron plus medium	IRP1-OE-Ctrl-rep1-shoot	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250603 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250603 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250603	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250603_BH0130-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250603_sample_table.txt norm	GSM1250603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	shoot	EFO	EFO_0000992
GSM1250602 1	gene expression data from arabidopsis shoots under iron deficiency medium	Arabidopsis Col-0 in iron minus medium	COL-0-Fe-rep2-shoot	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250602 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250602 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250602	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250602_BH0386-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250602_sample_table.txt norm	GSM1250602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	Col-0	EFO	EFO_0005148	shoot	EFO	EFO_0000992
GSM1250601 1	gene expression data from arabidopsis shoots under iron deficiency medium	Arabidopsis Col-0 in iron minus medium	COL-0-Fe-rep1-shoot	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250601 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250601 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250601	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250601_BH0386-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250601_sample_table.txt norm	GSM1250601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	Col-0	EFO	EFO_0005148	shoot	EFO	EFO_0000992
GSM1250600 1	gene expression data from arabidopsis shoots under iron efficiency medium	Arabidopsis Col-0 in iron plus medium	COL-0-Ctrl-rep2-shoot	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250600 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250600 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250600	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250600_BH0386-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250600_sample_table.txt norm	GSM1250600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	Col-0	EFO	EFO_0005148	shoot	EFO	EFO_0000992
GSM1250599 1	gene expression data from arabidopsis shoots under iron efficiency medium	Arabidopsis Col-0 in iron plus medium	COL-0-Ctrl-rep1-shoot	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	shoot	EFO	EFO_0000992	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250599 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250599 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250599	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250599_BH0386-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250599_sample_table.txt norm	GSM1250599_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	Col-0	EFO	EFO_0005148	shoot	EFO	EFO_0000992
GSM1250598 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis OE in iron minus medium	IRP1-OE-Fe-rep2-root	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250598 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250598 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250598	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250598_BH0130-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250598_sample_table.txt norm	GSM1250598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	root	EFO	EFO_0000989
GSM1250597 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis OE in iron minus medium	IRP1-OE-Fe-rep1-root	IRP1-overexpressor	  	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE51692-2	ArrayExpress	P-GSE51692-3	ArrayExpress	GSM1250597 extract 1	total RNA	P-GSE51692-4	ArrayExpress	GSM1250597 LE 1	Biotin	P-GSE51692-5	ArrayExpress	GSM1250597	A-AFFY-2	ArrayExpress	array assay	P-GSE51692-6	ArrayExpress	GSM1250597_BH0130-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.raw.1.zip	P-GSE51692-1	ArrayExpress	GSM1250597_sample_table.txt norm	GSM1250597_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51692/E-GEOD-51692.processed.1.zip	IRP1-overexpressor	  	  	root	EFO	EFO_0000989
