Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1257983 1	Gene expression data from spx1,spx2 plants grown in Pi-lacking medium an resupplied with Pi for 4 h	spx1,spx2 plants grown phosphate-lacking medium and resupplied with Pi for 4 h	spx1,spx2 resupplied Pi 4h, biological rep3	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257983 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257983 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257983	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257983_Mut_4h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257983_sample_table.txt norm	GSM1257983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium and resupplied with Pi for 4 h
GSM1257982 1	Gene expression data from spx1,spx2 plants grown in Pi-lacking medium an resupplied with Pi for 4 h	spx1,spx2 plants grown phosphate-lacking medium and resupplied with Pi for 4 h	spx1,spx2 resupplied Pi 4h, biological rep2	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257982 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257982 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257982	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257982_Mut_4h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257982_sample_table.txt norm	GSM1257982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium and resupplied with Pi for 4 h
GSM1257981 1	Gene expression data from spx1,spx2 plants grown in Pi-lacking medium an resupplied with Pi for 4 h	spx1,spx2 plants grown phosphate-lacking medium and resupplied with Pi for 4 h	spx1,spx2 resupplied Pi 4h, biological rep1	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257981 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257981 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257981	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257981_Mut_4h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257981_sample_table.txt norm	GSM1257981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium and resupplied with Pi for 4 h
GSM1257980 1	Gene expression data from spx1,spx2 plants grown in phosphate-lacking medium	spx1,spx2 plants grown phosphate-lacking medium	spx1,spx2 no Pi, biological rep3	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257980 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257980 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257980	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257980_Mut_P0-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257980_sample_table.txt norm	GSM1257980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium
GSM1257979 1	Gene expression data from spx1,spx2 plants grown in phosphate-lacking medium	spx1,spx2 plants grown phosphate-lacking medium	spx1,spx2 no Pi, biological rep2	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257979 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257979 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257979	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257979_Mut_P0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257979_sample_table.txt norm	GSM1257979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium
GSM1257978 1	Gene expression data from spx1,spx2 plants grown in phosphate-lacking medium	spx1,spx2 plants grown phosphate-lacking medium	spx1,spx2 no Pi, biological rep1	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257978 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257978 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257978	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257978_Mut_P0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257978_sample_table.txt norm	GSM1257978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	phosphate-lacking medium
GSM1257977 1	Gene expression data from spx1,spx2 plants grown in complete medium	spx1,spx2 plants grown in complete medium	spx1,spx2 complete, biological rep3	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257977 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257977 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257977	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257977_Mut_+P-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257977_sample_table.txt norm	GSM1257977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	complete medium
GSM1257976 1	Gene expression data from spx1,spx2 plants grown in complete medium	spx1,spx2 plants grown in complete medium	spx1,spx2 complete, biological rep2	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257976 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257976 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257976	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257976_Mut_+P-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257976_sample_table.txt norm	GSM1257976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	complete medium
GSM1257975 1	Gene expression data from spx1,spx2 plants grown in complete medium	spx1,spx2 plants grown in complete medium	spx1,spx2 complete, biological rep1	7	day 	spx1,spx2 double mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257975 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257975 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257975	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257975_Mut_+P-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257975_sample_table.txt norm	GSM1257975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	spx1,spx2 double mutant	complete medium
GSM1257974 1	Gene expression data from WT plants grown in Pi-lacking medium an resupplied with Pi for 4 h	Col-0 plants grown phosphate-lacking medium and resupplied with Pi for 4 h	WT resupplied Pi 4h, biological rep3	7	day 	wild type	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	P-GSE52046-2	ArrayExpress	GSM1257974 extract 1	total RNA	P-GSE52046-3	ArrayExpress	GSM1257974 LE 1	biotin	P-GSE52046-4	ArrayExpress	GSM1257974	A-AFFY-2	ArrayExpress	array assay	P-GSE52046-5	ArrayExpress	GSM1257974_WT_4h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.raw.1.zip	P-GSE52046-1	ArrayExpress	GSM1257974_sample_table.txt norm	GSM1257974_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52046/E-GEOD-52046.processed.1.zip	wild type	phosphate-lacking medium and resupplied with Pi for 4 h
