Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [phenotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [PHENOTYPE]	FactorValue [TREATMENT]
GSM1261199 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (nip5;1 and nip6;1double mutant)	Arabidopsis root 100 �M boron rep1_MH178	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and nip6;1 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261199 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261199 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261199	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261199_MH178.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261199_sample_table.txt norm	GSM1261199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and nip6;1 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	100 �M boric acid
GSM1261198 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (nip5;1 and bor2 double mutant)	Arabidopsis root 100 �M boron rep1_MH177	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and bor2 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261198 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261198 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261198	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261198_MH177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261198_sample_table.txt norm	GSM1261198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and bor2 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	100 �M boric acid
GSM1261197 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (nip5;1 and bor1double mutant)	Arabidopsis root 100 �M boron rep1_MH176	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and bor1 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261197 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261197 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261197	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261197_MH176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261197_sample_table.txt norm	GSM1261197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and bor1 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	100 �M boric acid
GSM1261196 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (bor2single mutant)	Arabidopsis root 100 �M boron rep1_MH175	12 days old	Col-0	EFO	EFO_0005148	bor2 single mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Requires a high level of B. When the B concentration in the medium was reduced to 3 microM, the root length was severely affected in bor2-1 but not in wild-type plants.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261196 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261196 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261196	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261196_MH175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261196_sample_table.txt norm	GSM1261196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	bor2 single mutant	Requires a high level of B. When the B concentration in the medium was reduced to 3 microM, the root length was severely affected in bor2-1 but not in wild-type plants.	100 �M boric acid
GSM1261195 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (bor1single mutant)	Arabidopsis root 100 �M boron rep1_MH174	12 days old	Col-0	EFO	EFO_0005148	bor1 single mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Requires a high level of B. When the B concentration in the medium was reduced to 3 microM, the expansion of rosette leaves was severely affected in bor1-1 but not in wild-type plants.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261195 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261195 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261195	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261195_MH174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261195_sample_table.txt norm	GSM1261195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	bor1 single mutant	Requires a high level of B. When the B concentration in the medium was reduced to 3 microM, the expansion of rosette leaves was severely affected in bor1-1 but not in wild-type plants.	100 �M boric acid
GSM1261194 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (nip5;1single mutant)	Arabidopsis root 100 �M boron rep1_MH173	12 days old	Col-0	EFO	EFO_0005148	nip5;1 single mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root, shoot, flowers and siliques growth when boron was supplied at concentrations of less than10 microM.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261194 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261194 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261194	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261194_MH173.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261194_sample_table.txt norm	GSM1261194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 single mutant	Inhibition of root, shoot, flowers and siliques growth when boron was supplied at concentrations of less than10 microM.	100 �M boric acid
GSM1261193 1	gene expression data from root treated with 100 �M boric acid for 2 days	Arabidopsis root in 100 �M boron treatment for 2 days (Col-0)	Arabidopsis root 100 �M boron rep1_MH172	12 days old	Col-0	EFO	EFO_0005148	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	wild-type	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261193 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261193 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261193	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261193_MH172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261193_sample_table.txt norm	GSM1261193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	wild-type	wild-type	100 �M boric acid
GSM1261192 1	gene expression data from root treated with 0.3 �M boric acid for 2 days	Arabidopsis root in 0.3 �M boron treatment for 2 days (nip5;1 and nip6;1double mutant)	Arabidopsis root 0.3 �M boron rep1_MH171	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and nip6;1 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261192 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261192 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261192	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261192_MH171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261192_sample_table.txt norm	GSM1261192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and nip6;1 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	0.3 �M boric acid
GSM1261191 1	gene expression data from root treated with 0.3 �M boric acid for 2 days	Arabidopsis root in 0.3 �M boron treatment for 2 days (nip5;1 and bor2 double mutant)	Arabidopsis root 0.3 �M boron rep1_MH170	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and bor2 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261191 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261191 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261191	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261191_MH170.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261191_sample_table.txt norm	GSM1261191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and bor2 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	0.3 �M boric acid
GSM1261190 1	gene expression data from root treated with 0.3 �M boric acid for 2 days	Arabidopsis root in 0.3 �M boron treatment for 2 days (nip5;1 and bor1double mutant)	Arabidopsis root 0.3 �M boron rep1_MH169	12 days old	Col-0	EFO	EFO_0005148	nip5;1 and bor1 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	P-GSE52208-2	ArrayExpress	P-GSE52208-3	ArrayExpress	GSM1261190 extract 1	total RNA	P-GSE52208-4	ArrayExpress	GSM1261190 LE 1	biotin	P-GSE52208-5	ArrayExpress	GSM1261190	A-AFFY-2	ArrayExpress	array assay	P-GSE52208-6	ArrayExpress	GSM1261190_MH169.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.raw.1.zip	P-GSE52208-1	ArrayExpress	GSM1261190_sample_table.txt norm	GSM1261190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52208/E-GEOD-52208.processed.1.zip	nip5;1 and bor1 double mutant	Inhibition of root and shoot that is similar to nip5;1-1 single mutant under limiting boron conditions.	0.3 �M boric acid
