Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [time]	Unit[time unit]
GSM1305083 1	gene expression data for vte2 after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old vte2 leaves after 120h LT treatment	vte2 leaves at 120h LT, biological rep3	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305083 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305083 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305083	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305083_vte2_LT-120h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305083_sample_table.txt norm	GSM1305083_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	120	hour
GSM1305082 1	gene expression data for vte2 after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old vte2 leaves after 120h LT treatment	vte2 leaves at 120h LT, biological rep2	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305082 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305082 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305082	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305082_vte2_LT-120h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305082_sample_table.txt norm	GSM1305082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	120	hour
GSM1305081 1	gene expression data for vte2 after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old vte2 leaves after 120h LT treatment	vte2 leaves at 120h LT, biological rep1	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305081 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305081 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305081	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305081_vte2_LT-120h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305081_sample_table.txt norm	GSM1305081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	120	hour
GSM1305080 1	gene expression data for Col after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old Col leaves after 120h LT treatment	Col leaves at 120h LT, biological rep3	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305080 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305080 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305080	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305080_Col_LT-120h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305080_sample_table.txt norm	GSM1305080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	wild type	120	hour
GSM1305079 1	gene expression data for Col after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old Col leaves after 120h LT treatment	Col leaves at 120h LT, biological rep2	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305079 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305079 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305079	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305079_Col_LT-120h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305079_sample_table.txt norm	GSM1305079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	wild type	120	hour
GSM1305078 1	gene expression data for Col after 120h LT treatment, when soluble sugar accumulation is significantly different between genotypes.	4 week old Col leaves after 120h LT treatment	Col leaves at 120h LT, biological rep1	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305078 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305078 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305078	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305078_Col_LT-120h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305078_sample_table.txt norm	GSM1305078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	wild type	120	hour
GSM1305077 1	gene expression data for vte2 after 48h LT treatment, when soluble sugar accumulation is similar between genotypes.	4 week old vte2 leaves after 48h LT treatment	vte2 leaves at 48h LT, biological rep3	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305077 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305077 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305077	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305077_vte2_LT-48h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305077_sample_table.txt norm	GSM1305077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	48	hour
GSM1305076 1	gene expression data for vte2 after 48h LT treatment, when soluble sugar accumulation is similar between genotypes.	4 week old vte2 leaves after 48h LT treatment	vte2 leaves at 48h LT, biological rep2	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305076 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305076 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305076	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305076_vte2_LT-48h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305076_sample_table.txt norm	GSM1305076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	48	hour
GSM1305075 1	gene expression data for vte2 after 48h LT treatment, when soluble sugar accumulation is similar between genotypes.	4 week old vte2 leaves after 48h LT treatment	vte2 leaves at 48h LT, biological rep1	vte2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305075 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305075 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305075	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305075_vte2_LT-48h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305075_sample_table.txt norm	GSM1305075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	vte2	48	hour
GSM1305074 1	gene expression data for Col after 48h LT treatment, when soluble sugar accumulation is similar between genotypes.	4 week old Col leaves after 48h LT treatment	Col leaves at 48h LT, biological rep3	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	4	week	Col	leaf	P-GSE53990-2	ArrayExpress	P-GSE53990-3	ArrayExpress	P-GSE53990-4	ArrayExpress	GSM1305074 extract 1	total RNA	P-GSE53990-5	ArrayExpress	GSM1305074 LE 1	biotin	P-GSE53990-6	ArrayExpress	GSM1305074	A-AFFY-2	ArrayExpress	array assay	P-GSE53990-7	ArrayExpress	GSM1305074_Col_LT-48h-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.raw.1.zip	P-GSE53990-1	ArrayExpress	GSM1305074_sample_table.txt norm	GSM1305074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53990/E-GEOD-53990.processed.1.zip	wild type	48	hour
