Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism part]	Characteristics [cell type]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Comment [nitrogen treatment]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Comment [technical replicate group]	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]	FactorValue [genotype]
GSM1306476 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, +DEX, treatment replicate 3	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306476 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306476 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306476	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306476_Amy_Empty_+CHX_Organic_08_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306476_sample_table.txt norm	GSM1306476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, 10 uM dexamethasone in ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306473 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, +DEX, treatment replicate 2	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306473 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306473 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306473	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306473_Amy_Empty_+CHX_Organic_05_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306473_sample_table.txt norm	GSM1306473_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, 10 uM dexamethasone in ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306469 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, +DEX, treatment replicate 1	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306469 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306469 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306469	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306469_Amy_Empty_+CHX_Organic_01_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306469_sample_table.txt norm	GSM1306469_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, 10 uM dexamethasone in ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306477 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N,  -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, -DEX, treatment replicate 3	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306477 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306477 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306477	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306477_Amy_Empty_+CHX_Organic_09_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306477_sample_table.txt norm	GSM1306477_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306474 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N,  -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, -DEX, treatment replicate 2	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306474 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306474 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306474	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306474_Amy_Empty_+CHX_Organic_06_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306474_sample_table.txt norm	GSM1306474_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306470 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, +N,  -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, +N, -DEX, treatment replicate 1	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306470 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306470 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306470	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306470_Amy_Empty_+CHX_Organic_02_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306470_sample_table.txt norm	GSM1306470_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	empty vector
GSM1306478 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, -N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, -N, +DEX, treatment replicate 3	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20mM KCl	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306478 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306478 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306478	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306478_Amy_Empty_+CHX_Organic_10_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306478_sample_table.txt norm	GSM1306478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, 10 uM dexamethasone in ethanol, 20 mM KCl	empty vector
GSM1306471 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, -N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, -N, +DEX, treatment replicate 1	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20mM KCl	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306471 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306471 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306471	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306471_Amy_Empty_+CHX_Organic_03_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306471_sample_table.txt norm	GSM1306471_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, 10 uM dexamethasone in ethanol, 20 mM KCl	empty vector
GSM1306479 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, -N, -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, -N, -DEX, treatment replicate 3	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20mM KCl	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306479 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306479 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306479	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306479_Amy_Empty_+CHX_Organic_11_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306479_sample_table.txt norm	GSM1306479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KCl	empty vector
GSM1306475 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, -N,  -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, -N, -DEX, treatment replicate 2	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20mM KCl	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306475 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306475 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306475	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306475_Amy_Empty_+CHX_Organic_07_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306475_sample_table.txt norm	GSM1306475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KCl	empty vector
GSM1306472 1	Gene expression profiles from root protoplasts transfected with Empty vector and treated with +CHX, -N,  -DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	empty vector control +CHX, -N, -DEX, treatment replicate 1	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20mM KCl	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR empty vector	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306472 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306472 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306472	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306472_Amy_Empty_+CHX_Organic_04_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306472_sample_table.txt norm	GSM1306472_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with cycloheximide, ethanol, 20 mM KCl	empty vector
GSM1306465 1	Gene expression profiles from transfected root protoplasts treated with -CHX, +N, +DEX	Root protoplasts of 10-day-old Arabidopsis Col-0 seedlings	-CHX, +N, +DEX, treatment replicate 3	10	day	seedling	root	protoplast	Col-0	EFO	EFO_0005148	20 mM KNO3 and 20 mM NH4NO3 solution	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pBeaconRFP_GR::bZIP1	P-GSE54049-2	ArrayExpress	P-GSE54049-3	ArrayExpress	P-GSE54049-4	ArrayExpress	GSM1306465 extract 1	total RNA	P-GSE54049-5	ArrayExpress	GSM1306465 LE 1	Biotin	P-GSE54049-6	ArrayExpress	GSM1306465	  	A-AFFY-2	ArrayExpress	array assay	P-GSE54049-7	ArrayExpress	GSM1306465_Amy_bzip-CHX_09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.raw.1.zip	P-GSE54049-1	ArrayExpress	GSM1306465_sample_table.txt norm	GSM1306465_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54049/E-GEOD-54049.processed.1.zip	Treated with solvent, 10 uM dexamethasone in ethanol, 20 mM KNO3 and 20 mM NH4NO3 solution	pBeaconRFP_GR::bZIP1
