Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[developmental stage]	Characteristics[organism part]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	Factor Value [organism part]
GSE5522GSM128694	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: shoot	1.0 Boyes key	shoot	GSE5522GSM128694 sample	GSE5522GSM128694 extract	total_RNA	GSE5522GSM128694 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-3_cs-shoot_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-3_cs-shoot_Rep1_ATH1	GSM128694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	shoot
GSE5522GSM128702	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: shoot	1.0 Boyes key	shoot	GSE5522GSM128702 sample	GSE5522GSM128702 extract	total_RNA	GSE5522GSM128702 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-11_cs-shoot_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-11_cs-shoot_Rep3_ATH1	GSM128702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	shoot
GSE5522GSM128699	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128699 sample	GSE5522GSM128699 extract	total_RNA	GSE5522GSM128699 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-8_cs-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-8_cs-root_Rep2_ATH1	GSM128699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	root
GSE5522GSM128695	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128695 sample	GSE5522GSM128695 extract	total_RNA	GSE5522GSM128695 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-4_cs-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-4_cs-root_Rep1_ATH1	GSM128695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	root
GSE5522GSM128703	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128703 sample	GSE5522GSM128703 extract	total_RNA	GSE5522GSM128703 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-12_cs-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-12_cs-root_Rep3_ATH1	GSM128703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	root
GSE5522GSM128698	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: shoot	1.0 Boyes key	shoot	GSE5522GSM128698 sample	GSE5522GSM128698 extract	total_RNA	GSE5522GSM128698 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-7_cs-shoot_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-7_cs-shoot_Rep2_ATH1	GSM128698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media with caesium-137	shoot
GSE5522GSM128692	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: shoot	1.0 Boyes key	shoot	GSE5522GSM128692 sample	GSE5522GSM128692 extract	total_RNA	GSE5522GSM128692 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-1_control-shoot_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-1_control-shoot_Rep1_ATH1	GSM128692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media alone	shoot
GSE5522GSM128697	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128697 sample	GSE5522GSM128697 extract	total_RNA	GSE5522GSM128697 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-6_control-root_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-6_control-root_Rep2_ATH1	GSM128697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media alone	root
GSE5522GSM128693	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128693 sample	GSE5522GSM128693 extract	total_RNA	GSE5522GSM128693 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-2_control-root_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-2_control-root_Rep1_ATH1	GSM128693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media alone	root
GSE5522GSM128701	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Developmental stage: 1.0; Tissue: root	1.0 Boyes key	root	GSE5522GSM128701 sample	GSE5522GSM128701 extract	total_RNA	GSE5522GSM128701 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Heinekamp_1-10_control-root_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Heinekamp_1-10_control-root_Rep3_ATH1	GSM128701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.raw.1.zip	E-GEOD-5522-processed-data-1628405301.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5522/E-GEOD-5522.processed.1.zip	media alone	root
