Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[AGE]	Unit[TimeUnit]	FactorValue[ORGANISM PART]
GSE5533GSM128781	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Developed flowers and unopened buds	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Developed flowers and unopened buds	GSE5533GSM128781 sample	GSE5533GSM128781 extract	total_RNA	GSE5533GSM128781 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-4_flower-GC5_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-4_flower-GC5_Rep1_ATH1	GSM128781.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Developed flowers and unopened buds
GSE5533GSM128780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	15	day	rosette leaf	Col-0:  growth space: greenhouse light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 15 days after germination; Tissue: rosette leaf	GSE5533GSM128780 sample	GSE5533GSM128780 extract	total_RNA	GSE5533GSM128780 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-3_leaf-GH2_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-3_leaf-GH2_Rep2_ATH1	GSM128780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	15	day	rosette leaf
GSE5533GSM128784	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Developed flowers and unopened buds	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Developed flowers and unopened buds	GSE5533GSM128784 sample	GSE5533GSM128784 extract	total_RNA	GSE5533GSM128784 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-7_flower-GH6_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-7_flower-GH6_Rep2_ATH1	GSM128784.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Developed flowers and unopened buds
GSE5533GSM128778	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	15	day	rosette leaf	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 15 days after germination; Tissue: rosette leaf	GSE5533GSM128778 sample	GSE5533GSM128778 extract	total_RNA	GSE5533GSM128778 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-1_leaf-GC2_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-1_leaf-GC2_Rep1_ATH1	GSM128778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	15	day	rosette leaf
GSE5533GSM128787	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Upper 2 inches of the stem minus siliques and pedicels	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Upper 2 inches of the stem minus siliques and pedicels	GSE5533GSM128787 sample	GSE5533GSM128787 extract	total_RNA	GSE5533GSM128787 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-10_stem-GH7_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-10_stem-GH7_Rep1_ATH1	GSM128787.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Upper 2 inches of the stem minus siliques and pedicels
GSE5533GSM128783	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Developed flowers and unopened buds	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Developed flowers and unopened buds	GSE5533GSM128783 sample	GSE5533GSM128783 extract	total_RNA	GSE5533GSM128783 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-6_flower-GH5_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-6_flower-GH5_Rep1_ATH1	GSM128783.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Developed flowers and unopened buds
GSE5533GSM128779	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	15	day	rosette leaf	Col-0:  growth space: greenhouse light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 15 days after germination; Tissue: rosette leaf	GSE5533GSM128779 sample	GSE5533GSM128779 extract	total_RNA	GSE5533GSM128779 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-2_leaf-GH1_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-2_leaf-GH1_Rep1_ATH1	GSM128779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	15	day	rosette leaf
GSE5533GSM128782	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Developed flowers and unopened buds	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Developed flowers and unopened buds	GSE5533GSM128782 sample	GSE5533GSM128782 extract	total_RNA	GSE5533GSM128782 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-5_flower-GC6_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-5_flower-GC6_Rep2_ATH1	GSM128782.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Developed flowers and unopened buds
GSE5533GSM128785	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Upper 2 inches of the stem minus siliques and pedicels	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Upper 2 inches of the stem minus siliques and pedicels	GSE5533GSM128785 sample	GSE5533GSM128785 extract	total_RNA	GSE5533GSM128785 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-8_stem-GC7_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-8_stem-GC7_Rep1_ATH1	GSM128785.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Upper 2 inches of the stem minus siliques and pedicels
GSE5533GSM128788	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Upper 2 inches of the stem minus siliques and pedicels	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Upper 2 inches of the stem minus siliques and pedicels	GSE5533GSM128788 sample	GSE5533GSM128788 extract	total_RNA	GSE5533GSM128788 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-11_stem-GH8_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-11_stem-GH8_Rep2_ATH1	GSM128788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Upper 2 inches of the stem minus siliques and pedicels
GSE5533GSM128786	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	29	day	Upper 2 inches of the stem minus siliques and pedicels	Col-0:  growth space: controlled system light intensity: 125 umol m-2s-1 light source: fluorescence light regime: long day photoperiod: 16 hr day temperature: 25 C night temperature: 20 C. Stock Code: N1092; Developmental stage: 29 days after germination; Tissue: Upper 2 inches of the stem minus siliques and pedicels	GSE5533GSM128786 sample	GSE5533GSM128786 extract	total_RNA	GSE5533GSM128786 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Somerville_1-9_stem-GC8_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Somerville_1-9_stem-GC8_Rep2_ATH1	GSM128786.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.raw.1.zip	E-GEOD-5533-processed-data-1628426060.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5533/E-GEOD-5533.processed.1.zip	29	day	Upper 2 inches of the stem minus siliques and pedicels
