Source Name	Characteristics [Organism]	Description	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5613GSM131082	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131082 sample	GSE5613GSM131082 extract	total_RNA	GSE5613GSM131082 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-4_non-acc-bulk-highZn-root(NRH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-4_non-acc-bulk-highZn-root(NRH)_Rep1_ATH1	GSM131082.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131102	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131102 sample	GSE5613GSM131102 extract	total_RNA	GSE5613GSM131102 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-24_acc-bulk-highZn-leaf(ALH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-24_acc-bulk-highZn-leaf(ALH)_Rep3_ATH1	GSM131102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131095	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131095 sample	GSE5613GSM131095 extract	total_RNA	GSE5613GSM131095 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-17_acc-bulk-highZn-root(ARH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-17_acc-bulk-highZn-root(ARH)_Rep2_ATH1	GSM131095.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131083	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	P-G5613-1	GSE5613GSM131083 sample	GSE5613GSM131083 extract	total_RNA	GSE5613GSM131083 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-5_non-acc-bulk-highZn-root(NRH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-5_non-acc-bulk-highZn-root(NRH)_Rep2_ATH1	GSM131083.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131088	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131088 sample	GSE5613GSM131088 extract	total_RNA	GSE5613GSM131088 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-10_non-acc-bulk-highZn-leaf(NLH)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-10_non-acc-bulk-highZn-leaf(NLH)_Rep1_ATH1	GSM131088.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131089	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131089 sample	GSE5613GSM131089 extract	total_RNA	GSE5613GSM131089 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-11_non-acc-bulk-highZn-leaf(NLH)_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-11_non-acc-bulk-highZn-leaf(NLH)_Rep2_ATH1	GSM131089.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
GSE5613GSM131099	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131099 sample	GSE5613GSM131099 extract	total_RNA	GSE5613GSM131099 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-21_acc-bulk-control-leaf(ALO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-21_acc-bulk-control-leaf(ALO)_Rep3_ATH1	GSM131099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131087	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	  	GSE5613GSM131087 sample	GSE5613GSM131087 extract	total_RNA	GSE5613GSM131087 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-9_non-acc-bulk-control-leaf(NLO)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-9_non-acc-bulk-control-leaf(NLO)_Rep3_ATH1	GSM131087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131091	Arabidopsis halleri	accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: whole root system	Boyes key 1.1	root	  	GSE5613GSM131091 sample	GSE5613GSM131091 extract	total_RNA	GSE5613GSM131091 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-13_acc-bulk-control-root(ARO)_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-13_acc-bulk-control-root(ARO)_Rep1_ATH1	GSM131091.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	none
GSE5613GSM131090	Arabidopsis halleri	non-accumulating bulk:  location: Growth Room Humidity: 80 Temperature: 25 Lighting: 10hrs Medium: Full mineral medium Water: weekly. Developmental stage: 1.1; Tissue: Rosette leaves	Boyes key 1.1	rosette leaf	P-G5613-1	GSE5613GSM131090 sample	GSE5613GSM131090 extract	total_RNA	GSE5613GSM131090 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Newbury_2-12_non-acc-bulk-highZn-leaf(NLH)_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Newbury_2-12_non-acc-bulk-highZn-leaf(NLH)_Rep3_ATH1	GSM131090.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.raw.1.zip	E-GEOD-5613-processed-data-1628463857.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5613/E-GEOD-5613.processed.1.zip	25uM zinc
