Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit [time unit]
GSE5615GSM131149	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-13	GSE5615GSM131149 sample	GSE5615GSM131149 extract	total_RNA	GSE5615GSM131149 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-35_3-7-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-35_3-7-1_REP3_ATH1	GSM131149.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	1	hour
GSE5615GSM131135	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-13	GSE5615GSM131135 sample	GSE5615GSM131135 extract	total_RNA	GSE5615GSM131135 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-21_2-7-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-21_2-7-1_REP2_ATH1	GSM131135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	1	hour
GSE5615GSM131121	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-13	GSE5615GSM131121 sample	GSE5615GSM131121 extract	total_RNA	GSE5615GSM131121 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-7_1-7-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-7_1-7-1_REP_1_ATH1	GSM131121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	1	hour
GSE5615GSM131128	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-6	GSE5615GSM131128 sample	GSE5615GSM131128 extract	total_RNA	GSE5615GSM131128 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-14_1-7-4_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-14_1-7-4_REP1_ATH1	GSM131128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	4	hour
GSE5615GSM131142	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-6	GSE5615GSM131142 sample	GSE5615GSM131142 extract	total_RNA	GSE5615GSM131142 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-28_2-7-4_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-28_2-7-4_REP2_ATH1	GSM131142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	4	hour
GSE5615GSM131114	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-6	GSE5615GSM131114 sample	GSE5615GSM131114 extract	total_RNA	GSE5615GSM131114 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-42_3-7-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-42_3-7-4_REP3_ATH1	GSM131114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	lipopolysaccharide 100ug/ml	4	hour
GSE5615GSM131144	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-15	GSE5615GSM131144 sample	GSE5615GSM131144 extract	total_RNA	GSE5615GSM131144 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-30_3-2-1_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-30_3-2-1_REP3_ATH1	GSM131144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	1	hour
GSE5615GSM131130	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-15	GSE5615GSM131130 sample	GSE5615GSM131130 extract	total_RNA	GSE5615GSM131130 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-16_2-2-1_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-16_2-2-1_REP2_ATH1	GSM131130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	1	hour
GSE5615GSM131116	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-8	GSE5615GSM131116 sample	GSE5615GSM131116 extract	total_RNA	GSE5615GSM131116 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-2_1-2-1_REP_1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-2_1-2-1_REP_1_ATH1	GSM131116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	1	hour
GSE5615GSM131109	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5615-1	GSE5615GSM131109 sample	GSE5615GSM131109 extract	total_RNA	GSE5615GSM131109 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_B-37_3-2-4_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_B-37_3-2-4_REP3_ATH1	GSM131109.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.raw.1.zip	E-GEOD-5615-processed-data-1628494162.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5615/E-GEOD-5615.processed.1.zip	CaCl2 1mM + MgCl2 2.5mM	4	hour
