Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5622GSM131295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5622-1	GSE5622GSM131295 sample	GSE5622GSM131295 extract	total_RNA	GSE5622GSM131295 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2411_Osmoticstress-Shoots-6.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-2411_Osmoticstress-Shoots-6.0h_Rep1	GSM131295.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	shoot	6	hours
GSE5622GSM131296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5622-1	GSE5622GSM131296 sample	GSE5622GSM131296 extract	total_RNA	GSE5622GSM131296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2412_Osmoticstress-Shoots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-2412_Osmoticstress-Shoots-6.0h_Rep2	GSM131296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	shoot	6	hours
GSE5622GSM131301	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131301 sample	GSE5622GSM131301 extract	total_RNA	GSE5622GSM131301 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2521_Osmoticstress-Roots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-2521_Osmoticstress-Roots-12.0h_Rep1	GSM131301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	12	hours
GSE5622GSM131289	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131289 sample	GSE5622GSM131289 extract	total_RNA	GSE5622GSM131289 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2221_Osmoticstress-Roots-1.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-2221_Osmoticstress-Roots-1.0h_Rep1	GSM131289.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	1	hours
GSE5622GSM131302	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131302 sample	GSE5622GSM131302 extract	total_RNA	GSE5622GSM131302 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2522_Osmoticstress-Roots-12.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-2522_Osmoticstress-Roots-12.0h_Rep2	GSM131302.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	12	hours
GSE5622GSM131293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131293 sample	GSE5622GSM131293 extract	total_RNA	GSE5622GSM131293 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2321_Osmoticstress-Roots-3.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-2321_Osmoticstress-Roots-3.0h_Rep1	GSM131293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	3	hours
GSE5622GSM131299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5622-1	GSE5622GSM131299 sample	GSE5622GSM131299 extract	total_RNA	GSE5622GSM131299 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2511_Osmoticstress-Shoots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-2511_Osmoticstress-Shoots-12.0h_Rep1	GSM131299.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	shoot	12	hours
GSE5622GSM131304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5622-1	GSE5622GSM131304 sample	GSE5622GSM131304 extract	total_RNA	GSE5622GSM131304 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2612_Osmoticstress-Shoots-24.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-2612_Osmoticstress-Shoots-24.0h_Rep2	GSM131304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	shoot	24	hours
GSE5622GSM131290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131290 sample	GSE5622GSM131290 extract	total_RNA	GSE5622GSM131290 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2222_Osmoticstress-Roots-1.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-2222_Osmoticstress-Roots-1.0h_Rep2	GSM131290.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	1	hours
GSE5622GSM131298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5622-1	GSE5622GSM131298 sample	GSE5622GSM131298 extract	total_RNA	GSE5622GSM131298 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-2422_Osmoticstress-Roots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-2422_Osmoticstress-Roots-6.0h_Rep2	GSM131298.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.raw.1.zip	E-GEOD-5622-processed-data-1628479571.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5622/E-GEOD-5622.processed.1.zip	root	6	hours
