Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5629GSM131493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131493 sample	GSE5629GSM131493 extract	total_RNA	GSE5629GSM131493 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_101_B	A-AFFY-2	P-AFFY-6	ATGE_101_B	GSM131493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131474	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131474 sample	GSE5629GSM131474 extract	total_RNA	GSE5629GSM131474 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_22_A	A-AFFY-2	P-AFFY-6	ATGE_22_A	GSM131474.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131475	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131475 sample	GSE5629GSM131475 extract	total_RNA	GSE5629GSM131475 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_22_B	A-AFFY-2	P-AFFY-6	ATGE_22_B	GSM131475.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131473	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	green parts	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: seedling, green parts	GSE5629GSM131473 sample	GSE5629GSM131473 extract	total_RNA	GSE5629GSM131473 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_7_C2	A-AFFY-2	P-AFFY-6	ATGE_7_C2	GSM131473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	green parts
GSE5629GSM131494	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131494 sample	GSE5629GSM131494 extract	total_RNA	GSE5629GSM131494 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_101_C	A-AFFY-2	P-AFFY-6	ATGE_101_C	GSM131494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131477	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131477 sample	GSE5629GSM131477 extract	total_RNA	GSE5629GSM131477 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_23_A	A-AFFY-2	P-AFFY-6	ATGE_23_A	GSM131477.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131471	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: seedling, green parts	GSE5629GSM131471 sample	GSE5629GSM131471 extract	total_RNA	GSE5629GSM131471 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_7_A2	A-AFFY-2	P-AFFY-6	ATGE_7_A2	GSM131471.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131484	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131484 sample	GSE5629GSM131484 extract	total_RNA	GSE5629GSM131484 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_96_B	A-AFFY-2	P-AFFY-6	ATGE_96_B	GSM131484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131487	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131487 sample	GSE5629GSM131487 extract	total_RNA	GSE5629GSM131487 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_97_B	A-AFFY-2	P-AFFY-6	ATGE_97_B	GSM131487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131489	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131489 sample	GSE5629GSM131489 extract	total_RNA	GSE5629GSM131489 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_100_A	A-AFFY-2	P-AFFY-6	ATGE_100_A	GSM131489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
