Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TEMPERATURE]	Unit[TemperatureUnit]	FactorValue[AGE]	Unit[TimeUnit]
GSE5631GSM131555	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: roots	GSE5631GSM131555 sample	GSE5631GSM131555 extract	total_RNA	GSE5631GSM131555 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_3_A	A-AFFY-2	P-AFFY-6	ATGE_3_A	GSM131555.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	7	days
GSE5631GSM131556	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: roots	GSE5631GSM131556 sample	GSE5631GSM131556 extract	total_RNA	GSE5631GSM131556 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_3_B	A-AFFY-2	P-AFFY-6	ATGE_3_B	GSM131556.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	7	days
GSE5631GSM131557	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: roots	GSE5631GSM131557 sample	GSE5631GSM131557 extract	total_RNA	GSE5631GSM131557 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_3_C	A-AFFY-2	P-AFFY-6	ATGE_3_C	GSM131557.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	7	days
GSE5631GSM131558	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: roots	GSE5631GSM131558 sample	GSE5631GSM131558 extract	total_RNA	GSE5631GSM131558 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_9_A	A-AFFY-2	P-AFFY-6	ATGE_9_A	GSM131558.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	17	days
GSE5631GSM131559	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: roots	GSE5631GSM131559 sample	GSE5631GSM131559 extract	total_RNA	GSE5631GSM131559 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_9_B	A-AFFY-2	P-AFFY-6	ATGE_9_B	GSM131559.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	17	days
GSE5631GSM131560	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: roots	GSE5631GSM131560 sample	GSE5631GSM131560 extract	total_RNA	GSE5631GSM131560 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_9_C	A-AFFY-2	P-AFFY-6	ATGE_9_C	GSM131560.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	23	degree_C	17	days
GSE5631GSM131561	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: long day Substrate: 1xMS, 1% sucrose Temperature: 22oC. Tissue: root	GSE5631GSM131561 sample	GSE5631GSM131561 extract	total_RNA	GSE5631GSM131561 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_93_A	A-AFFY-2	P-AFFY-6	ATGE_93_A	GSM131561.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	long day	22	degree_C	15	days
GSE5631GSM131562	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: long day Substrate: 1xMS, 1% sucrose Temperature: 22oC. Tissue: root	GSE5631GSM131562 sample	GSE5631GSM131562 extract	total_RNA	GSE5631GSM131562 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_93_B	A-AFFY-2	P-AFFY-6	ATGE_93_B	GSM131562.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	long day	22	degree_C	15	days
GSE5631GSM131563	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: long day Substrate: 1xMS, 1% sucrose Temperature: 22oC. Tissue: root	GSE5631GSM131563 sample	GSE5631GSM131563 extract	total_RNA	GSE5631GSM131563 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_93_C	A-AFFY-2	P-AFFY-6	ATGE_93_C	GSM131563.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	long day	22	degree_C	15	days
GSE5631GSM131564	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131564 sample	GSE5631GSM131564 extract	total_RNA	GSE5631GSM131564 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_94_A	A-AFFY-2	P-AFFY-6	ATGE_94_A	GSM131564.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
GSE5631GSM131565	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131565 sample	GSE5631GSM131565 extract	total_RNA	GSE5631GSM131565 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_94_B	A-AFFY-2	P-AFFY-6	ATGE_94_B	GSM131565.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
