Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE5685GSM133037	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-1	GSE5685GSM133037 sample	GSE5685GSM133037 extract	total_RNA	GSE5685GSM133037 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2508	A-AFFY-2	P-AFFY-6	2508	GSM133037.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	16	hours
GSE5685GSM133048	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-1	GSE5685GSM133048 sample	GSE5685GSM133048 extract	total_RNA	GSE5685GSM133048 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2790	A-AFFY-2	P-AFFY-6	2790	GSM133048.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	16	hours
GSE5685GSM133050	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-10	GSE5685GSM133050 sample	GSE5685GSM133050 extract	total_RNA	GSE5685GSM133050 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2791	A-AFFY-2	P-AFFY-6	2791	GSM133050.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	16	hours
GSE5685GSM133064	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-10	GSE5685GSM133064 sample	GSE5685GSM133064 extract	total_RNA	GSE5685GSM133064 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2528	A-AFFY-2	P-AFFY-6	2528	GSM133064.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	16	hours
GSE5685GSM133058	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-11	GSE5685GSM133058 sample	GSE5685GSM133058 extract	total_RNA	GSE5685GSM133058 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2506	A-AFFY-2	P-AFFY-6	2506	GSM133058.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	8	hours
GSE5685GSM133051	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-11	GSE5685GSM133051 sample	GSE5685GSM133051 extract	total_RNA	GSE5685GSM133051 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2793	A-AFFY-2	P-AFFY-6	2793	GSM133051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	8	hours
GSE5685GSM133067	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-12	GSE5685GSM133067 sample	GSE5685GSM133067 extract	total_RNA	GSE5685GSM133067 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2505	A-AFFY-2	P-AFFY-6	2505	GSM133067.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	4	hours
GSE5685GSM133052	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-12	GSE5685GSM133052 sample	GSE5685GSM133052 extract	total_RNA	GSE5685GSM133052 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2795	A-AFFY-2	P-AFFY-6	2795	GSM133052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	10mM MgCl2	4	hours
GSE5685GSM133053	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-13	GSE5685GSM133053 sample	GSE5685GSM133053 extract	total_RNA	GSE5685GSM133053 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2794	A-AFFY-2	P-AFFY-6	2794	GSM133053.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	8	hours
GSE5685GSM133065	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-13	GSE5685GSM133065 sample	GSE5685GSM133065 extract	total_RNA	GSE5685GSM133065 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2529	A-AFFY-2	P-AFFY-6	2529	GSM133065.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326	8	hours
GSE5685GSM133057	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-14	GSE5685GSM133057 sample	GSE5685GSM133057 extract	total_RNA	GSE5685GSM133057 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2504	A-AFFY-2	P-AFFY-6	2504	GSM133057.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	4	hours
GSE5685GSM133054	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N1092; Developmental stage: 4-week old plants at 10-11 rossette lead stage (just before bolting); Tissue: leaf	Col-0	4	weeks	10-11 rosette lead stage	leaf	P-G5685-14	GSE5685GSM133054 sample	GSE5685GSM133054 extract	total_RNA	GSE5685GSM133054 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	2796	A-AFFY-2	P-AFFY-6	2796	GSM133054.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.raw.1.zip	E-GEOD-5685-processed-data-1628548914.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5685/E-GEOD-5685.processed.1.zip	Pseudomonas syringae ES4326 avrRpt2	4	hours
