Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[ecotype]	Characteristics[germplasm]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[inoculation]	FactorValue[treatment time]	Unit[time unit]
GSE5686GSM133093	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-9	GSE5686GSM133093 sample	GSE5686GSM133093 extract	total_RNA	GSE5686GSM133093 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 06H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 06H INFECTED	GSM133093.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	6	hour
GSE5686GSM133108	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-9	GSE5686GSM133108 sample	GSE5686GSM133108 extract	total_RNA	GSE5686GSM133108 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 6H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 6H	GSM133108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	6	hour
GSE5686GSM133077	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-9	GSE5686GSM133077 sample	GSE5686GSM133077 extract	total_RNA	GSE5686GSM133077 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 06H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 06H INFECTED	GSM133077.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	6	hour
GSE5686GSM133095	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-11	GSE5686GSM133095 sample	GSE5686GSM133095 extract	total_RNA	GSE5686GSM133095 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 12H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 12H INFECTED	GSM133095.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	12	hour
GSE5686GSM133101	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-11	GSE5686GSM133101 sample	GSE5686GSM133101 extract	total_RNA	GSE5686GSM133101 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 12H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 12H	GSM133101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	12	hour
GSE5686GSM133079	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-11	GSE5686GSM133079 sample	GSE5686GSM133079 extract	total_RNA	GSE5686GSM133079 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 12H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 12H INFECTED	GSM133079.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	12	hour
GSE5686GSM133102	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-13	GSE5686GSM133102 sample	GSE5686GSM133102 extract	total_RNA	GSE5686GSM133102 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO TIME EXP3 EO INF 18H	A-AFFY-2	P-AFFY-6	JD AT+EO TIME EXP3 EO INF 18H	GSM133102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	18	hour
GSE5686GSM133081	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-13	GSE5686GSM133081 sample	GSE5686GSM133081 extract	total_RNA	GSE5686GSM133081 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 18H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 18H INFECTED	GSM133081.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	18	hour
GSE5686GSM133097	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 29-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-13	GSE5686GSM133097 sample	GSE5686GSM133097 extract	total_RNA	GSE5686GSM133097 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT EXP2 18H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT EXP2 18H INFECTED	GSM133097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	18	hour
GSE5686GSM133083	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 30-day old rosette-stage plants; Tissue: leaves	Col-0	NASC: N6673	rosette stage	leaf	P-G5686-15	GSE5686GSM133083 sample	GSE5686GSM133083 extract	total_RNA	GSE5686GSM133083 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JD AT+EO COL WT 24H INFECTED	A-AFFY-2	P-AFFY-6	JD AT+EO COL WT 24H INFECTED	GSM133083.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.raw.1.zip	E-GEOD-5686-processed-data-1628558130.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5686/E-GEOD-5686.processed.1.zip	Erysiphe orontii	24	hour
