Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE5698GSM133291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133291 sample	GSE5698GSM133291 extract	total_RNA	GSE5698GSM133291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.28	A-AFFY-2	P-AFFY-6	NO.28	GSM133291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	none
GSE5698GSM133292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133292 sample	GSE5698GSM133292 extract	total_RNA	GSE5698GSM133292 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.29	A-AFFY-2	P-AFFY-6	NO.29	GSM133292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	none
GSE5698GSM133293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133293 sample	GSE5698GSM133293 extract	total_RNA	GSE5698GSM133293 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.30	A-AFFY-2	P-AFFY-6	NO.30	GSM133293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	none
GSE5698GSM133294	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-2	GSE5698GSM133294 sample	GSE5698GSM133294 extract	total_RNA	GSE5698GSM133294 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.31	A-AFFY-2	P-AFFY-6	NO.31	GSM133294.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	t-zeatin
GSE5698GSM133296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-2	GSE5698GSM133296 sample	GSE5698GSM133296 extract	total_RNA	GSE5698GSM133296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.33	A-AFFY-2	P-AFFY-6	NO.33	GSM133296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	t-zeatin
GSE5698GSM133295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"ARR22-ox:  na. Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	arr22-ox	vegetative stage	21	day	whole organism	P-G5698-2	GSE5698GSM133295 sample	GSE5698GSM133295 extract	total_RNA	GSE5698GSM133295 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.32	A-AFFY-2	P-AFFY-6	NO.32	GSM133295.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	arr22-ox	t-zeatin
GSE5698GSM133287	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0:  na. Stock Code: N1092; Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	Col-0	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133287 sample	GSE5698GSM133287 extract	total_RNA	GSE5698GSM133287 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.12	A-AFFY-2	P-AFFY-6	NO.12	GSM133287.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	wild type	none
GSE5698GSM133285	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0:  na. Stock Code: N1092; Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	Col-0	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133285 sample	GSE5698GSM133285 extract	total_RNA	GSE5698GSM133285 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.10	A-AFFY-2	P-AFFY-6	NO.10	GSM133285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	wild type	none
GSE5698GSM133286	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0:  na. Stock Code: N1092; Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	Col-0	vegetative stage	21	day	whole organism	P-G5698-1	GSE5698GSM133286 sample	GSE5698GSM133286 extract	total_RNA	GSE5698GSM133286 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.11	A-AFFY-2	P-AFFY-6	NO.11	GSM133286.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	wild type	none
GSE5698GSM133289	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"Col-0:  na. Stock Code: N1092; Developmental stage: 21-day-old plants, vegetative stage; Tissue: complete plant"	Col-0	vegetative stage	21	day	whole organism	P-G5698-2	GSE5698GSM133289 sample	GSE5698GSM133289 extract	total_RNA	GSE5698GSM133289 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	NO.20-2	A-AFFY-2	P-AFFY-6	NO.20-2	GSM133289.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.raw.1.zip	E-GEOD-5698-processed-data-1628538620.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5698/E-GEOD-5698.processed.1.zip	wild type	t-zeatin
