Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]
GSE5727GSM133738	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	coi1 mutant	Coi1:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N3071; Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: Coi1 transgenic	GSE5727GSM133738 sample	GSE5727GSM133738 extract	total_RNA	GSE5727GSM133738 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-10-bwoll-Co2_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-10-bwoll-Co2_SLD	GSM133738.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	coi1 mutant
GSE5727GSM133736	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	ein2 mutant	Ein2:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N3071; Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: Ein2 transgenic	GSE5727GSM133736 sample	GSE5727GSM133736 extract	total_RNA	GSE5727GSM133736 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-8-bwoll-Ei2_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-8-bwoll-Ei2_SLD	GSM133736.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	ein2 mutant
GSE5727GSM133730	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 3.9	Col-5	Col-5:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N1644; Developmental stage: 3.9; Tissue: fully expanded leaves	GSE5727GSM133730 sample	GSE5727GSM133730 extract	total_RNA	GSE5727GSM133730 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-2-bwoll-C5G_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-2-bwoll-C5G_SLD	GSM133730.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	Col-5
GSE5727GSM133733	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	NahG transgenic	NahG:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: NahG transgenic	GSE5727GSM133733 sample	GSE5727GSM133733 extract	total_RNA	GSE5727GSM133733 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-5-bwoll-NG1_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-5-bwoll-NG1_SLD	GSM133733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	NahG transgenic
GSE5727GSM133734	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	NahG transgenic	NahG:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: NahG transgenic	GSE5727GSM133734 sample	GSE5727GSM133734 extract	total_RNA	GSE5727GSM133734 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-6-bwoll-NG2_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-6-bwoll-NG2_SLD	GSM133734.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	NahG transgenic
GSE5727GSM133732	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	Col-0	Col-0:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N1644; Developmental stage: 6.0; Tissue: fully expanded leaves	GSE5727GSM133732 sample	GSE5727GSM133732 extract	total_RNA	GSE5727GSM133732 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-4-bwoll-C5S_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-4-bwoll-C5S_SLD	GSM133732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	Col-0
GSE5727GSM133729	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 3.9	Col-0	Col-0:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N933; Developmental stage: 3.9; Tissue: fully expanded leaves	GSE5727GSM133729 sample	GSE5727GSM133729 extract	total_RNA	GSE5727GSM133729 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-1-bwoll-C0G_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-1-bwoll-C0G_SLD	GSM133729.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	Col-0
GSE5727GSM133737	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	coi1 mutant	Coi1:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N3071; Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: Coi1 transgenic	GSE5727GSM133737 sample	GSE5727GSM133737 extract	total_RNA	GSE5727GSM133737 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-9-bwoll-Co1_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-9-bwoll-Co1_SLD	GSM133737.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	coi1 mutant
GSE5727GSM133731	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	Col-0	Col-0:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N933; Developmental stage: 6.0; Tissue: fully expanded leaves	GSE5727GSM133731 sample	GSE5727GSM133731 extract	total_RNA	GSE5727GSM133731 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-3-bwoll-C0S_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-3-bwoll-C0S_SLD	GSM133731.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	Col-0
GSE5727GSM133735	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	Boyes key 6.0	ein2 mutant	Ein2:  location: Growth Room Atmosphere: Normal Humidity: not controlled Temperature: 18 Lighting: 12h day Medium: compost Treatment: none Nutrients: none Water: as needed Stratification:. Stock Code: N3071; Developmental stage: 6.0; Tissue: fully expanded leaves; Genetic background: Columbia; Genetic variation: Ein2 transgenic	GSE5727GSM133735 sample	GSE5727GSM133735 extract	total_RNA	GSE5727GSM133735 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Buchanan-Wollaston_A-7-bwoll-Ei1_SLD	A-AFFY-2	P-AFFY-6	Buchanan-Wollaston_A-7-bwoll-Ei1_SLD	GSM133735.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.raw.1.zip	E-GEOD-5727-processed-data-1628571228.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5727/E-GEOD-5727.processed.1.zip	ein2 mutant
