Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE5746GSM133936	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133936 sample	GSE5746GSM133936 extract	total_RNA	GSE5746GSM133936 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-28_CHIP-212-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-28_CHIP-212-A_Rep1_ATH1	GSM133936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	3	day
GSE5746GSM133937	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133937 sample	GSE5746GSM133937 extract	total_RNA	GSE5746GSM133937 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-29_CHIP-212-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-29_CHIP-212-B_Rep2_ATH1	GSM133937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	3	day
GSE5746GSM133938	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133938 sample	GSE5746GSM133938 extract	total_RNA	GSE5746GSM133938 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-30_CHIP-212-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-30_CHIP-212-C_Rep3_ATH1	GSM133938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	3	day
GSE5746GSM133940	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133940 sample	GSE5746GSM133940 extract	total_RNA	GSE5746GSM133940 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-32_CHIP-213-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-32_CHIP-213-B_Rep2_ATH1	GSM133940.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	5	day
GSE5746GSM133939	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133939 sample	GSE5746GSM133939 extract	total_RNA	GSE5746GSM133939 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-31_CHIP-213-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-31_CHIP-213-A_Rep1_ATH1	GSM133939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	5	day
GSE5746GSM133941	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133941 sample	GSE5746GSM133941 extract	total_RNA	GSE5746GSM133941 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-33_CHIP-213-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-33_CHIP-213-C_Rep3_ATH1	GSM133941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	5	day
GSE5746GSM133943	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133943 sample	GSE5746GSM133943 extract	total_RNA	GSE5746GSM133943 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-35_CHIP-214-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-35_CHIP-214-B_Rep2_ATH1	GSM133943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	7	day
GSE5746GSM133930	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133930 sample	GSE5746GSM133930 extract	total_RNA	GSE5746GSM133930 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-22_CHIP-210-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-22_CHIP-210-A_Rep1_ATH1	GSM133930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	7	day
GSE5746GSM133942	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133942 sample	GSE5746GSM133942 extract	total_RNA	GSE5746GSM133942 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-34_CHIP-214-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-34_CHIP-214-A_Rep1_ATH1	GSM133942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	7	day
GSE5746GSM133944	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133944 sample	GSE5746GSM133944 extract	total_RNA	GSE5746GSM133944 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-36_CHIP-214_D_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-36_CHIP-214_D_Rep3_ATH1	GSM133944.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	long-day regime	7	day
