Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5747GSM133952	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-8	GSE5747GSM133952 sample	GSE5747GSM133952 extract	total_RNA	GSE5747GSM133952 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-8_T14-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-8_T14-APH_Rep1_ATH1	GSM133952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	14	hours
GSE5747GSM133949	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-5	GSE5747GSM133949 sample	GSE5747GSM133949 extract	total_RNA	GSE5747GSM133949 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-5_T8-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-5_T8-APH_Rep1_ATH1	GSM133949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	8	hours
GSE5747GSM133950	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-6	GSE5747GSM133950 sample	GSE5747GSM133950 extract	total_RNA	GSE5747GSM133950 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-6_T10-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-6_T10-APH_Rep1_ATH1	GSM133950.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	10	hours
GSE5747GSM133948	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-4	GSE5747GSM133948 sample	GSE5747GSM133948 extract	total_RNA	GSE5747GSM133948 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-4_T6-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-4_T6-APH_Rep1_ATH1	GSM133948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	6	hours
GSE5747GSM133946	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-2	GSE5747GSM133946 sample	GSE5747GSM133946 extract	total_RNA	GSE5747GSM133946 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-2_T2-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-2_T2-APH_Rep1_ATH1	GSM133946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	2	hours
GSE5747GSM133954	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-10	GSE5747GSM133954 sample	GSE5747GSM133954 extract	total_RNA	GSE5747GSM133954 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-10_T19-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-10_T19-APH_Rep1_ATH1	GSM133954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	19	hours
GSE5747GSM133951	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-7	GSE5747GSM133951 sample	GSE5747GSM133951 extract	total_RNA	GSE5747GSM133951 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-7_T12-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-7_T12-APH_Rep1_ATH1	GSM133951.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	12	hours
GSE5747GSM133945	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-1	GSE5747GSM133945 sample	GSE5747GSM133945 extract	total_RNA	GSE5747GSM133945 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-1_T0-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-1_T0-APH_Rep1_ATH1	GSM133945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	0	hours
GSE5747GSM133953	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-9	GSE5747GSM133953 sample	GSE5747GSM133953 extract	total_RNA	GSE5747GSM133953 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-9_T16-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-9_T16-APH_Rep1_ATH1	GSM133953.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	16	hours
GSE5747GSM133947	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  DNA replication inhibitor: aphidicolin growth media type: liquid culture media light regime: continuous darkness nutrients: 100 ml MS salts, 3% sucrose, 0.5 mg/l NAA, 0.05 mg/l kinetin average daily temperature: 27oC. Developmental stage: early stationary phase; Tissue: cell suspension	P-G5747-3	GSE5747GSM133947 sample	GSE5747GSM133947 extract	total_RNA	GSE5747GSM133947 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Murray_2-3_T4-APH_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Murray_2-3_T4-APH_Rep1_ATH1	GSM133947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.raw.1.zip	E-GEOD-5747-processed-data-1628588541.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5747/E-GEOD-5747.processed.1.zip	4	hours
