Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[CellType]	Characteristics[Ecotype]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5748GSM133957	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  0 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 22C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-1	GSE5748GSM133957 sample	GSE5748GSM133957 extract	total_RNA	GSE5748GSM133957 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-2_0B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-2_0B_Rep2_ATH1	GSM133957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	control	0	days
GSE5748GSM133966	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  10 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 27C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-6	GSE5748GSM133966 sample	GSE5748GSM133966 extract	total_RNA	GSE5748GSM133966 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-11_10A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-11_10A_Rep1_ATH1	GSM133966.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	10	days
GSE5748GSM133959	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  2 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 27C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-2	GSE5748GSM133959 sample	GSE5748GSM133959 extract	total_RNA	GSE5748GSM133959 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-4_2B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-4_2B_Rep2_ATH1	GSM133959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	2	days
GSE5748GSM133967	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  10 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 27C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-6	GSE5748GSM133967 sample	GSE5748GSM133967 extract	total_RNA	GSE5748GSM133967 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-12_10B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-12_10B_Rep2_ATH1	GSM133967.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	10	days
GSE5748GSM133962	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  6 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 27C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-4	GSE5748GSM133962 sample	GSE5748GSM133962 extract	total_RNA	GSE5748GSM133962 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-7_6A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-7_6A_Rep1_ATH1	GSM133962.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	6	days
GSE5748GSM133960	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  4 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 22C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-3	GSE5748GSM133960 sample	GSE5748GSM133960 extract	total_RNA	GSE5748GSM133960 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-5_4A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-5_4A_Rep1_ATH1	GSM133960.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	4	days
GSE5748GSM133961	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  4 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 22C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-3	GSE5748GSM133961 sample	GSE5748GSM133961 extract	total_RNA	GSE5748GSM133961 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-6_4B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-6_4B_Rep2_ATH1	GSM133961.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	4	days
GSE5748GSM133963	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  6 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 27C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-4	GSE5748GSM133963 sample	GSE5748GSM133963 extract	total_RNA	GSE5748GSM133963 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-8_6B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-8_6B_Rep2_ATH1	GSM133963.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	6	days
GSE5748GSM133956	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  0 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 22C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-1	GSE5748GSM133956 sample	GSE5748GSM133956 extract	total_RNA	GSE5748GSM133956 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-1_0A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-1_0A_Rep1_ATH1	GSM133956.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	control	0	days
GSE5748GSM133965	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 suspension cells	Col-0	na:  harvesting: collection after treatment -  8 days growth media type: liquid culture media nutrients: MS1  MS salts, 1 ug /ml 2,4-dichlorphenoxyacetic acid and 3% sucrose nutrients: MS2  MS salts, 3% sucrose, 1 uM brassinolide and 10 mM H3BO3 average daily temperature: 22C. Stock Code: N1092; Tissue: Col-0 suspension cells	P-G5748-5	GSE5748GSM133965 sample	GSE5748GSM133965 extract	total_RNA	GSE5748GSM133965 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Fukuda_1-10_8B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Fukuda_1-10_8B_Rep2_ATH1	GSM133965.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.raw.1.zip	E-GEOD-5748-processed-data-1628589259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5748/E-GEOD-5748.processed.1.zip	fresh medium with 1 uM brassinolide and 10 mM H3BO3	8	days
