Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[compound]	FactorValue[dose]	Unit[concentration unit]
GSE5751GSM134302	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	endosperm	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Murashige and Skoog basal salt mixture Growth protocol: Seeds were sown on MS medium supplented with 20uM ABA (mixed iosmers, sigma), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: endosperm	GSE5751GSM134302 sample	GSE5751GSM134302 extract	total_RNA	GSE5751GSM134302 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-4_endosperm-ABA_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-4_endosperm-ABA_Rep1_ATH1	GSM134302.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	endosperm	abscisic acid	20	micromolar
GSE5751GSM134304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	endosperm	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Murashige and Skoog basal salt mixture Growth protocol: Seeds were sown on MS medium supplented with 20uM ABA (mixed iosmers, sigma), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: endosperm	GSE5751GSM134304 sample	GSE5751GSM134304 extract	total_RNA	GSE5751GSM134304 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-6_endosperm-ABA_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-6_endosperm-ABA_Rep3_ATH1	GSM134304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	endosperm	abscisic acid	20	micromolar
GSE5751GSM134316	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	plant embryo	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium supplemented with 20uM paclobutrazol (Greyhound chromatography, Birkenhead, UK), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: embryo	GSE5751GSM134316 sample	GSE5751GSM134316 extract	total_RNA	GSE5751GSM134316 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-18_embryo-PAC_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-18_embryo-PAC_Rep3_ATH1	GSM134316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	plant embryo	paclobutrazol	20	micromolar
GSE5751GSM134299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	endosperm	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Location: Greenhouse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Murashige and Skoog basal salt mixture Growth protocol: Seeds were sown on MS medium, stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours.. Stock Code: NW20; Developmental stage: 0.50; Tissue: endosperm	GSE5751GSM134299 sample	GSE5751GSM134299 extract	total_RNA	GSE5751GSM134299 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-1_endosperm-control_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-1_endosperm-control_Rep1_ATH1	GSM134299.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	endosperm	none	0	micromolar
GSE5751GSM134314	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	plant embryo	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium supplemented with 20uM paclobutrazol (Greyhound chromatography, Birkenhead, UK), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: embryo	GSE5751GSM134314 sample	GSE5751GSM134314 extract	total_RNA	GSE5751GSM134314 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-16_embryo-PAC_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-16_embryo-PAC_Rep1_ATH1	GSM134314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	plant embryo	paclobutrazol	20	micromolar
GSE5751GSM134310	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	plant embryo	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium, stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: embryo	GSE5751GSM134310 sample	GSE5751GSM134310 extract	total_RNA	GSE5751GSM134310 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-12_embryo-control_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-12_embryo-control_Rep3_ATH1	GSM134310.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	plant embryo	none	0	micromolar
GSE5751GSM134307	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	endosperm	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium supplented with 20uM PAC(Greyhound Chromatography, Birkenhead, UK), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: endosperm	GSE5751GSM134307 sample	GSE5751GSM134307 extract	total_RNA	GSE5751GSM134307 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-9_endosperm-PAC_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-9_endosperm-PAC_Rep3_ATH1	GSM134307.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	endosperm	paclobutrazol	20	micromolar
GSE5751GSM134300	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	endosperm	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Location: Greenhouse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Murashige and Skoog basal salt mixture Growth protocol: Seeds were sown on MS medium, stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours.. Stock Code: NW20; Developmental stage: 0.50; Tissue: endosperm	GSE5751GSM134300 sample	GSE5751GSM134300 extract	total_RNA	GSE5751GSM134300 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-2_endosperm-control_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-2_endosperm-control_Rep2_ATH1	GSM134300.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	endosperm	none	0	micromolar
GSE5751GSM134313	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	plant embryo	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium supplemented with 20uM ABA (mixed isomers, Sigma), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: embryo	GSE5751GSM134313 sample	GSE5751GSM134313 extract	total_RNA	GSE5751GSM134313 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-15_embryo-ABA_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-15_embryo-ABA_Rep3_ATH1	GSM134313.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	plant embryo	abscisic acid	20	micromolar
GSE5751GSM134315	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	radicle emergence	plant embryo	Ler-0:  stratification: 3 days at 4 degrees celsius sterilisation: 100% ethanol rinse Growth substrate type: Agar (100-200 seeds per plate) Growth medium: Seeds were sown on MS medium supplemented with 20uM paclobutrazol (Greyhound chromatography, Birkenhead, UK), stratified for 3 days at 4 degrees celsius, then tranferred to a growth room at 22 degrees celsius under continuous white light at 80-100 umol m-2 for 24 hours. Stock Code: NW20; Developmental stage: 0.50; Tissue: embryo	GSE5751GSM134315 sample	GSE5751GSM134315 extract	total_RNA	GSE5751GSM134315 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Penfield_1-17_embryo-PAC_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Penfield_1-17_embryo-PAC_Rep2_ATH1	GSM134315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.raw.1.zip	E-GEOD-5751-processed-data-1628598816.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5751/E-GEOD-5751.processed.1.zip	plant embryo	paclobutrazol	20	micromolar
