Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5755GSM134402	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.02% silwet. na	Tsu-1	GSE5755GSM134402 sample	GSE5755GSM134402 extract	total_RNA	GSE5755GSM134402 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-99_354_Tsu-1_0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-99_354_Tsu-1_0.02%-silwet_Rep3_ATH1	GSM134402.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	none
GSE5755GSM134403	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134403 sample	GSE5755GSM134403 extract	total_RNA	GSE5755GSM134403 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-100_268b_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-100_268b_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134403.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134401	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.02% silwet. na	Tsu-1	GSE5755GSM134401 sample	GSE5755GSM134401 extract	total_RNA	GSE5755GSM134401 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-98_307_Tsu-1_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-98_307_Tsu-1_0.02%-silwet_Rep2_ATH1	GSM134401.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	none
GSE5755GSM134410	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134410 sample	GSE5755GSM134410 extract	total_RNA	GSE5755GSM134410 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-107_313_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-107_313_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134410.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134408	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134408 sample	GSE5755GSM134408 extract	total_RNA	GSE5755GSM134408 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-105_352_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-105_352_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134408.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134411	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134411 sample	GSE5755GSM134411 extract	total_RNA	GSE5755GSM134411 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-108_358_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-108_358_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134411.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134404	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134404 sample	GSE5755GSM134404 extract	total_RNA	GSE5755GSM134404 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-101_324_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-101_324_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134404.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134407	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.30 mM SA in 0.02% silwet. na	Tsu-1	GSE5755GSM134407 sample	GSE5755GSM134407 extract	total_RNA	GSE5755GSM134407 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-104_304_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-104_304_Tsu-1_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134407.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	salicylic acid
GSE5755GSM134400	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.02% silwet. na	Tsu-1	GSE5755GSM134400 sample	GSE5755GSM134400 extract	total_RNA	GSE5755GSM134400 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-97_296_Tsu-1_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-97_296_Tsu-1_0.02%-silwet_Rep1_ATH1	GSM134400.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	none
GSE5755GSM134398	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tsu-1:  Treatment: 0.02% silwet. na	Tsu-1	GSE5755GSM134398 sample	GSE5755GSM134398 extract	total_RNA	GSE5755GSM134398 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-95_301_Tsu-1_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-95_301_Tsu-1_0.02%-silwet_Rep2_ATH1	GSM134398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.raw.1.zip	E-GEOD-5755-processed-data-1628607975.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5755/E-GEOD-5755.processed.1.zip	none
