Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5757GSM134442	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134442 sample	GSE5757GSM134442 extract	total_RNA	GSE5757GSM134442 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-67_282_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-67_282_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
GSE5757GSM134440	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134440 sample	GSE5757GSM134440 extract	total_RNA	GSE5757GSM134440 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-65_322_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-65_322_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
GSE5757GSM134434	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.02% silwet. na	GSE5757GSM134434 sample	GSE5757GSM134434 extract	total_RNA	GSE5757GSM134434 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-59_303_Kin-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-59_303_Kin-0_0.02%-silwet_Rep2_ATH1	GSM134434.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	none
GSE5757GSM134439	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134439 sample	GSE5757GSM134439 extract	total_RNA	GSE5757GSM134439 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-64_270b_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-64_270b_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
GSE5757GSM134444	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134444 sample	GSE5757GSM134444 extract	total_RNA	GSE5757GSM134444 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-69_369_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-69_369_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
GSE5757GSM134430	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.02% silwet. na	GSE5757GSM134430 sample	GSE5757GSM134430 extract	total_RNA	GSE5757GSM134430 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-55_269b_Kin-0_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-55_269b_Kin-0_0.02%-silwet_Rep1_ATH1	GSM134430.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	none
GSE5757GSM134431	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.02% silwet. na	GSE5757GSM134431 sample	GSE5757GSM134431 extract	total_RNA	GSE5757GSM134431 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-56_319_Kin-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-56_319_Kin-0_0.02%-silwet_Rep2_ATH1	GSM134431.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	none
GSE5757GSM134447	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134447 sample	GSE5757GSM134447 extract	total_RNA	GSE5757GSM134447 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-72_374_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-72_374_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134447.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
GSE5757GSM134437	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.02% silwet. na	GSE5757GSM134437 sample	GSE5757GSM134437 extract	total_RNA	GSE5757GSM134437 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-62_309_Kin-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-62_309_Kin-0_0.02%-silwet_Rep2_ATH1	GSM134437.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	none
GSE5757GSM134446	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Kindalville	Kin-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	GSE5757GSM134446 sample	GSE5757GSM134446 extract	total_RNA	GSE5757GSM134446 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-71_315_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-71_315_Kin-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.raw.1.zip	E-GEOD-5757-processed-data-1628607788.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5757/E-GEOD-5757.processed.1.zip	salicylic acid
