Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ORGANISM_PART]
GSE6151GSM142647	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	aba1 mutant	Dubos_A-9-aah_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 98.96 Background Stdev (float) = 2.72 Background Max (float) = 106.3 Background Min (float) = 94.6 Noise Avg (float) = 5.87 Noise Stdev (float) = 0.28 Noise Max (float) = 7.2 Noise Min (float) = 5.3 RawQ (float) = 3.67 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 433 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A9.1-dubos-aah.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: aba1	P-G6151-1	GSE6151GSM142647 sample	P-G6151-3	GSE6151GSM142647 extract	total_RNA	P-G6151-2	GSE6151GSM142647 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A9.1-dubos-aah	A-AFFY-2	P-AFFY-6	MC002_ATH1_A9.1-dubos-aah	GSM142647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	aba1 mutant	hypocotyl
GSE6151GSM142648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	aba1 mutant	Dubos_A-9-aah_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 97.06 Background Stdev (float) = 4.28 Background Max (float) = 110.0 Background Min (float) = 86.3 Noise Avg (float) = 5.54 Noise Stdev (float) = 0.38 Noise Max (float) = 6.8 Noise Min (float) = 4.7 RawQ (float) = 3.61 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 629 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A9.2-dubos-aah.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: aba1	P-G6151-1	GSE6151GSM142648 sample	P-G6151-3	GSE6151GSM142648 extract	total_RNA	P-G6151-2	GSE6151GSM142648 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A9.2-dubos-aah	A-AFFY-2	P-AFFY-6	MC002_ATH1_A9.2-dubos-aah	GSM142648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	aba1 mutant	hypocotyl
GSE6151GSM142649	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	aba1 mutant	Dubos_A-9-aah_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 125.89 Background Stdev (float) = 2.23 Background Max (float) = 133.8 Background Min (float) = 120.4 Noise Avg (float) = 6.96 Noise Stdev (float) = 0.28 Noise Max (float) = 8.1 Noise Min (float) = 6.4 RawQ (float) = 4.33 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 517 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A9.3-dubos-aah.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: aba1	P-G6151-1	GSE6151GSM142649 sample	P-G6151-3	GSE6151GSM142649 extract	total_RNA	P-G6151-2	GSE6151GSM142649 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A9.3-dubos-aah	A-AFFY-2	P-AFFY-6	MC002_ATH1_A9.3-dubos-aah	GSM142649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	aba1 mutant	hypocotyl
GSE6151GSM142645	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	abi1 mutant	Dubos_A-8-aih_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 103.98 Background Stdev (float) = 1.95 Background Max (float) = 110.8 Background Min (float) = 100.0 Noise Avg (float) = 5.74 Noise Stdev (float) = 0.34 Noise Max (float) = 6.8 Noise Min (float) = 5.2 RawQ (float) = 3.81 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 462 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A8.2-dubos-aih.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: abi1	P-G6151-1	GSE6151GSM142645 sample	P-G6151-3	GSE6151GSM142645 extract	total_RNA	P-G6151-2	GSE6151GSM142645 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A8.2-dubos-aih	A-AFFY-2	P-AFFY-6	MC002_ATH1_A8.2-dubos-aih	GSM142645.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	abi1 mutant	hypocotyl
GSE6151GSM142644	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	abi1 mutant	Dubos_A-8-aih_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 110.90 Background Stdev (float) = 1.97 Background Max (float) = 119.0 Background Min (float) = 105.7 Noise Avg (float) = 6.08 Noise Stdev (float) = 0.24 Noise Max (float) = 6.9 Noise Min (float) = 5.3 RawQ (float) = 4.01 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 484 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A8.1-dubos-aih.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: abi1	P-G6151-1	GSE6151GSM142644 sample	P-G6151-3	GSE6151GSM142644 extract	total_RNA	P-G6151-2	GSE6151GSM142644 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A8.1-dubos-aih	A-AFFY-2	P-AFFY-6	MC002_ATH1_A8.1-dubos-aih	GSM142644.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	abi1 mutant	hypocotyl
GSE6151GSM142646	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	abi1 mutant	Dubos_A-8-aih_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 81.84 Background Stdev (float) = 1.78 Background Max (float) = 86.7 Background Min (float) = 77.3 Noise Avg (float) = 4.99 Noise Stdev (float) = 0.25 Noise Max (float) = 5.8 Noise Min (float) = 4.4 RawQ (float) = 3.23 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 520 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A8.3-dubos-aih.DAT. OrganismPart: hypocotyl; Ecotype: Ler; NASC:StockCode:; StrainOrLine: abi1	P-G6151-1	GSE6151GSM142646 sample	P-G6151-3	GSE6151GSM142646 extract	total_RNA	P-G6151-2	GSE6151GSM142646 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A8.3-dubos-aih	A-AFFY-2	P-AFFY-6	MC002_ATH1_A8.3-dubos-aih	GSM142646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	abi1 mutant	hypocotyl
GSE6151GSM142656	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	axr1 mutant	Dubos_A-12-arh_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 91.30 Background Stdev (float) = 1.48 Background Max (float) = 95.7 Background Min (float) = 87.6 Noise Avg (float) = 6.30 Noise Stdev (float) = 0.25 Noise Max (float) = 6.8 Noise Min (float) = 5.3 RawQ (float) = 3.46 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 507 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A12.1-dubos-arh.DAT. OrganismPart: hypocotyl; Ecotype: axr1; NASC:StockCode:	P-G6151-1	GSE6151GSM142656 sample	P-G6151-3	GSE6151GSM142656 extract	total_RNA	P-G6151-2	GSE6151GSM142656 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A12.1-dubos-arh	A-AFFY-2	P-AFFY-6	MC002_ATH1_A12.1-dubos-arh	GSM142656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	axr1 mutant	hypocotyl
GSE6151GSM142658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	axr1 mutant	Dubos_A-12-arh_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 69.05 Background Stdev (float) = 1.77 Background Max (float) = 73.6 Background Min (float) = 65.5 Noise Avg (float) = 3.43 Noise Stdev (float) = 0.18 Noise Max (float) = 4.0 Noise Min (float) = 2.9 RawQ (float) = 2.69 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 344 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A12.3-dubos-arh.DAT. OrganismPart: hypocotyls; Ecotype: axr1; NASC:StockCode:	P-G6151-1	GSE6151GSM142658 sample	P-G6151-3	GSE6151GSM142658 extract	total_RNA	P-G6151-2	GSE6151GSM142658 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A12.3-dubos-arh	A-AFFY-2	P-AFFY-6	MC002_ATH1_A12.3-dubos-arh	GSM142658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	axr1 mutant	hypocotyl
GSE6151GSM142657	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	axr1 mutant	Dubos_A-12-arh_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 65.61 Background Stdev (float) = 1.65 Background Max (float) = 70.0 Background Min (float) = 61.7 Noise Avg (float) = 3.36 Noise Stdev (float) = 0.11 Noise Max (float) = 3.6 Noise Min (float) = 3.1 RawQ (float) = 2.66 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 271 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A12.2-dubos-arh.DAT. OrganismPart: hypocotyl; Ecotype: axr1; NASC:StockCode:	P-G6151-1	GSE6151GSM142657 sample	P-G6151-3	GSE6151GSM142657 extract	total_RNA	P-G6151-2	GSE6151GSM142657 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A12.2-dubos-arh	A-AFFY-2	P-AFFY-6	MC002_ATH1_A12.2-dubos-arh	GSM142657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	axr1 mutant	hypocotyl
GSE6151GSM142652	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	hypocotyl	Col-0	Dubos_A-10-wth_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 64.56 Background Stdev (float) = 0.93 Background Max (float) = 67.6 Background Min (float) = 62.4 Noise Avg (float) = 3.31 Noise Stdev (float) = 0.13 Noise Max (float) = 3.7 Noise Min (float) = 2.9 RawQ (float) = 2.59 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 214 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MC002_ATH1_A10.3-dubos-wth.DAT. OrganismPart: hypocotyl; Ecotype: Col-0; NASC:StockCode:	P-G6151-1	GSE6151GSM142652 sample	P-G6151-3	GSE6151GSM142652 extract	total_RNA	P-G6151-2	GSE6151GSM142652 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MC002_ATH1_A10.3-dubos-wth	A-AFFY-2	P-AFFY-6	MC002_ATH1_A10.3-dubos-wth	GSM142652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.raw.1.zip	E-GEOD-6151-processed-data-1628817259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6151/E-GEOD-6151.processed.1.zip	Col-0	hypocotyl
