Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[developmental stage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[organism part]
GSE6160GSM142720	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-18_Caesium-treated-root_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 72.51 Background Stdev (float) = 1.15 Background Max (float) = 75.7 Background Min (float) = 69.9 Noise Avg (float) = 3.85 Noise Stdev (float) = 0.22 Noise Max (float) = 5.0 Noise Min (float) = 3.2 RawQ (float) = 2.68 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 246 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A18-Hammond-CR3.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-5	GSE6160GSM142720 sample	P-G6160-3	GSE6160GSM142720 extract	total_RNA	P-G6160-2	GSE6160GSM142720 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A18-Hammond-CR3	A-AFFY-2	P-AFFY-6	JH003_ATH1_A18-Hammond-CR3	GSM142720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	caesium	root
GSE6160GSM142708	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-6_Caesium-treated-root_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 66.48 Background Stdev (float) = 0.73 Background Max (float) = 68.8 Background Min (float) = 64.5 Noise Avg (float) = 3.44 Noise Stdev (float) = 0.11 Noise Max (float) = 3.9 Noise Min (float) = 3.2 RawQ (float) = 2.50 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 252 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A6-Hammond-CR1.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-5	GSE6160GSM142708 sample	P-G6160-3	GSE6160GSM142708 extract	total_RNA	P-G6160-2	GSE6160GSM142708 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A6-Hammond-CR1	A-AFFY-2	P-AFFY-6	JH003_ATH1_A6-Hammond-CR1	GSM142708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	caesium	root
GSE6160GSM142714	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-12_Caesium-treated-root_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 63.59 Background Stdev (float) = 1.82 Background Max (float) = 67.3 Background Min (float) = 58.9 Noise Avg (float) = 3.14 Noise Stdev (float) = 0.21 Noise Max (float) = 3.5 Noise Min (float) = 2.5 RawQ (float) = 2.43 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 257 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A12-Hommond-CR2_repeat.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-5	GSE6160GSM142714 sample	P-G6160-3	GSE6160GSM142714 extract	total_RNA	P-G6160-2	GSE6160GSM142714 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A12-Hommond-CR2_repeat	A-AFFY-2	P-AFFY-6	JH003_ATH1_A12-Hommond-CR2_repeat	GSM142714.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	caesium	root
GSE6160GSM142718	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-16_Control-root_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 76.05 Background Stdev (float) = 1.62 Background Max (float) = 79.8 Background Min (float) = 71.4 Noise Avg (float) = 4.01 Noise Stdev (float) = 0.10 Noise Max (float) = 4.2 Noise Min (float) = 3.7 RawQ (float) = 2.74 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 246 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A16-Hammond-FR3.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	  	GSE6160GSM142718 sample	P-G6160-3	GSE6160GSM142718 extract	total_RNA	P-G6160-2	GSE6160GSM142718 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A16-Hammond-FR3	A-AFFY-2	P-AFFY-6	JH003_ATH1_A16-Hammond-FR3	GSM142718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	control	root
GSE6160GSM142706	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-4_Control-root_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 79.15 Background Stdev (float) = 0.93 Background Max (float) = 82.4 Background Min (float) = 76.6 Noise Avg (float) = 5.27 Noise Stdev (float) = 0.16 Noise Max (float) = 5.7 Noise Min (float) = 4.8 RawQ (float) = 3.03 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 473 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A4-Hammond-FR1.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	  	GSE6160GSM142706 sample	P-G6160-3	GSE6160GSM142706 extract	total_RNA	P-G6160-2	GSE6160GSM142706 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A4-Hammond-FR1	A-AFFY-2	P-AFFY-6	JH003_ATH1_A4-Hammond-FR1	GSM142706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	control	root
GSE6160GSM142712	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-10_Control-root_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 75.72 Background Stdev (float) = 1.38 Background Max (float) = 79.6 Background Min (float) = 71.8 Noise Avg (float) = 3.59 Noise Stdev (float) = 0.19 Noise Max (float) = 4.3 Noise Min (float) = 3.0 RawQ (float) = 2.71 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 211 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A10-Hammond-FR2.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	  	GSE6160GSM142712 sample	P-G6160-3	GSE6160GSM142712 extract	total_RNA	P-G6160-2	GSE6160GSM142712 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A10-Hammond-FR2	A-AFFY-2	P-AFFY-6	JH003_ATH1_A10-Hammond-FR2	GSM142712.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	control	root
GSE6160GSM142707	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-5_Potassium-starved-root_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 61.05 Background Stdev (float) = 1.05 Background Max (float) = 63.7 Background Min (float) = 57.9 Noise Avg (float) = 3.05 Noise Stdev (float) = 0.15 Noise Max (float) = 3.5 Noise Min (float) = 2.7 RawQ (float) = 2.37 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 443 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A5-Hammond-KR1_repeat.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-4	GSE6160GSM142707 sample	P-G6160-3	GSE6160GSM142707 extract	total_RNA	P-G6160-2	GSE6160GSM142707 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A5-Hammond-KR1_repeat	A-AFFY-2	P-AFFY-6	JH003_ATH1_A5-Hammond-KR1_repeat	GSM142707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	no potassium	root
GSE6160GSM142719	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-17_Potassium-starved-root_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 73.96 Background Stdev (float) = 2.11 Background Max (float) = 78.6 Background Min (float) = 68.4 Noise Avg (float) = 3.75 Noise Stdev (float) = 0.16 Noise Max (float) = 4.1 Noise Min (float) = 3.3 RawQ (float) = 2.62 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 276 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A17-Hammond-KR3.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-4	GSE6160GSM142719 sample	P-G6160-3	GSE6160GSM142719 extract	total_RNA	P-G6160-2	GSE6160GSM142719 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A17-Hammond-KR3	A-AFFY-2	P-AFFY-6	JH003_ATH1_A17-Hammond-KR3	GSM142719.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	no potassium	root
GSE6160GSM142713	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	ws-2	3.9	Hammond_3-11_Potassium-starved-root_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 60.97 Background Stdev (float) = 1.90 Background Max (float) = 64.7 Background Min (float) = 56.3 Noise Avg (float) = 2.81 Noise Stdev (float) = 0.16 Noise Max (float) = 3.2 Noise Min (float) = 2.5 RawQ (float) = 2.26 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 350 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A11-Hammond-KR2.DAT. OrganismPart: all root material; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-4	GSE6160GSM142713 sample	P-G6160-3	GSE6160GSM142713 extract	total_RNA	P-G6160-2	GSE6160GSM142713 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A11-Hammond-KR2	A-AFFY-2	P-AFFY-6	JH003_ATH1_A11-Hammond-KR2	GSM142713.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	no potassium	root
GSE6160GSM142705	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	shoot	ws-2	3.9	Hammond_3-3_Caesium-treated-shoot_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 79.33 Background Stdev (float) = 1.86 Background Max (float) = 84.7 Background Min (float) = 74.8 Noise Avg (float) = 4.72 Noise Stdev (float) = 0.16 Noise Max (float) = 5.1 Noise Min (float) = 4.2 RawQ (float) = 2.91 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 680 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: JH003_ATH1_A3-Hammond-CS1.DAT. OrganismPart: shoots; Ecotype: ws-2; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6160-1	P-G6160-5	GSE6160GSM142705 sample	P-G6160-3	GSE6160GSM142705 extract	total_RNA	P-G6160-2	GSE6160GSM142705 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	JH003_ATH1_A3-Hammond-CS1	A-AFFY-2	P-AFFY-6	JH003_ATH1_A3-Hammond-CS1	GSM142705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.raw.1.zip	E-GEOD-6160-processed-data-1628829884.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6160/E-GEOD-6160.processed.1.zip	caesium	shoot
