Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	Unit [time unit]	FactorValue [genotype]
GSM1511324 1	Biological replicate 3 of 3. 061122 abi3D16-3.CEL	abi3-6 mutant	abi3-6  16 DAF Seed 3	16	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511324 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511324 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511324	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511324_061122_abi3D16-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511324_sample_table.txt norm	GSM1511324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	abi3-6 mutant
GSM1511323 1	Biological replicate 2 of 3. 061122 abi3D16-2.CEL	abi3-6 mutant	abi3-6  16 DAF Seed 2	16	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511323 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511323 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511323	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511323_061122_abi3D16-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511323_sample_table.txt norm	GSM1511323_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	abi3-6 mutant
GSM1511322 1	Biological replicate 1 of 3. 061122 abi3D16-1.CEL	abi3-6 mutant	abi3-6  16 DAF Seed 1	16	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511322 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511322 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511322	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511322_061122_abi3D16-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511322_sample_table.txt norm	GSM1511322_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	abi3-6 mutant
GSM1511321 1	Biological replicate 3 of 3. Controls for abi3-6 examination. 061122 colD16-3.CEL	wild-type (Col-0)	wild-type (Col-0) 16 DAF Seed 3	16	day	wild type 	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511321 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511321 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511321	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511321_061122_colD16-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511321_sample_table.txt norm	GSM1511321_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	wild type 
GSM1511320 1	Biological replicate 2 of 3. Controls for abi3-6 examination. 061122 colD16-2.CEL	wild-type (Col-0)	wild-type (Col-0) 16 DAF Seed 2	16	day	wild type 	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511320 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511320 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511320	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511320_061122_colD16-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511320_sample_table.txt norm	GSM1511320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	wild type 
GSM1511319 1	Biological replicate 1 of 3. Controls for abi3-6 examination. 061122 colD16-1.CEL	wild-type (Col-0)	wild-type (Col-0) 16 DAF Seed 1	16	day	wild type 	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511319 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511319 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511319	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511319_061122_colD16-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511319_sample_table.txt norm	GSM1511319_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	16	day	wild type 
GSM1511318 1	Biological replicate 3 of 3. abiD12-3.CEL	abi3-6 mutant	abi3-6  12 DAF Seed 3	12	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511318 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511318 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511318	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511318_abiD12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511318_sample_table.txt norm	GSM1511318_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	12	day	abi3-6 mutant
GSM1511317 1	Biological replicate 2 of 3. abiD12-2.CEL	abi3-6 mutant	abi3-6  12 DAF Seed 2	12	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511317 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511317 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511317	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511317_abiD12-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511317_sample_table.txt norm	GSM1511317_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	12	day	abi3-6 mutant
GSM1511316 1	Biological replicate 1 of 3. abiD12-1.CEL	abi3-6 mutant	abi3-6  12 DAF Seed 1	12	day	abi3-6 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511316 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511316 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511316	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511316_abiD12-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511316_sample_table.txt norm	GSM1511316_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	12	day	abi3-6 mutant
GSM1511315 1	Biological replicate 3 of 3. Controls for abi3-6 examination. ColD12-3.CEL	wild-type (Col-0)	wild-type (Col-0) 12 DAF Seed 2-3	12	day	wild type 	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seed	P-GSE61685-2	ArrayExpress	P-GSE61685-3	ArrayExpress	P-GSE61685-4	ArrayExpress	GSM1511315 extract 1	total RNA	P-GSE61685-5	ArrayExpress	GSM1511315 LE 1	biotin	P-GSE61685-6	ArrayExpress	GSM1511315	A-AFFY-2	ArrayExpress	array assay	P-GSE61685-7	ArrayExpress	GSM1511315_ColD12-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.raw.1.zip	P-GSE61685-1	ArrayExpress	GSM1511315_sample_table.txt norm	GSM1511315_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61685/E-GEOD-61685.processed.1.zip	12	day	wild type 
