Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[GENOTYPE]
GSE6177GSM142875	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-drought-A-20_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 64.47 Background Stdev (float) = 1.82 Background Max (float) = 69.8 Background Min (float) = 60.2 Noise Avg (float) = 4.40 Noise Stdev (float) = 0.20 Noise Max (float) = 4.9 Noise Min (float) = 3.9 RawQ (float) = 2.74 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 1192 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A20-Warre-6dr_repeat1.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	P-G6177-5	P-G6177-1	GSE6177GSM142875 sample	P-G6177-3	GSE6177GSM142875 extract	total_RNA	P-G6177-2	GSE6177GSM142875 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A20-Warre-6dr_repeat1	A-AFFY-2	P-AFFY-6	GW001_ATH1_A20-Warre-6dr_repeat1	GSM142875.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	drought	sfr6 mutant
GSE6177GSM142856	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-control-A-1_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 64.08 Background Stdev (float) = 1.55 Background Max (float) = 69.7 Background Min (float) = 61.4 Noise Avg (float) = 4.37 Noise Stdev (float) = 0.32 Noise Max (float) = 5.5 Noise Min (float) = 3.7 RawQ (float) = 2.69 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 1010 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A1-Warre-Wna_repeat1.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	  	P-G6177-1	GSE6177GSM142856 sample	P-G6177-3	GSE6177GSM142856 extract	total_RNA	P-G6177-2	GSE6177GSM142856 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A1-Warre-Wna_repeat1	A-AFFY-2	P-AFFY-6	GW001_ATH1_A1-Warre-Wna_repeat1	GSM142856.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	wild_type
GSE6177GSM142867	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-cold-A-12_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 73.22 Background Stdev (float) = 1.35 Background Max (float) = 78.3 Background Min (float) = 70.3 Noise Avg (float) = 5.01 Noise Stdev (float) = 0.23 Noise Max (float) = 5.7 Noise Min (float) = 4.3 RawQ (float) = 3.00 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 543 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A12-Warre-6ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	P-G6177-4	P-G6177-1	GSE6177GSM142867 sample	P-G6177-3	GSE6177GSM142867 extract	total_RNA	P-G6177-2	GSE6177GSM142867 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A12-Warre-6ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A12-Warre-6ca	GSM142867.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr6 mutant
GSE6177GSM142874	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-drought-A-19_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 90.94 Background Stdev (float) = 2.46 Background Max (float) = 97.4 Background Min (float) = 86.1 Noise Avg (float) = 6.40 Noise Stdev (float) = 0.26 Noise Max (float) = 7.4 Noise Min (float) = 5.9 RawQ (float) = 3.71 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 242 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A19-Warre-6dr.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	P-G6177-5	P-G6177-1	GSE6177GSM142874 sample	P-G6177-3	GSE6177GSM142874 extract	total_RNA	P-G6177-2	GSE6177GSM142874 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A19-Warre-6dr	A-AFFY-2	P-AFFY-6	GW001_ATH1_A19-Warre-6dr	GSM142874.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	drought	sfr6 mutant
GSE6177GSM142864	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-cold-A-9_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 76.27 Background Stdev (float) = 1.10 Background Max (float) = 80.3 Background Min (float) = 72.8 Noise Avg (float) = 5.29 Noise Stdev (float) = 0.26 Noise Max (float) = 6.2 Noise Min (float) = 4.6 RawQ (float) = 3.40 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 347 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A9-Warre-Wca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	P-G6177-4	P-G6177-1	GSE6177GSM142864 sample	P-G6177-3	GSE6177GSM142864 extract	total_RNA	P-G6177-2	GSE6177GSM142864 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A9-Warre-Wca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A9-Warre-Wca	GSM142864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	wild_type
GSE6177GSM142877	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-00f-A-22_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.98 Background Stdev (float) = 1.33 Background Max (float) = 89.9 Background Min (float) = 81.6 Noise Avg (float) = 5.95 Noise Stdev (float) = 0.26 Noise Max (float) = 6.7 Noise Min (float) = 5.4 RawQ (float) = 3.38 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 216 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A22-Warre-00f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142877 sample	P-G6177-3	GSE6177GSM142877 extract	total_RNA	P-G6177-2	GSE6177GSM142877 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A22-Warre-00f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A22-Warre-00f	GSM142877.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142872	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-drought-A-17_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.21 Background Stdev (float) = 3.42 Background Max (float) = 92.3 Background Min (float) = 77.1 Noise Avg (float) = 5.96 Noise Stdev (float) = 0.40 Noise Max (float) = 7.3 Noise Min (float) = 5.2 RawQ (float) = 3.34 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 434 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A17-Warre-Wdr.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	P-G6177-5	P-G6177-1	GSE6177GSM142872 sample	P-G6177-3	GSE6177GSM142872 extract	total_RNA	P-G6177-2	GSE6177GSM142872 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A17-Warre-Wdr	A-AFFY-2	P-AFFY-6	GW001_ATH1_A17-Warre-Wdr	GSM142872.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	drought	wild_type
GSE6177GSM142859	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-control-A-4_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 85.53 Background Stdev (float) = 2.67 Background Max (float) = 94.7 Background Min (float) = 80.3 Noise Avg (float) = 5.79 Noise Stdev (float) = 0.33 Noise Max (float) = 7.0 Noise Min (float) = 5.1 RawQ (float) = 3.53 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 321 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A4-Warre-6na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	  	P-G6177-1	GSE6177GSM142859 sample	P-G6177-3	GSE6177GSM142859 extract	total_RNA	P-G6177-2	GSE6177GSM142859 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A4-Warre-6na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A4-Warre-6na	GSM142859.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr6 mutant
GSE6177GSM142880	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-324f-A-25_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 106.46 Background Stdev (float) = 2.18 Background Max (float) = 113.7 Background Min (float) = 99.4 Noise Avg (float) = 8.08 Noise Stdev (float) = 0.39 Noise Max (float) = 9.1 Noise Min (float) = 6.9 RawQ (float) = 4.36 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 325 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A25-Warre-24f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142880 sample	P-G6177-3	GSE6177GSM142880 extract	total_RNA	P-G6177-2	GSE6177GSM142880 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A25-Warre-24f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A25-Warre-24f	GSM142880.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142871	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr2 mutant	Warren-sf2-cold-A-16_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.10 Background Stdev (float) = 2.42 Background Max (float) = 94.7 Background Min (float) = 81.1 Noise Avg (float) = 6.24 Noise Stdev (float) = 0.37 Noise Max (float) = 7.5 Noise Min (float) = 5.6 RawQ (float) = 3.48 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 642 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A16-Warre-2ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf2	P-G6177-4	P-G6177-1	GSE6177GSM142871 sample	P-G6177-3	GSE6177GSM142871 extract	total_RNA	P-G6177-2	GSE6177GSM142871 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A16-Warre-2ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A16-Warre-2ca	GSM142871.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr2 mutant
