Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[germplasm]	Characteristics[developmental stage]	Characteristics[genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]
GSE6179GSM142894	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.05	SPH1 RNAi	Wheeler-a05_EXT_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 70.34 Background Stdev (float) = 1.36 Background Max (float) = 74.5 Background Min (float) = 67.3 Noise Avg (float) = 4.14 Noise Stdev (float) = 0.15 Noise Max (float) = 4.6 Noise Min (float) = 3.8 RawQ (float) = 2.92 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 612 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A3-Wheel-a05.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; GeneticModification: RNAi construct in SPH1; NASC:Growth Stage: 1.05; NASC:StockCode:; StrainOrLine: SPH1	P-G6179-1	GSE6179GSM142894 sample	P-G6179-3	GSE6179GSM142894 extract	total_RNA	P-G6179-2	GSE6179GSM142894 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A3-Wheel-a05	A-AFFY-2	P-AFFY-6	MW001_ATH1_A3-Wheel-a05	GSM142894.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	SPH1 RNAi
GSE6179GSM142889	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.14	wild type	Wheeler-w14_EXT_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 100.89 Background Stdev (float) = 1.98 Background Max (float) = 106.5 Background Min (float) = 97.4 Noise Avg (float) = 6.70 Noise Stdev (float) = 0.39 Noise Max (float) = 7.7 Noise Min (float) = 5.6 RawQ (float) = 3.78 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 723 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A1-Wheel-w14.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; NASC:Growth Stage: 1.14; NASC:StockCode:	P-G6179-1	GSE6179GSM142889 sample	P-G6179-3	GSE6179GSM142889 extract	total_RNA	P-G6179-2	GSE6179GSM142889 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A1-Wheel-w14	A-AFFY-2	P-AFFY-6	MW001_ATH1_A1-Wheel-w14	GSM142889.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	wild type
GSE6179GSM142892	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.05	wild type	Wheeler-w05_EXT_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.40 Background Stdev (float) = 2.54 Background Max (float) = 96.0 Background Min (float) = 82.5 Noise Avg (float) = 4.59 Noise Stdev (float) = 0.24 Noise Max (float) = 5.5 Noise Min (float) = 4.1 RawQ (float) = 3.32 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 505 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A2-Wheel-w05.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; NASC:Growth Stage: 1.05; NASC:StockCode:	P-G6179-1	GSE6179GSM142892 sample	P-G6179-3	GSE6179GSM142892 extract	total_RNA	P-G6179-2	GSE6179GSM142892 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A2-Wheel-w05	A-AFFY-2	P-AFFY-6	MW001_ATH1_A2-Wheel-w05	GSM142892.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	wild type
GSE6179GSM142890	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.05	SPH1 RNAi	Wheeler-a05_EXT_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 79.46 Background Stdev (float) = 1.40 Background Max (float) = 82.3 Background Min (float) = 76.0 Noise Avg (float) = 3.96 Noise Stdev (float) = 0.14 Noise Max (float) = 4.3 Noise Min (float) = 3.6 RawQ (float) = 3.04 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 318 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944. OrganismPart: rosette leaves; Ecotype: Col-0; GeneticModification: RNAi construct in SPH1; NASC:Growth Stage: 1.05; NASC:StockCode:; StrainOrLine: SPH1	P-G6179-1	GSE6179GSM142890 sample	P-G6179-3	GSE6179GSM142890 extract	total_RNA	P-G6179-2	GSE6179GSM142890 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A2-Wheel-a05	A-AFFY-2	P-AFFY-6	MW001_ATH1_A2-Wheel-a05	GSM142890.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	SPH1 RNAi
GSE6179GSM142896	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.05	wild type	Wheeler-w05_EXT_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 115.34 Background Stdev (float) = 4.87 Background Max (float) = 126.8 Background Min (float) = 104.4 Noise Avg (float) = 6.02 Noise Stdev (float) = 0.37 Noise Max (float) = 7.5 Noise Min (float) = 5.3 RawQ (float) = 4.28 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 572 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A3-Wheel-w05.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; NASC:Growth Stage: 1.05; NASC:StockCode:	P-G6179-1	GSE6179GSM142896 sample	P-G6179-3	GSE6179GSM142896 extract	total_RNA	P-G6179-2	GSE6179GSM142896 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A3-Wheel-w05	A-AFFY-2	P-AFFY-6	MW001_ATH1_A3-Wheel-w05	GSM142896.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	wild type
GSE6179GSM142891	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.14	SPH1 RNAi	Wheeler-a14_EXT_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 85.20 Background Stdev (float) = 1.60 Background Max (float) = 90.3 Background Min (float) = 80.5 Noise Avg (float) = 4.91 Noise Stdev (float) = 0.20 Noise Max (float) = 5.6 Noise Min (float) = 4.5 RawQ (float) = 3.24 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 455 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A2-Wheel-a14_repeat.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; GeneticModification: RNAi construct in SPH1; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: SPH1	P-G6179-1	GSE6179GSM142891 sample	P-G6179-3	GSE6179GSM142891 extract	total_RNA	P-G6179-2	GSE6179GSM142891 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A2-Wheel-a14_repeat	A-AFFY-2	P-AFFY-6	MW001_ATH1_A2-Wheel-a14_repeat	GSM142891.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	SPH1 RNAi
GSE6179GSM142897	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.14	wild type	Wheeler-w14_EXT_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 71.31 Background Stdev (float) = 1.72 Background Max (float) = 76.2 Background Min (float) = 67.7 Noise Avg (float) = 4.22 Noise Stdev (float) = 0.31 Noise Max (float) = 5.7 Noise Min (float) = 3.7 RawQ (float) = 2.83 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 832 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A3-Wheel-w14.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; NASC:Growth Stage: 1.14; NASC:StockCode:	P-G6179-1	GSE6179GSM142897 sample	P-G6179-3	GSE6179GSM142897 extract	total_RNA	P-G6179-2	GSE6179GSM142897 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A3-Wheel-w14	A-AFFY-2	P-AFFY-6	MW001_ATH1_A3-Wheel-w14	GSM142897.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	wild type
GSE6179GSM142887	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.14	SPH1 RNAi	Wheeler-a14_EXT_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 75.50 Background Stdev (float) = 3.11 Background Max (float) = 84.2 Background Min (float) = 66.7 Noise Avg (float) = 4.31 Noise Stdev (float) = 0.23 Noise Max (float) = 5.1 Noise Min (float) = 3.7 RawQ (float) = 2.92 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 304 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A1-Wheel-a14.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; GeneticModification: RNAi construct in SPH1; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: SPH1	P-G6179-1	GSE6179GSM142887 sample	P-G6179-3	GSE6179GSM142887 extract	total_RNA	P-G6179-2	GSE6179GSM142887 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A1-Wheel-a14	A-AFFY-2	P-AFFY-6	MW001_ATH1_A1-Wheel-a14	GSM142887.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	SPH1 RNAi
GSE6179GSM142886	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.05	SPH1 RNAi	Wheeler-a05_EXT_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 68.54 Background Stdev (float) = 2.52 Background Max (float) = 74.6 Background Min (float) = 64.2 Noise Avg (float) = 3.66 Noise Stdev (float) = 0.20 Noise Max (float) = 4.3 Noise Min (float) = 3.0 RawQ (float) = 2.67 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 567 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944. OrganismPart: rosette leaves; Ecotype: Col-0; GeneticModification: RNAi construct in SPH1; NASC:Growth Stage: 1.05; NASC:StockCode:; StrainOrLine: SPH1	P-G6179-1	GSE6179GSM142886 sample	P-G6179-3	GSE6179GSM142886 extract	total_RNA	P-G6179-2	GSE6179GSM142886 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A1-Wheel-a05	A-AFFY-2	P-AFFY-6	MW001_ATH1_A1-Wheel-a05	GSM142886.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	SPH1 RNAi
GSE6179GSM142895	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	Boyes key 1.14	wild type	Wheeler-a14_EXT_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 136.50 Background Stdev (float) = 7.27 Background Max (float) = 153.8 Background Min (float) = 122.5 Noise Avg (float) = 9.99 Noise Stdev (float) = 0.56 Noise Max (float) = 11.4 Noise Min (float) = 8.5 RawQ (float) = 4.66 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 481 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MW001_ATH1_A3-Wheel-a14_repeat.DAT. OrganismPart: rosette leaves; Ecotype: Col-0; NASC:Growth Stage: 1.14; NASC:StockCode:	P-G6179-1	GSE6179GSM142895 sample	P-G6179-3	GSE6179GSM142895 extract	total_RNA	P-G6179-2	GSE6179GSM142895 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MW001_ATH1_A3-Wheel-a14_repeat	A-AFFY-2	P-AFFY-6	MW001_ATH1_A3-Wheel-a14_repeat	GSM142895.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.raw.1.zip	E-GEOD-6179-processed-data-1628855898.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6179/E-GEOD-6179.processed.1.zip	wild type
