Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]
GSM1516681 1	12am_T_3	CCA1-ox_12am	CCA1-ox, 12am, total RNA, replicate 3	10 days	Columbia	CCA1-ox	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516681 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516681 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516681	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516681_AVA242_Total_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516681_sample_table.txt norm	GSM1516681_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6pm
GSM1516680 1	6pm_T_3	CCA1-ox_6pm	CCA1-ox, 6pm, total RNA, replicate 3	10 days	Columbia	CCA1-ox	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516680 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516680 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516680	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516680_AVA238_Total_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516680_sample_table.txt norm	GSM1516680_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6pm
GSM1516679 1	12pm_T_3	CCA1-ox_12pm	CCA1-ox, 12pm, total RNA, replicate 3	10 days	Columbia	CCA1-ox	6pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516679 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516679 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516679	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516679_AVA234_Total_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516679_sample_table.txt norm	GSM1516679_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6pm
GSM1516678 1	6am_T_3	CCA1-ox_6am	CCA1-ox, 6am, total RNA, replicate 3	10 days	Columbia	CCA1-ox	6am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516678 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516678 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516678	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516678_AVA230_Total_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516678_sample_table.txt norm	GSM1516678_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6am
GSM1516677 1	12am_T_2	CCA1-ox_12am	CCA1-ox, 12am, total RNA, replicate 2	10 days	Columbia	CCA1-ox	6am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516677 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516677 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516677	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516677_AVA222_Total_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516677_sample_table.txt norm	GSM1516677_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6am
GSM1516676 1	6pm_T_2	CCA1-ox_6pm	CCA1-ox, 6pm, total RNA, replicate 2	10 days	Columbia	CCA1-ox	6am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516676 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516676 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516676	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516676_AVA218_Total_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516676_sample_table.txt norm	GSM1516676_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	6am
GSM1516675 1	12pm_T_2	CCA1-ox_12pm	CCA1-ox, 12pm, total RNA, replicate 2	10 days	Columbia	CCA1-ox	12pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516675 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516675 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516675	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516675_AVA214_Total_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516675_sample_table.txt norm	GSM1516675_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12pm
GSM1516674 1	6am_T_2	CCA1-ox_6am	CCA1-ox, 6am, total RNA, replicate 2	10 days	Columbia	CCA1-ox	12pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516674 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516674 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516674	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516674_AVA210_Total_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516674_sample_table.txt norm	GSM1516674_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12pm
GSM1516673 1	12am_T_1	CCA1-ox_12am	CCA1-ox, 12am, total RNA, replicate 1	10 days	Columbia	CCA1-ox	12pm	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516673 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516673 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516673	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516673_16CCA_Total_12AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516673_sample_table.txt norm	GSM1516673_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12pm
GSM1516672 1	6pm_T_1	CCA1-ox_6pm	CCA1-ox, 6pm, total RNA, replicate 1	10 days	Columbia	CCA1-ox	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516672 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516672 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516672	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516672_12CCA_Total_6PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516672_sample_table.txt norm	GSM1516672_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12am
GSM1516671 1	12pm_T_1	CCA1-ox_12pm	CCA1-ox, 12pm, total RNA, replicate 1	10 days	Columbia	CCA1-ox	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516671 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516671 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516671	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516671_08CCA_Total_12PM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516671_sample_table.txt norm	GSM1516671_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12am
GSM1516670 1	6am_T_1	CCA1-ox_6am	CCA1-ox, 6am, total RNA, replicate 1	10 days	Columbia	CCA1-ox	12am	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61896-2	ArrayExpress	P-GSE61896-3	ArrayExpress	GSM1516670 extract 1	total RNA	P-GSE61896-4	ArrayExpress	GSM1516670 LE 1	biotin	P-GSE61896-5	ArrayExpress	GSM1516670	A-AFFY-2	ArrayExpress	array assay	P-GSE61896-6	ArrayExpress	GSM1516670_04CCA_Total_6AM.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.raw.1.zip	P-GSE61896-1	ArrayExpress	GSM1516670_sample_table.txt norm	GSM1516670_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61896/E-GEOD-61896.processed.1.zip	12am
