Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype background]	Characteristics [genotype]	Characteristics [harvested at]	Characteristics [molecule subtype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [harvested at]	FactorValue [molecule subtype]
GSM1516717 1	12am_L_3	wild type_12am_large polysomal	wild type, 12am, large polysomal, replicate 3	10 days	Columbia	wild type	12am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516717 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516717 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516717	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516717_36_12AM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516717_sample_table.txt norm	GSM1516717_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Large polysomal RNA
GSM1516716 1	12am_S_3	wild type_12am_small polysomal	wild type, 12am, small polysomal, replicate 3	10 days	Columbia	wild type	12am	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516716 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516716 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516716	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516716_35_12AM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516716_sample_table.txt norm	GSM1516716_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Small polysomal RNA
GSM1516715 1	12am_N_3	wild type_12am_non-polysomal	wild type, 12am, non-polysomal, replicate 3	10 days	Columbia	wild type	12am	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516715 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516715 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516715	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516715_34_12AM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516715_sample_table.txt norm	GSM1516715_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12am	Non-polysomal RNA
GSM1516714 1	6pm_L_3	wild type_6pm_large polysomal	wild type, 6pm, large polysomal, replicate 3	10 days	Columbia	wild type	6pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516714 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516714 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516714	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516714_33_6PM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516714_sample_table.txt norm	GSM1516714_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Large polysomal RNA
GSM1516713 1	6pm_S_3	wild type_6pm_small polysomal	wild type, 6pm, small polysomal, replicate 3	10 days	Columbia	wild type	6pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516713 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516713 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516713	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516713_32_6PM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516713_sample_table.txt norm	GSM1516713_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Small polysomal RNA
GSM1516712 1	6pm_N_3	wild type_6pm_non-polysomal	wild type, 6pm, non-polysomal, replicate 3	10 days	Columbia	wild type	6pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516712 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516712 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516712	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516712_31_6PM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516712_sample_table.txt norm	GSM1516712_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6pm	Non-polysomal RNA
GSM1516711 1	12pm_L_3	wild type_12pm_large polysomal	wild type, 12pm, large polysomal, replicate 3	10 days	Columbia	wild type	12pm	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516711 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516711 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516711	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516711_30_12PM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516711_sample_table.txt norm	GSM1516711_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Large polysomal RNA
GSM1516710 1	12pm_S_3	wild type_12pm_small polysomal	wild type, 12pm, small polysomal, replicate 3	10 days	Columbia	wild type	12pm	Small polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516710 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516710 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516710	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516710_29_12PM_5to8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516710_sample_table.txt norm	GSM1516710_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Small polysomal RNA
GSM1516709 1	12pm_N_3	wild type_12pm_non-polysomal	wild type, 12pm, non-polysomal, replicate 3	10 days	Columbia	wild type	12pm	Non-polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516709 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516709 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516709	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516709_28_12PM_1to4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516709_sample_table.txt norm	GSM1516709_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	12pm	Non-polysomal RNA
GSM1516708 1	6am_L_3	wild type_6am_large polysomal	wild type, 6am, large polysomal, replicate 3	10 days	Columbia	wild type	6am	Large polysomal RNA	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE61897-2	ArrayExpress	P-GSE61897-3	ArrayExpress	GSM1516708 extract 1	total RNA	P-GSE61897-4	ArrayExpress	GSM1516708 LE 1	biotin	P-GSE61897-5	ArrayExpress	GSM1516708	A-AFFY-2	ArrayExpress	array assay	P-GSE61897-6	ArrayExpress	GSM1516708_27_6AM_9to12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.raw.1.zip	P-GSE61897-1	ArrayExpress	GSM1516708_sample_table.txt norm	GSM1516708_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61897/E-GEOD-61897.processed.1.zip	6am	Large polysomal RNA
