Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]	FactorValue [time]	Unit [time unit]
GSM1521129 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T3, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521129 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521129 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521129	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521129_SCTVC2-Exp3_530-_Day3_021205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521129_sample_table.txt norm	GSM1521129_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	3	day
GSM1521128 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T3, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521128 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521128 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521128	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521128_SCTVC2-Exp2_530-_Day3_011405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521128_sample_table.txt norm	GSM1521128_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	3	day
GSM1521127 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T3, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521127 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521127 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521127	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521127_SCTVC2-Exp1_530-_Day3_011205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521127_sample_table.txt norm	GSM1521127_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	3	day
GSM1521126 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T3, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521126 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521126 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521126	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521126_AsAKin11-Exp3_530-_Day3_021205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521126_sample_table.txt norm	GSM1521126_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	3	day
GSM1521125 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T3, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521125 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521125 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521125	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521125_AsAKin11-Exp2_530-_Day3_011405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521125_sample_table.txt norm	GSM1521125_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	3	day
GSM1521124 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T3, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521124 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521124 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521124	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521124_AsAKin11-Exp1_530-_Day3_011205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521124_sample_table.txt norm	GSM1521124_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	3	day
GSM1521123 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T3, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521123 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521123 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521123	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521123_530-Exp3_-Day3_021205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521123_sample_table.txt norm	GSM1521123_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	3	day
GSM1521122 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T3, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521122 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521122 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521122	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521122_530-Exp2_-Day3_011405.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521122_sample_table.txt norm	GSM1521122_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	3	day
GSM1521121 1	Gene expression data from Arabidopsis rosette leaves three days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T3, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521121 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521121 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521121	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521121_530-Exp1_-Day3_011205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521121_sample_table.txt norm	GSM1521121_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	3	day
GSM1521120 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T2, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521120 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521120 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521120	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521120_SCTVC2-Exp3_530-_Day2_021105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521120_sample_table.txt norm	GSM1521120_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	2	day
