Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [infect]
GSM1528586 1	Ndr1 +V1(3)	ndr1-1_V. longisporum-inoculated_48 hpi	ndr1-1, V. longisporum-inoculated, 48 hpi, replicate 3	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528586 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528586 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528586	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528586_DNA7156-030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528586_sample_table.txt norm	GSM1528586_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528585 1	Ndr1 +V1(2)	ndr1-1_V. longisporum-inoculated_48 hpi	ndr1-1, V. longisporum-inoculated, 48 hpi, replicate 2	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528585 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528585 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528585	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528585_DNA7156-029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528585_sample_table.txt norm	GSM1528585_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528584 1	Ndr1 +V1(1)	ndr1-1_V. longisporum-inoculated_48 hpi	ndr1-1, V. longisporum-inoculated, 48 hpi, replicate 1	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528584 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528584 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528584	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528584_DNA7156-028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528584_sample_table.txt norm	GSM1528584_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528583 1	Ndr1 (3)	ndr1-1_mock treatment_48 hpi	ndr1-1, mock treatment, 48 hpi, replicate 3	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528583 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528583 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528583	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528583_DNA7156-027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528583_sample_table.txt norm	GSM1528583_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	mock
GSM1528582 1	Ndr1 (2)	ndr1-1_mock treatment_48 hpi	ndr1-1, mock treatment, 48 hpi, replicate 2	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528582 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528582 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528582	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528582_DNA7156-026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528582_sample_table.txt norm	GSM1528582_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	mock
GSM1528581 1	Ndr1 (1)	ndr1-1_mock treatment_48 hpi	ndr1-1, mock treatment, 48 hpi, replicate 1	16	day	Col-0	EFO	EFO_0005148	defense signaling mutant ndr1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528581 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528581 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528581	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528581_DNA7156-025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528581_sample_table.txt norm	GSM1528581_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	defense signaling mutant ndr1-1	mock
GSM1528580 1	Col-0+V1(3)	Col-0_V. longisporum-inoculated_48 hpi	Col-0, V. longisporum-inoculated, 48 hpi, replicate 3	16	day	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528580 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528580 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528580	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528580_DNA7156-024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528580_sample_table.txt norm	GSM1528580_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	wild type	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528579 1	Col-0+V1(2)	Col-0_V. longisporum-inoculated_48 hpi	Col-0, V. longisporum-inoculated, 48 hpi, replicate 2	16	day	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528579 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528579 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528579	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528579_DNA7156-023.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528579_sample_table.txt norm	GSM1528579_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	wild type	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528578 1	Col-0+V1(1)	Col-0_V. longisporum-inoculated_48 hpi	Col-0, V. longisporum-inoculated, 48 hpi, replicate 1	16	day	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528578 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528578 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528578	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528578_DNA7156-022.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528578_sample_table.txt norm	GSM1528578_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	wild type	Verticillium longisporum isolate VL1 (CBS110220)
GSM1528577 1	Col-0(3)	Col-0_mock treatment_48 hpi	Col-0, mock treatment, 48 hpi, replicate 3	16	day	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	P-GSE62537-2	ArrayExpress	P-GSE62537-3	ArrayExpress	P-GSE62537-4	ArrayExpress	GSM1528577 extract 1	total RNA	P-GSE62537-5	ArrayExpress	GSM1528577 LE 1	biotin	P-GSE62537-6	ArrayExpress	GSM1528577	A-AFFY-2	ArrayExpress	array assay	P-GSE62537-7	ArrayExpress	GSM1528577_DNA7156-021.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.raw.1.zip	P-GSE62537-1	ArrayExpress	GSM1528577_sample_table.txt norm	GSM1528577_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62537/E-GEOD-62537.processed.1.zip	wild type	mock
