Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1541893 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following both aza and TSA treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following both aza and TSA treatment	LTN014-2, aza-dc+TSA Rep2	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541893 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541893 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541893	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541893_IG090310LTN014-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541893_sample_table.txt norm	GSM1541893_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541892 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following both aza and TSA treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following both aza and TSA treatment	LTN013-2, aza-dc+TSA Rep1	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541892 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541892 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541892	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541892_IG090310LTN013-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541892_sample_table.txt norm	GSM1541892_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541891 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h.	Arabidopsis seedlings were cold treated at 0 �C for 24 h	LTN012-2, Mock Rep2	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541891 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541891 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541891	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541891_IG090310LTN012-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541891_sample_table.txt norm	GSM1541891_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541890 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h	Arabidopsis seedlings were cold treated at 0 �C for 24 h	LTN011-2, Mock Rep1	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541890 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541890 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541890	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541890_IG090310LTN011-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541890_sample_table.txt norm	GSM1541890_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541889 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	LTN008-2, aza-dc Rep3	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541889 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541889 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541889	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541889_IG090310LTN008-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541889_sample_table.txt norm	GSM1541889_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541888 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	LTN007-2, aza-dc Rep2	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541888 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541888 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541888	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541888_IG090310LTN007-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541888_sample_table.txt norm	GSM1541888_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541887 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following aza treatment	LTN006-2, aza-dc Rep1	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541887 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541887 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541887	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541887_IG090310LTN006-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541887_sample_table.txt norm	GSM1541887_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541886 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	LTN005-2, TSA Rep3	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541886 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541886 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541886	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541886_IG090310LTN005-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541886_sample_table.txt norm	GSM1541886_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541885 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	LTN004-2, TSA Rep2	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541885 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541885 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541885	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541885_IG090310LTN004-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541885_sample_table.txt norm	GSM1541885_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
GSM1541884 1	Gene expression data from Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	Arabidopsis seedlings were cold treated at 0 �C for 24 h following TSA treatment	LTN003-2, TSA Rep1	seedlings	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE63131-2	ArrayExpress	P-GSE63131-3	ArrayExpress	P-GSE63131-4	ArrayExpress	GSM1541884 extract 1	total RNA	P-GSE63131-5	ArrayExpress	GSM1541884 LE 1	biotin	P-GSE63131-6	ArrayExpress	GSM1541884	A-AFFY-2	ArrayExpress	array assay	P-GSE63131-7	ArrayExpress	GSM1541884_IG090310LTN003-2_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.raw.1.zip	P-GSE63131-1	ArrayExpress	GSM1541884_sample_table.txt norm	GSM1541884_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63131/E-GEOD-63131.processed.1.zip
