Source Name	Characteristics [organism]	Characteristics [strain]	Term Source REF	Term Accession Number	Description	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE6583GSM152140	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 c1:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: control	3	week	siz1-3	GSE6583GSM152140 sample	P-G6583-2	GSE6583GSM152140 extract	total_RNA	P-G6583-1	GSE6583GSM152140 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 control 1	A-AFFY-2	P-AFFY-6	siz1-3 control 1	GSM152140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	siz1-3
GSE6583GSM152142	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 c2:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: control	3	week	siz1-3	GSE6583GSM152142 sample	P-G6583-2	GSE6583GSM152142 extract	total_RNA	P-G6583-1	GSE6583GSM152142 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 control 2	A-AFFY-2	P-AFFY-6	siz1-3 control 2	GSM152142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	siz1-3
GSE6583GSM152144	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 c3:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: control	3	week	siz1-3	GSE6583GSM152144 sample	P-G6583-2	GSE6583GSM152144 extract	total_RNA	P-G6583-1	GSE6583GSM152144 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 control 3	A-AFFY-2	P-AFFY-6	siz1-3 control 3	GSM152144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	siz1-3
GSE6583GSM152143	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 d2:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: drought 2hr	3	week	siz1-3	GSE6583GSM152143 sample	P-G6583-2	GSE6583GSM152143 extract	total_RNA	P-G6583-1	GSE6583GSM152143 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 drought 2	A-AFFY-2	P-AFFY-6	siz1-3 drought 2	GSM152143.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	siz1-3
GSE6583GSM152141	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 d1:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: drought 2hr	3	week	siz1-3	GSE6583GSM152141 sample	P-G6583-2	GSE6583GSM152141 extract	total_RNA	P-G6583-1	GSE6583GSM152141 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 drought 1	A-AFFY-2	P-AFFY-6	siz1-3 drought 1	GSM152141.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	siz1-3
GSE6583GSM152145	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	siz1-3 d3:  GeneChip Expression Analysis Technical Manual. Genotype: siz1-3; age: 3 weeks; Condition: drought 2hr	3	week	siz1-3	GSE6583GSM152145 sample	P-G6583-2	GSE6583GSM152145 extract	total_RNA	P-G6583-1	GSE6583GSM152145 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	siz1-3 drought 3	A-AFFY-2	P-AFFY-6	siz1-3 drought 3	GSM152145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	siz1-3
GSE6583GSM152136	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 c2:  GeneChip Expression Analysis Technical Manual. Ecotype: Columbia 0; age: 3 weeks; Condition: control	3	week	wild type	GSE6583GSM152136 sample	P-G6583-2	GSE6583GSM152136 extract	total_RNA	P-G6583-1	GSE6583GSM152136 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 control 2	A-AFFY-2	P-AFFY-6	Col-0 control 2	GSM152136.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	wild type
GSE6583GSM152138	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 c3:  GeneChip Expression Analysis Technical Manual. Ecotype: Columbia 0; age: 3 weeks; Condition: control	3	week	wild type	GSE6583GSM152138 sample	P-G6583-2	GSE6583GSM152138 extract	total_RNA	P-G6583-1	GSE6583GSM152138 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 control 3	A-AFFY-2	P-AFFY-6	Col-0 control 3	GSM152138.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	wild type
GSE6583GSM152134	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 c1:  GeneChip Expression Analysis Technical Manual. Columbia 0; Age: 21 days; Condition: control	3	week	wild type	GSE6583GSM152134 sample	P-G6583-2	GSE6583GSM152134 extract	total_RNA	P-G6583-1	GSE6583GSM152134 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 control 1	A-AFFY-2	P-AFFY-6	Col-0 control 1	GSM152134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	control	wild type
GSE6583GSM152139	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 d3:  GeneChip Expression Analysis Technical Manual. Ecotype: Columbia 0; age: 3 weeks; Condition: drought 2hr	3	week	wild type	GSE6583GSM152139 sample	P-G6583-2	GSE6583GSM152139 extract	total_RNA	P-G6583-1	GSE6583GSM152139 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 drought 3	A-AFFY-2	P-AFFY-6	Col-0 drought 3	GSM152139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	wild type
GSE6583GSM152137	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0 d2:  GeneChip Expression Analysis Technical Manual. Ecotype: Columbia 0; age: 3 weeks; Condition: drought 2hr	3	week	wild type	GSE6583GSM152137 sample	P-G6583-2	GSE6583GSM152137 extract	total_RNA	P-G6583-1	GSE6583GSM152137 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 drought 2	A-AFFY-2	P-AFFY-6	Col-0 drought 2	GSM152137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	wild type
GSE6583GSM152135	Arabidopsis thaliana	Col-0	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col 0 d1:  GeneChip Expression Analysis Technical Manual. Ecotype: Columbia 0; age: 3 weeks; Condition: drought 2hr	3	week	wild type	GSE6583GSM152135 sample	P-G6583-2	GSE6583GSM152135 extract	total_RNA	P-G6583-1	GSE6583GSM152135 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Col-0 drought 1	A-AFFY-2	P-AFFY-6	Col-0 drought 1	GSM152135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-6583-processed-data-1629192520.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6583/E-GEOD-6583.processed.1.zip	drought	wild type
