Source Name	Characteristics [Organism]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE680GSM27359	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Organ: Floral bud:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27359 sample	  	GSE680GSM27359 extract	total_RNA	  	GSE680GSM27359 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Floral Bud	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Floral Bud	GSM27359.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10446	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 24-Hr Fertilized Seed; Biological Replica: 2 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development Lot batch = 2003282.	  	GSE680GSM10446 sample	  	GSE680GSM10446 extract	total_RNA	  	GSE680GSM10446 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT 24-Hr Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT 24-Hr Seed 2	GSM10446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27361	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Organ: Root:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27361 sample	  	GSE680GSM27361 extract	total_RNA	  	GSE680GSM27361 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Root	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Root	GSM27361.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM16998	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Late-Maturation Seed; Technical Replica: 1 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM16998 sample	  	GSE680GSM16998 extract	total_RNA	  	GSE680GSM16998 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Late-Maturation Seed 1 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	WT Late-Maturation Seed 1 (AtGenome1)	GSM16998.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM17006	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Unfertilized Ovule; Technical Replica: 2 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM17006 sample	  	GSE680GSM17006 extract	total_RNA	  	GSE680GSM17006 LE	biotin	synthetic_RNA	  	WT Ovule 2 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	  	WT Ovule 2 (AtGenome1)	  	  	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM10457	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 3-Day-After-Imbibition Seedling; Biological Replica: 1 of 2:  Growth Condition: Plants were grown in a Conviron chamber under continuous light with fluorescent lamps at 20oC and 50% - 70% relative humidity. Experiments were performed as described (Le et. al., 2003, PNAS). Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.). Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2003, PNAS). cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips. The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500. Keywords = Arabidopsis Keywords = seed development.	  	GSE680GSM10457 sample	  	GSE680GSM10457 extract	total_RNA	  	GSE680GSM10457 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Seedling 1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Seedling 1	GSM10457.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM17007	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: 24-Hr fertilized seed; Technical Replica: 1 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM17007 sample	  	GSE680GSM17007 extract	total_RNA	  	GSE680GSM17007 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT 24-Hr Seed 1 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	P-AFFY-6	WT 24-Hr Seed 1 (AtGenome1)	GSM17007.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM17009	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Stage: Unfertilized Ovule; Technical Replica: 1 of 2:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 4.0 (MAS 4.0) with a global scaling intensity set at 2500..	  	GSE680GSM17009 sample	  	GSE680GSM17009 extract	total_RNA	  	GSE680GSM17009 LE	biotin	synthetic_RNA	  	WT Ovule 1 (AtGenome1)	A-AFFY-16	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-16	  	WT Ovule 1 (AtGenome1)	  	  	E-GEOD-680-processed-data-1629588819.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM27360	Arabidopsis thaliana	Genotype: Ws-0, Wild Type; Organ: Rosette Leaf:  Microarray Methods: Total RNA was extracted using the Hot Borate Method (ref.).  Fifteen micrograms of biotinylated complementary RNA (cRNA) was prepared as described (Le et. al., 2004, PNAS).  cRNA was subsequently hybridized to Affymetrix ATH1 Arabidopsis GeneChips.  The scanned array images were analyzed using Affymetrix Microarray Suite 5.0 (MAS 5.0) with a global scaling intensity set at 500..	  	GSE680GSM27360 sample	  	GSE680GSM27360 extract	total_RNA	  	GSE680GSM27360 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Rosette Leaf	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Rosette Leaf	GSM27360.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
GSE680GSM147964	Arabidopsis thaliana	Wild type globular stage seed biological replica 2:  Wild type seed containing globular stage embryo.  Two biological replicas were generated.. Genotype: Ws-O, Wild Type; Stage: Globular Stage Seed; Biological Replica: 2 of 2	P-G680-1	GSE680GSM147964 sample	P-G680-3	GSE680GSM147964 extract	total_RNA	P-G680-2	GSE680GSM147964 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	WT Globular Stage Seed 2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	WT Globular Stage Seed 2	GSM147964.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.raw.1.zip	E-GEOD-680-processed-data-1629587486.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-680/E-GEOD-680.processed.1.zip
